District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Baksa,5 7,0,0,104,263.58,952,"8,631.91",0,0,42,10.30,"5,832","1,954.66","6,930","10,860.45"
Barpeta,1 24,0,0,456,"1,459.47","3,397","29,976.60",0,0,453,212.68,"36,740","11,958.10","41,046","43,606.85"
Bongaigaon,6 1,0,0,146,537.88,"1,866","16,216.19",3,63.7,101,49.06,"17,462","6,877.88","19,578","23,744.71"
Cachar,1 63,0,0,1104,"2,987.17","3,614","25,615.58",3,12.73,15,4.21,"78,204","25,309.40","82,940","53,929.09"
Charaideo,3 6,0,0,72,198.95,413,"3,281.51",0,0,47,18.98,"4,816","3,862.46","5,348","7,361.90"
Chirang,3 6,0,0,54,204.90,602,"5,700.52",0,0,121,39.78,"9,110","2,748.51","9,887","8,693.71"
Darrang,6 8,0,0,388,"1,135.68","1,500","12,975.95",0,0,45,20.99,"19,773","7,036.84","21,706","21,169.46"
Dhemaji,4 6,0,0,155,463.55,"1,630","14,434.93",2,111.45,16,3.71,"6,755","2,562.94","8,558","17,576.58"
Dhubri,8 8,0,0,176,634.18,"1,943","16,543.22",1,0.23,248,146.56,"35,284","11,237.05","37,652","28,561.24"
Dibrugarh,1 83,0,0,881,"2,815.37","4,525","39,133.23",1,7.03,14,4.59,"31,241","15,500.66","36,662","57,460.88"
Dima Hasao,3 0,0,0,34,92.64,443,"3,228.26",0,0,0,0,34,115.90,511,"3,436.80"
Goalpara,7 2,0,0,143,537.78,"1,097","10,075.01",1,0.06,432,275.94,"19,286","6,547.64","20,959","17,436.43"
Golaghat,1 22,0,0,385,"1,217.83","2,312","18,241.97",0,0,2,0.54,"29,425","9,652.49","32,124","29,112.83"
Hailakandi,4 5,0,0,79,216.82,945,"6,558.25",0,0,23,12.70,"12,970","4,513.84","14,017","11,301.61"
Jorhat,1 34,0,0,850,"2,709.13","4,321","37,857.23",2,58.93,0,0,"24,835","10,096.27","30,008","50,721.56"
Kamrup Metro,1 75,0,0,1344,"4,383.78","4,741","31,943.03",0,0,13,5.43,"63,973","20,564.12","70,071","56,896.36"
Karbi Anglong,6 5,0,0,115,284.95,"2,162","21,697.45",0,0,0,0,"3,310","1,522.61","5,587","23,505.01"
Karimganj,8 9,0,0,125,336.40,"1,166","6,520.46",0,0,9,2.88,"35,725","17,550.48","37,025","24,410.22"
Kokrajhar,5 3,0,0,112,346.01,"1,044","10,203.05",1,900.44,0,0,"19,393","5,923.76","20,550","17,373.26"
Lakhimpur,9 3,0,0,330,922.17,"3,338","26,925.39",2,0.83,83,37.16,"21,471","15,583.85","25,224","43,469.40"
Majuli,1 6,0,0,33,60.56,303,"2,109.03",0,0,0,0,"1,130","8,670.79","1,466","10,840.38"
Morigaon,6 7,0,0,143,427.28,"1,633","11,361.21",1,0.16,22,9.03,"14,808","21,657.48","16,607","33,455.16"
Nagaon,2 10,0,0,493,"1,663.16","5,059","40,744.10",3,122.65,2,1.57,"64,194","45,952.16","69,751","88,483.64"
Nalbari,8 7,0,0,387,"1,268.48","2,547","21,708.42",1,8.03,9,2.27,"21,194","8,972.44","24,138","31,959.64"
Sivasagar,1 05,0,0,320,"1,024.46","2,660","21,845.68",1,3.09,11,4.69,"19,950","10,671.14","22,942","33,549.06"
Sonitpur,1 85,0,0,693,"2,237.54","4,927","38,813.01",0,0,1,0.44,"44,812","32,550.47","50,433","73,601.46"
South Salmara,1 2,0,0,13,49.64,277,"2,814.89",0,0,6,4.38,300,473.57,596,"3,342.48"
Tinsukia,1 49,0,0,610,"2,136.07","2,921","24,051.24",2,0.14,12,3.57,"22,810","12,354.34","26,355","38,545.36"
Udalguri,4 9,0,0,293,784.01,"1,662","15,906.42",0,0,1,0.28,"8,507","3,369.10","10,463","20,059.81"
West Karbi Anglong,2 2,0,0,16,61.99,566,"5,935.79",0,0,6,0.51,9,3.87,597,"6,002.16"
