district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Baksa,57,"1,025",119.39,299,"1,037.80","1,044",121.36,364,"1,077.60","5,756","9,344.07",923,437.11,4.68
Barpeta,124,"1,652",261.40,583,"1,675.11","1,832",270.85,"1,051","2,720.82","10,515","15,030.33","1,358",964.94,6.42
Bongaigaon,61,"1,173",209.93,179,571.34,"1,288",218.28,280,904.69,"3,923","6,667.91",182,82.59,1.24
Cachar,163,"1,091",318.61,349,819.04,"1,325",399.80,831,"1,699.46","6,161","7,233.58","1,024",537.68,7.43
Charaideo,36,381,43.72,249,674.20,381,43.72,249,674.20,"4,071","5,534.65",220,120.16,2.17
Chirang,36,"1,043",125.47,209,590.06,"1,086",131.71,492,888.91,"3,165","5,227.84",563,420.39,8.04
Darrang,68,"1,187",195.33,247,707.44,"1,384",210.95,548,"1,376.22","6,451","9,357.64","1,071",855.01,9.14
Dhemaji,46,"2,136",257.22,695,"2,085.27","2,607",395.25,"1,581","3,211.87","6,721","10,755.68",867,376.27,3.50
Dhubri,88,"4,125",854.77,543,"1,405.72","4,709","1,068.68","1,877","3,224.35","6,819","8,596.09","1,311",594.44,6.92
Dibrugarh,183,"2,070",485.91,503,"1,450.68","2,956",624.96,"1,975","3,611.17","7,590","11,996.39",448,235.00,1.96
Dima Hasao,30,202,13.12,53,165.00,202,13.12,53,165.00,"1,131","1,424.38",87,33.62,2.36
Goalpara,72,756,153.54,383,"1,074.63",818,236.34,648,"1,488.54","7,172","9,794.05","1,117",607.90,6.21
Golaghat,122,"1,907",345.97,531,"1,603.24","2,887",500.37,"1,568","3,483.65","8,786","16,037.94",394,217.92,1.36
Hailakandi,45,"1,016",469.50,142,284.97,"1,249",519.92,272,391.69,"2,524","3,180.25",569,287.01,9.02
Jorhat,134,"1,098",274.83,417,"1,263.03","1,315",307.00,896,"2,613.53","6,773","13,851.77",361,240.72,1.74
Kamrup,175,"1,329",216.95,507,"1,502.32","2,268",610.29,"2,297","4,966.18","11,655","17,844.70","1,683","1,209.11",6.78
Kamrup Metro,419,600,69.07,110,463.21,778,81.77,129,423.96,"2,910","6,377.65",381,370.57,5.81
Karbi Anglong,65,275,14.45,400,"1,025.04",275,14.45,427,"1,077.78","6,387","11,558.65",425,136.05,1.18
Karimganj,89,717,212.47,295,578.66,773,227.45,433,813.59,"4,328","4,888.28","1,226",584.89,11.97
Kokrajhar,53,"2,006",188.66,274,727.31,"2,187",225.29,556,"1,155.16","3,276","4,354.33",430,363.27,8.34
Lakhimpur,93,"1,849",492.33,561,"1,418.86","2,490",600.54,"1,615","3,204.58","9,071","12,727.51",900,448.81,3.53
Majuli,16,186,8.84,55,175.01,186,8.84,54,169.01,"1,564","3,175.31",185,85.67,2.70
Morigaon,67,979,62.07,168,399.36,"1,096",93.93,941,"1,812.58","6,925","8,352.26","2,252","1,172.78",14.04
Nagaon,210,"4,950",471.49,947,"2,508.39","5,652",550.73,"1,947","4,117.85","16,004","25,192.58","1,374",897.68,3.56
Nalbari,87,823,141.06,395,"1,401.68",871,162.67,972,"2,768.71","8,854","15,029.20",985,526.13,3.50
Sivasagar,105,"1,016",204.13,240,651.82,"1,392",292.62,358,912.12,"4,860","7,504.16",317,246.79,3.29
Sonitpur,185,"3,503",558.59,879,"2,577.06","4,119",724.92,"2,429","5,591.50","16,973","25,406.03","3,340","1,585.34",6.24
South Salmara,12,350,42.52,44,109.35,350,42.52,36,83.85,760,"1,000.97",173,50.67,5.06
Tinsukia,149,"1,395",253.90,478,"1,395.80","1,654",314.50,812,"1,978.21","6,789","11,169.81",510,241.69,2.16
Udalguri,49,"1,551",188.86,239,719.83,"1,551",188.86,229,696.63,"4,194","6,038.46",888,597.01,9.89
West Karbi Anglong,22,326,22.80,223,521.88,326,22.80,223,521.88,"2,627","3,296.65",590,152.31,4.62
