district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,58,"66,450","4,15,451","43,366","1,55,317","6,55,436","1,16,914","25,682","2,47,449"
Barpeta,125,"1,61,008","10,79,524","1,17,098","4,74,315","17,17,109","3,71,173","66,875","7,02,198"
Bongaigaon,61,"55,742","3,25,552","36,965","1,63,003","5,15,626","1,11,897","23,385","2,42,130"
Cachar,165,"1,21,953","7,91,335","88,561","3,07,613","12,76,704","2,51,443","47,358","4,76,924"
Charaideo,37,"32,040","1,69,047","25,547","76,782","3,02,718","64,330","19,164","1,27,986"
Chirang,36,"49,864","3,07,147","35,399","1,17,302","4,63,988","95,080","16,513","1,83,679"
Darrang,68,"98,950","5,28,564","73,900","2,31,365","8,80,592","1,68,328","34,603","3,64,918"
Dhemaji,46,"97,529","3,07,357","74,068","2,18,538","5,79,493","1,81,471","43,681","3,59,748"
Dhubri,89,"1,32,704","8,16,873","94,686","3,72,991","13,82,549","2,85,176","55,859","5,61,554"
Dibrugarh,184,"1,52,713","7,36,949","98,761","3,08,049","11,15,563","2,26,294","61,766","5,22,528"
Dima Hasao,30,"13,972","80,779","8,397","32,907","1,19,204","24,666","6,949","53,828"
Goalpara,73,"1,05,199","4,87,872","66,596","2,60,712","8,39,834","1,99,394","35,562","4,01,473"
Golaghat,123,"1,06,205","5,13,439","78,937","2,23,418","7,25,592","1,68,596","50,821","3,80,444"
Hailakandi,46,"47,058","2,93,596","32,880","1,25,434","5,05,928","94,360","21,332","1,93,824"
Jorhat,134,"87,849","5,03,520","63,380","2,08,264","7,86,952","1,60,163","41,903","3,38,016"
Kamrup,177,"1,27,035","8,42,416","82,867","3,40,766","13,11,350","2,38,756","56,397","5,24,198"
Kamrup Metro,419,"1,24,534","14,50,853","66,142","2,77,965","23,47,442","1,59,548","75,199","4,77,698"
Karbi Anglong,67,"51,756","1,96,485","37,973","1,26,856","2,98,554","1,00,102","34,552","2,13,164"
Karimganj,90,"60,928","4,15,302","48,695","1,50,586","7,54,702","1,32,146","28,368","2,39,882"
Kokrajhar,54,"71,873","4,44,187","44,700","1,74,171","7,39,099","1,23,164","17,782","2,63,826"
Lakhimpur,94,"1,08,600","4,30,237","91,341","2,62,487","7,75,468","2,35,458","44,431","4,15,518"
Majuli,17,"15,053","91,448","9,610","31,604","1,57,474","24,686","9,456","56,113"
Morigaon,68,"57,985","4,21,531","38,185","1,56,894","7,57,262","1,24,296","29,211","2,44,090"
Nagaon,213,"2,61,182","12,46,458","2,16,176","6,67,691","24,35,559","5,29,789","98,736","10,27,609"
Nalbari,87,"78,549","4,50,379","43,299","1,86,236","6,94,422","1,16,629","23,943","2,88,728"
Sivasagar,105,"85,712","4,39,836","55,962","1,70,614","5,77,449","1,13,208","32,046","2,88,372"
Sonitpur,188,"2,11,560","9,64,208","1,35,019","4,43,822","15,09,558","2,95,642","85,076","7,40,458"
South Salmara,12,"12,010","1,49,766","10,400","53,872","2,44,359","43,610","5,918","71,800"
Tinsukia,149,"1,16,986","7,52,841","76,444","2,59,854","11,08,653","1,98,891","47,802","4,24,642"
Udalguri,50,"94,900","5,52,506","70,420","1,97,882","8,86,452","1,47,902","23,470","3,16,252"
West Karbi Anglong,22,"14,574","70,858","13,918","36,676","1,12,185","35,558","12,475","63,725"
