district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,57,"9,91,573","3,67,454","1,29,546"
Barpeta,127,"25,89,762","9,29,285","4,41,533"
Biswanath,58,"8,38,340","2,62,913","99,903"
Bongaigaon,61,"9,80,215","2,98,222","1,46,183"
Cachar,164,"23,47,815","7,44,572","3,12,375"
Charaideo,37,"5,75,347","1,77,082","41,121"
Chirang,38,"6,80,689","2,30,758","1,19,864"
Darrang,69,"14,71,871","5,07,234","2,14,292"
Dhemaji,47,"12,56,794","3,64,338","2,29,391"
Dhubri,89,"23,27,536","7,76,346","2,59,495"
Dibrugarh,181,"18,89,638","5,09,392","2,59,328"
Dima Hasao,31,"2,33,625","70,702","43,501"
Goalpara,73,"13,53,078","4,34,230","1,49,636"
Golaghat,122,"16,46,176","5,34,752","2,19,144"
Hailakandi,47,"9,44,176","3,88,035","1,68,142"
Hojai,59,"12,74,433","4,56,338","2,16,238"
Jorhat,133,"13,15,579","4,56,500","1,93,187"
Kamrup Metro,180,"23,00,169","6,84,180","2,89,855"
Karbi Anglong,67,"8,02,298","2,26,736","1,49,517"
Karimganj,92,"16,09,941","5,57,986","2,08,832"
Kokrajhar,56,"11,38,225","4,02,585","2,00,673"
Lakhimpur,92,"15,04,784","4,30,686","1,97,719"
Majuli,17,"2,98,821","1,26,117","41,944"
Morigaon,68,"16,40,909","6,39,568","3,43,698"
Nagaon,156,"31,35,781","12,70,532","5,41,025"
Nalbari,85,"12,60,943","4,64,468","2,12,664"
Sivasagar,101,"10,91,308","3,60,472","1,58,801"
Sonitpur,133,"18,75,224","5,93,536","3,25,149"
South Salmara,13,"3,34,255","1,24,348","20,096"
Tinsukia,145,"15,06,309","5,06,318","2,41,256"
Udalguri,50,"11,39,537","3,57,100","1,45,577"
West Karbi Anglong,22,"2,78,145","78,877","50,727"
