District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Total Agri (PS) Disb No.,Total Agri (PS) Disb Amt
Baksa,56,3867,3027.56,5,2.00,0,0,317,92.07,0,0,280,594.93,11,16.82,956,2150.54,1,1.43,267,452.72,5704,6338.07
Barpeta,126,9305,11135.98,228,167.16,0,0,6608,2797.82,21,26.12,613,760.76,89,64.21,3944,6244.12,9,88.32,1039,4217.94,21856,25502.43
Biswanath,56,4310,3319.11,2,0.78,0,0,519,416.51,0,0,737,1472.06,5,7,1193,1960.45,1,40,497,1659.58,7264,8875.49
Bongaigaon,61,3697,5734.33,71,53.15,0,0,996,477.00,14,15.78,159,234.94,3,3.24,2695,2613.20,3,75.37,780,2365.76,8418,11572.77
Cachar,162,3384,4945.03,362,306.91,0,0,2637,1477.35,7,13,265,365.99,71,106.37,4138,4569.49,8,381.4,849,4971.45,11721,17136.99
Charaideo,36,4313,3138.74,0,0,0,0,43,58.08,0,0,159,302.33,4,8.07,1011,2107.76,0,0,204,669.59,5734,6284.57
Chirang,38,2414,2800.02,0,0,0,0,153,225.64,0,0,77,39.29,0,0,1044,1395.16,4,1.55,516,657.39,4208,5119.05
Darrang,69,6028,5839.45,111,100.96,1,1.33,4581,1580.52,9,8.93,303,279.77,11,9.4,3402,3287.85,150,92.35,629,2106.73,15225,13307.29
Dhemaji,47,5261,5127.61,0,0,0,0,2164,1380.80,1,0.45,391,946.11,1,0.96,1609,2486.75,0,0,709,754.42,10136,10697.10
Dhubri,88,4636,6167.34,169,128.18,0,0,1141,1065.65,0,0,298,256.69,5,0,1471,2313.80,3,31.34,955,2043.03,8678,12006.03
Dibrugarh,180,10142,9217.54,195,144.43,2,4.31,3550,1659.28,4,11.27,872,1728.89,17,16.54,4693,5682.95,65,80.81,2839,15855.71,22379,34401.73
Dima Hasao,31,124,129.73,1,2.5,0,0,1,1,2,2.4,85,143.75,0,0,211,378.73,0,0,133,344.00,557,1002.11
Goalpara,72,5592,4884.13,51,38.14,0,0,219,385.67,2,6,351,529.30,4,0.4,1368,2422.97,6,4.65,924,836.60,8517,9107.86
Golaghat,121,9789,7317.87,71,56.76,0,0,2705,1244.22,7,25.82,536,1165.12,7,17.1,5555,7046.67,32,71.74,1792,7229.51,20494,24174.81
Hailakandi,46,1475,1314.49,0,0,0,0,234,199.59,0,0,204,265.16,9,7.46,743,993.61,3,2.4,672,876.07,3340,3658.78
Hojai,58,2903,4067.44,8,5.77,0,0,1343,595.28,17,3.6,87,58.96,122,158.2,1152,1594.31,2,18.5,864,1213.76,6498,7715.82
Jorhat,133,5687,4346.88,146,103.07,1,0.3,1932,699.18,10,4.08,177,338.59,23,32.89,4096,6523.99,16,26.31,1452,21632.24,13540,33707.53
Kamrup Metro,178,11590,11238.66,571,534.65,0,0,6592,3762.46,4,2.86,669,954.27,20,18.43,7556,6434.89,118,69.65,2474,2328.78,29594,25344.65
Karbi Anglong,65,4018,2225.46,10,5.64,0,0,509,248.37,46,68.8,473,960.54,8,8.33,2247,3469.73,3,1.1,465,348.03,7779,7336.00
Karimganj,91,1533,2554.94,73,56.77,0,0,138,78.53,0,0,166,292.99,67,113.29,1369,1849.39,5,16.2,860,1163.66,4211,6125.77
Kokrajhar,55,4835,6875.78,74,71.10,0,0,654,750.31,2,2.28,217,143.38,5,4.61,2184,2153.47,0,0,660,739.69,8631,10740.62
Lakhimpur,91,9488,7110.30,2,3.73,0,0,3380,1765.04,12,22.69,386,934.24,4,7.32,2189,3636.42,7,7.61,1205,1929.39,16673,15416.74
Majuli,16,1460,1376.36,0,0,0,0,0,0,0,0,59,135.65,0,0,643,550.79,0,0,252,233.02,2414,2295.82
Morigaon,67,7963,7063.07,27,21.82,5,12.32,1771,928.56,0,0,563,406.06,36,49.22,1523,1918.40,8,41.08,656,588.08,12552,11028.61
Nagaon,154,11272,10676.89,57,55.00,0,0,6269,2254.08,10,12.44,646,800.10,107,262.94,6020,8171.33,41,71.69,1356,3650.92,25778,25955.39
Nalbari,85,4765,5810.33,66,43.84,0,0,4287,2016.51,9,12.79,465,649.32,16,27.84,2922,3469.89,2,2.7,630,2444.00,13162,14477.22
Sivasagar,101,5542,4721.93,110,72.44,0,0,2150,868.15,2,2.2,232,232.56,0,0,5959,4330.22,36,40.6,1277,3557.40,15308,13825.50
Sonitpur,132,6663,7649.81,92,70.84,0,0,4391,1444.52,34,12.56,734,1169.80,10,5.42,5561,5679.41,18,37.27,1977,4722.03,19480,20791.66
South Salmara,13,349,261.14,0,0,0,0,0,0,0,0,0,0,0,0,211,352.11,0,0,19,80.07,579,693.32
Tinsukia,145,6878,6327.83,67,53.52,0,0,3286,1274.18,4,2.5,337,1052.70,7,5.73,3086,4580.42,41,928.71,1392,15901.64,15098,30127.23
Udalguri,49,4079,2799.88,0,0,0,0,13,5.08,1,4,186,246.06,0,0,1668,2227.99,4,10.8,544,611.13,6495,5904.94
West Karbi Anglong,22,1964,1130.59,0,0,0,0,1,1.01,0,0,112,235.80,0,0,621,1395.43,0,0,11,22.32,2709,2785.15
