District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Amt %,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Amt %
Baksa,56,34873,27759.88,12189,6191.02,22.30,16037,19251.05,4686,3690.14,19.17,5303,10589.85,1651,953.16,9.00,56213,57600.78,18526,10834.32,18.81
Barpeta,126,110110,79815.43,36515,18926.79,23.71,30971,82766.41,7351,8807.24,10.64,46654,44239.52,17259,5444.34,12.31,187735,206821.36,61125,33178.37,16.04
Biswanath,56,41413,36283.71,11791,6229.30,17.17,14253,26674.45,2937,2171.45,8.14,15139,18482.40,6740,2029.50,10.98,70805,81440.56,21468,10430.25,12.81
Bongaigaon,61,33587,31022.99,6429,3179.70,10.25,15111,53141.89,2010,4133.00,7.78,21388,24260.31,7690,2714.43,11.19,70086,108425.19,16129,10027.13,9.25
Cachar,162,82929,67553.01,29258,19780.17,29.28,35291,130542.20,5215,9546.45,7.31,97763,61789.24,29345,13880.36,22.46,215983,259884.45,63818,43206.98,16.63
Charaideo,36,19964,16341.13,4316,3049.55,18.66,5903,13090.86,1439,1802.76,13.77,5546,7200.78,1098,402.84,5.59,31413,36632.77,6853,5255.15,14.35
Chirang,38,24892,21954.76,9115,5248.87,23.91,8758,15413.18,2798,2781.03,18.04,10074,8554.12,3011,847.60,9.91,43724,45922.06,14924,8877.50,19.33
Darrang,69,68225,48183.41,24647,13030.56,27.04,16873,42548.14,4287,6187.20,14.54,24473,21250.07,13147,3593.31,16.91,109571,111981.62,42081,22811.07,20.37
Dhemaji,47,44823,35771.49,12327,7266.47,20.31,18762,28084.41,2782,3467.10,12.35,9676,17500.72,2188,712.43,4.07,73261,81356.62,17297,11446.00,14.07
Dhubri,88,50619,37148.94,22597,10868.10,29.26,18237,42642.28,5046,3758.67,8.81,45856,30520.84,20746,8212.51,26.91,114712,110312.06,48389,22839.28,20.70
Dibrugarh,180,114819,98525.11,39389,24443.58,24.81,42184,200979.43,8297,15258.12,7.59,35318,57052.30,7439,2542.97,4.46,192321,356556.84,55125,42244.67,11.85
Dima Hasao,31,3353,3118.92,740,407.84,13.08,3675,6732.01,301,299.20,4.44,500,3607.30,18,40.42,1.12,7528,13458.23,1059,747.46,5.55
Goalpara,72,46296,36119.44,15523,8622.61,23.87,18021,33631.81,4286,4525.71,13.46,23658,18128.82,9034,3000.73,16.55,87975,87880.07,28843,16149.05,18.38
Golaghat,121,97690,73565.24,30811,15326.22,20.83,23902,61557.73,4486,5677.38,9.22,31659,29099.49,6887,1727.36,5.94,153251,164222.46,42184,22730.96,13.84
Hailakandi,46,24295,17503.44,8989,5149.12,29.42,9218,24802.53,2091,2653.11,10.70,16604,12468.18,5586,2733.17,21.92,50117,54774.15,16666,10535.40,19.23
Hojai,58,33846,24327.36,11571,6750.82,27.75,14847,28707.15,2539,1799.08,6.27,19668,29040.83,6467,2590.68,8.92,68361,82075.34,20577,11140.58,13.57
Jorhat,133,84082,78608.56,28642,13534.67,17.22,30843,149527.37,5981,10657.31,7.13,30667,53231.98,7801,2261.38,4.25,145592,281367.91,42424,26453.36,9.40
Kamrup Metro,178,139746,89781.99,45615,23332.64,25.99,40600,124018.00,9075,10126.50,8.17,83425,82101.52,25616,8528.98,10.39,263771,295901.51,80306,41988.12,14.19
Karbi Anglong,65,49097,35379.43,9515,4627.17,13.08,11934,17764.08,1775,1055.59,5.94,5151,23423.51,761,386.35,1.65,66182,76567.02,12051,6069.11,7.93
Karimganj,91,40718,34488.24,14792,11049.59,32.04,14833,38570.90,3454,3664.66,9.50,45055,28821.02,16650,7342.51,25.48,100606,101880.16,34896,22056.76,21.65
Kokrajhar,55,36773,32368.22,11542,6572.43,20.31,9590,23833.99,3822,4066.33,17.06,21236,16078.92,4932,1695.35,10.54,67599,72281.13,20296,12334.11,17.06
Lakhimpur,91,99530,68132.38,32185,17448.74,25.61,35951,69153.00,5951,7670.59,11.09,29029,43710.19,10245,3512.04,8.03,164510,180995.57,48381,28631.37,15.82
Majuli,16,8661,6698.08,2736,1743.32,26.03,3157,6510.08,556,575.05,8.83,1486,11035.82,581,135.71,1.23,13304,24243.98,3873,2454.08,10.12
Morigaon,67,66318,49328.93,21345,13281.13,26.92,14813,29128.68,3117,4022.43,13.81,17511,33200.94,5706,2238.57,6.74,98642,111658.55,30168,19542.13,17.50
Nagaon,154,162704,105277.03,65074,30939.43,29.39,30529,100835.53,7600,10503.15,10.42,58156,61865.00,21299,7146.87,11.55,251389,267977.56,93973,48589.45,18.13
Nalbari,85,74022,46835.06,26796,11055.74,23.61,17622,40430.90,5250,5620.83,13.90,27455,32526.46,10432,3180.79,9.78,119099,119792.42,42478,19857.36,16.58
Sivasagar,101,71031,42875.54,19237,9151.86,21.35,23721,83732.36,4636,5256.58,6.28,22753,32898.50,5702,1863.40,5.66,117505,159506.40,29575,16271.84,10.20
Sonitpur,132,84977,69101.43,26370,14085.05,20.38,28299,99585.21,6699,8583.95,8.62,41642,62021.18,12895,4783.45,7.71,154918,230707.82,45964,27452.45,11.90
South Salmara,13,3482,2845.67,1918,845.17,29.70,1847,4707.58,1010,1325.53,28.16,628,3351.95,223,289.74,8.64,5957,10905.20,3151,2460.44,22.56
Tinsukia,145,74766,76342.41,21152,14777.28,19.36,28924,140555.60,5224,8198.73,5.83,26562,34587.83,6487,1930.94,5.58,130252,251485.84,32863,24906.95,9.90
Udalguri,49,50766,36745.86,27866,16656.91,45.33,13579,18589.80,5371,6426.15,34.57,10259,19846.10,3427,1533.67,7.73,74604,75181.76,36664,24616.73,32.74
West Karbi Anglong,22,14697,9711.58,2663,1092.66,11.25,1786,1277.58,583,162.51,12.72,594,5968.20,23,38.83,0.65,17077,16957.36,3269,1294.00,7.63
