District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Baksa,56,540902,0,208987,331722,540709,41114,14260,303797,168099,199032
Barpeta,126,1187834,366838,704296,918996,1623292,267643,37231,854339,514911,556980
Biswanath,56,359559,56703,168143,248082,416225,41847,14410,184294,85498,137640
Bongaigaon,61,234341,142666,178209,257622,435831,87194,13707,267858,116847,126779
Cachar,162,801329,366976,534396,633850,1168246,156398,38503,573804,385474,395618
Charaideo,36,259129,65091,132283,191912,324195,32974,8828,154690,94753,101578
Chirang,38,373091,14941,152391,235523,387914,25645,10955,247436,121206,126729
Darrang,69,666774,218450,375226,509955,885181,141289,17930,382846,194884,257464
Dhemaji,47,570740,127134,298626,399112,697738,53773,15442,399126,154250,146706
Dhubri,88,1353488,281392,695421,938714,1634135,236508,28779,654383,328777,468622
Dibrugarh,180,487490,229286,298083,422797,720880,92328,24268,424471,284121,193097
Dima Hasao,31,51688,18905,34565,38361,72926,4173,5990,39703,25656,21345
Goalpara,72,560068,211699,314759,456863,771622,78934,15558,375545,168900,255241
Golaghat,121,556313,120629,283416,407177,690593,83656,20595,323105,195913,250568
Hailakandi,46,363557,150162,236776,287074,523850,73003,13442,230010,174551,206536
Hojai,58,377049,314989,299803,392141,691944,65823,17716,438330,237673,221169
Jorhat,133,291300,255240,231330,315143,546473,86134,13183,305218,218497,192103
Kamrup Metro,178,870755,109216,410614,568572,979186,127713,29103,582297,391345,294834
Karbi Anglong,65,213754,43644,115040,166282,281322,33744,10462,92297,48262,73679
Karimganj,91,680460,86333,350609,415941,766550,78976,25150,344108,235862,268928
Kokrajhar,55,541201,94942,284808,382335,667143,108240,19654,317119,147304,240031
Lakhimpur,91,589476,218075,360485,474206,834691,91978,22117,505792,252313,242440
Majuli,16,138685,17974,69208,87434,156642,21240,3052,79157,44069,57934
Morigaon,67,787758,229549,435918,581070,1016988,134443,16360,414589,321532,281480
Nagaon,154,1343431,550681,818106,1075836,1893942,265247,35638,765471,352862,591604
Nalbari,85,415473,81288,216031,303332,519363,68485,16315,210076,134742,202609
Sivasagar,101,281227,87095,163715,218175,381890,45043,12761,247278,151959,132931
Sonitpur,132,594834,255918,379254,563479,942733,192357,30282,479684,222469,286233
South Salmara,13,250369,22462,106348,166429,272777,37904,3593,105682,36904,90636
Tinsukia,145,416359,300759,310773,406239,717012,105427,17250,355073,337108,236525
Udalguri,49,625967,108979,298612,436199,734811,91653,17707,339847,169281,206194
West Karbi Anglong,22,115806,0,49345,66453,115798,6031,2963,38680,27549,32405
