District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Pct
Baksa,56,1136,356.46,609,1992.09,1349,362.56,972,3065.66,5882,10058.78,824,376.07,3 .74
Barpeta,126,2207,487.59,1937,5549.24,2945,536.77,2982,8277.39,11705,18442.21,1240,880.45,4 .77
Biswanath,56,972,123.14,728,2232.52,1692,309.86,2210,5752.63,8229,13293.13,1529,714.41,5 .37
Bongaigaon,61,1218,325.26,508,1434.59,1516,351.56,789,2345.72,4557,8147.83,246,189.54,2 .33
Cachar,162,1587,393.57,1306,2844.18,2149,484.80,2131,4497.33,6998,9487.72,929,494.29,5 .21
Charaideo,36,458,36.06,421,1275.20,551,36.29,670,1940.00,4018,6674.74,191,106.38,1 .59
Chirang,38,1050,191.40,345,939.89,1181,202.40,833,1829.05,2858,4859.38,434,266.84,5 .49
Darrang,69,1299,247.72,1173,3191.93,1926,274.33,1710,4536.56,7279,11352.13,1023,815.46,7 .18
Dhemaji,47,2272,295.06,1139,3425.89,3063,441.24,2657,6709.35,7636,13817.84,821,354.58,2 .57
Dhubri,88,4627,904.42,1114,2436.53,5419,1205.28,2901,5406.11,7551,9744.29,1121,532.32,5 .46
Dibrugarh,180,2245,678.07,1232,3546.36,3456,843.99,3051,7156.76,7983,14355.66,420,208.27,1 .45
Dima Hasao,31,290,13.06,175,486.05,385,18.00,232,659.05,1156,1785.69,83,31.72,1 .78
Goalpara,72,920,203.97,858,2354.75,1221,301.08,1484,3774.01,6737,10294.75,1005,531.32,5 .16
Golaghat,121,2029,393.69,1324,3981.11,3283,589.10,2826,7357.77,9488,18900.18,319,176.33,0 .93
Hailakandi,46,1122,519.18,417,847.42,1484,586.27,683,1303.38,2978,3855.92,518,243.14,6 .31
Hojai,58,1127,165.56,1061,2098.83,1458,212.96,1672,3084.85,4764,7088.78,254,148.83,2 .10
Jorhat,133,1330,374.04,996,2983.96,1815,446.01,1884,5729.87,7074,15120.21,268,178.93,1 .18
Kamrup Metro,178,1694,331.86,1976,5587.86,3157,1213.15,4295,10801.50,13128,21539.06,1531,1118.99,5 .20
Karbi Anglong,65,314,15.78,796,2187.85,439,17.55,1223,3266.95,6792,13061.00,337,101.61,0 .78
Karimganj,91,840,297.83,880,1572.93,1018,321.55,1316,2378.15,5005,6109.61,1137,550.91,9 .02
Kokrajhar,55,2154,245.80,538,1481.17,2436,283.94,1045,2568.32,4043,5689.54,481,358.31,6 .30
Lakhimpur,91,2001,517.01,1498,4181.15,2872,620.69,3005,7318.63,9720,15154.86,833,399.27,2 .63
Majuli,16,118,12.80,86,277.83,233,15.30,140,442.47,2109,3369.18,168,74.67,2 .22
Morigaon,67,1013,80.75,966,2178.70,1572,154.93,1906,3961.88,7566,10032.64,2120,1091.70,1 0.88
Nagaon,154,4039,278.10,2336,6770.48,5046,322.83,3614,9725.20,14465,23993.30,936,612.37,2 .55
Nalbari,85,887,266.50,1126,4047.04,1381,346.75,2084,6647.57,9309,16684.66,919,476.21,2 .85
Sivasagar,101,1301,290.13,751,1860.20,1949,357.38,1111,2767.62,5497,9161.05,283,218.75,2 .39
Sonitpur,132,3039,584.66,1360,3985.03,3587,638.90,2328,6423.90,9169,15441.77,1520,683.73,4 .43
South Salmara,13,531,74.89,142,305.85,564,75.23,178,389.71,908,1282.21,177,58.08,4 .53
Tinsukia,145,1142,307.70,1148,3671.62,1797,373.31,1897,5528.99,7193,13169.72,470,219.95,1 .67
Udalguri,49,1643,209.52,528,1446.85,1752,215.78,758,2153.47,4182,6425.43,773,498.63,7 .76
West Karbi Anglong,22,369,18.76,291,749.59,377,18.82,514,1271.47,2681,3775.88,468,116.58,3 .09
