District,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,32,"1,63,200","1,05,812",65
Baksa,35,"95,921","76,944",80
Barpeta,93,"4,28,544","3,53,557",83
Biswanath,58,"2,19,436","1,45,498",66
Bongaigaon,64,"4,03,953","2,85,669",71
Cachar,170,"11,47,046","5,73,083",50
Charaideo,36,"1,44,050","78,801",55
Chirang,38,"1,79,265","1,00,788",56
Darrang,71,"3,03,811","2,34,838",77
Dhemaji,48,"2,16,605","1,90,281",88
Dhubri,90,"4,00,307","2,48,216",62
Dibrugarh,189,"13,21,922","7,55,466",57
Dima Hasao,33,"1,69,470","62,601",37
Goalpara,73,"3,02,462","1,99,447",66
Golaghat,125,"4,58,655","3,92,773",86
Hailakandi,46,"2,17,608","1,00,245",46
Hojai,61,"3,50,844","1,72,494",49
Jorhat,141,"9,05,001","6,32,571",70
Kamrup Metro,181,"8,01,850","5,36,620",67
Karbi Anglong,67,"2,20,258","1,94,988",89
Karimganj,93,"4,94,746","2,00,556",41
Kokrajhar,58,"4,38,364","2,18,421",50
Lakhimpur,93,"3,70,274","3,57,737",97
Majuli,17,"54,323","41,843",77
Morigaon,68,"2,18,046","1,74,824",80
Nagaon,158,"7,08,882","5,70,746",81
Nalbari,89,"3,91,998","2,79,718",71
Sivasagar,104,"6,00,289","4,11,372",69
Sonitpur,134,"7,23,085","5,27,032",73
South Salmara,16,"35,853","22,757",63
Tamulpur,26,"61,740","42,992",70
Tinsukia,154,"9,11,280","5,62,881",62
Udalguri,51,"2,02,490","1,51,034",75
West Karbi Anglong,22,"38,777","38,060",98
