District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bajali,32,"1,44,47,544","2,84,433.87",113,23.76,"2,618","1,252.32","3,27,776","8,44,890.38","2,75,433","38,460.54","3,83,953","16,011.95"
Baksa,35,"1,39,07,491","2,30,313.72",172,179.87,634,902.19,"2,61,278","19,632.25","2,51,373","11,437.13","3,26,781","12,572.25"
Barpeta,92,"6,37,77,062","13,52,132.91",753,"6,845.04","7,411","4,672.78","11,99,261","27,82,856.79","6,29,163","90,954.32","8,31,643","37,936.04"
Biswanath,58,"2,38,19,738","3,91,267.04",57,950.68,"3,604","2,845.04","8,01,859","10,63,618.99","4,48,935","77,391.91","4,25,115","16,452.96"
Bongaigaon,64,"3,08,57,920","6,54,441.23",193,"2,599.41","8,901","4,270.89","5,10,508","22,54,158.11","6,13,476","77,053.79","6,75,175","28,082.20"
Cachar,167,"7,06,68,665","13,35,197.35",466,"2,817.50","11,825","10,187.54","16,67,373","19,25,848.24","14,93,977","1,14,903.94","14,73,842","61,427.96"
Charaideo,36,"1,51,17,111","2,19,803.14",304,362.77,"1,170","1,402.28","3,74,025","4,14,507.87","2,86,244","10,835.55","2,91,824","11,375.17"
Chirang,38,"1,60,05,321","3,11,402.67",227,28.20,"2,279","1,378.10","2,88,441","4,72,911.02","1,50,076","7,800.66","5,47,395","21,257.06"
Darrang,71,"3,63,16,506","8,00,600.15",356,478.12,"7,726","3,850.93","8,17,632","26,26,565.48","5,95,388","61,852.48","5,28,500","24,860.43"
Dhemaji,47,"3,40,95,234","5,14,478.37",199,"1,885.72","3,668","3,403.85","5,82,492","14,28,040.98","3,07,826","75,686.34","5,60,271","22,344.29"
Dhubri,89,"5,07,14,204","10,63,056.65",613,"7,666.25","6,354","2,648.43","13,41,364","22,05,749.60","5,38,829","86,635.65","7,67,345","38,703.70"
Dibrugarh,187,"7,54,93,819","15,79,464.30",600,277.44,"20,644","9,454.39","16,04,112","20,34,028.71","21,94,478","2,03,883.29","20,60,634","68,466.09"
