district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bajali,32,"1,450","8,411.90","1,095","6,514.83",114,"1,549.71",5,42.92,0,0,5,42.92
Baksa,35,538,"4,710.40",462,"3,310.65",590,"6,914.62",5,50.01,0,0,5,50.01
Barpeta,92,"2,413","21,434.16","1,998","15,493.78",629,"6,415.26",12,149.26,0,0,12,149.06
Biswanath,58,"1,445","9,926.21","1,131","6,531.77",514,"4,958.22",12,155.43,1,0,12,155.43
Bongaigaon,64,"2,032","16,730.37","2,525","23,369.79",319,"3,623.69",54,546.77,0,0,53,658.13
Cachar,167,"3,899","29,129.00","3,417","28,030.62",461,"5,320.24",92,984.73,3,9.56,100,"1,020.02"
Charaideo,36,434,"3,233.69",394,"3,047.06",138,"1,510.28",1,10.13,0,0,1,10.13
Chirang,38,630,"5,621.44",745,"4,881.85",603,"7,615.08",-,-,0,0,-,-
Darrang,71,"1,635","14,197.74","1,931","13,622.57",366,"4,692.75",13,121.03,0,0,13,121.03
Dhemaji,47,"1,752","14,176.38","1,946","8,618.61",697,"8,301.33",22,186.35,0,0,22,186.35
Dhubri,89,"2,042","16,187.80","1,996","10,211.88",511,"5,484.97",36,361.49,0,0,36,361.51
Dibrugarh,187,"4,798","38,871.38","5,811","59,685.74","1,923","20,898.83",78,922.75,1,24.66,84,933.95
Dima Hasao,32,431,"3,715.60",178,"1,191.25",88,654.77,1,6.55,0,0,1,6.55
Goalpara,73,"1,193","10,259.72","1,134","5,448.37",291,"2,961.00",8,53.78,0,0,8,53.78
Golaghat,124,"2,554","19,083.90","3,191","21,752.91",579,"7,723.67",20,161.56,0,0,20,161.56
Hailakandi,46,"1,010","6,858.33",750,"2,963.89",27,130.28,20,170.27,0,0,20,170.27
Hojai,60,964,"7,317.05",930,"5,680.23",94,864.88,17,159.75,0,0,17,159.75
Jorhat,140,"4,972","42,557.16","7,783","64,275.96",985,"11,272.71",55,799.81,2,12.81,58,829.76
Kamrup,179,"6,396","34,887.54","4,277","46,085.55","2,634","32,508.46",42,515.37,0,0,50,549.52
Kamrup Metro,450,"23,106","2,46,764.06","34,113","5,83,514.73","3,101","52,109.96",778,"13,401.35",75,229.05,805,"13,630.24"
Karbi Anglong,66,"2,111","20,945.53",950,"5,485.10","1,105","11,083.69",1,10.13,0,0,1,10.13
Karimganj,92,"1,227","6,757.11",683,"6,463.19",217,"1,881.76",21,242.54,0,0,21,242.54
Kokrajhar,57,"1,183","11,002.03","1,445","14,351.37",490,"6,712.26",3,26.69,0,0,4,26.85
Lakhimpur,92,"3,525","27,171.95","2,772","21,023.74",806,"9,390.76",50,515.75,0,0,50,515.75
Majuli,17,321,"2,390.58",163,555.67,154,"1,941.92",9,97.06,0,0,9,97.06
Morigaon,68,"1,650","11,297.36",803,"7,762.22",637,"4,727.04",42,455.46,0,0,47,485.64
Nagaon,156,"4,444","35,429.66","3,919","26,814.80",994,"11,131.56",72,731.46,0,0,73,744.39
Nalbari,88,"2,660","22,588.95","3,258","24,580.85",797,"9,461.01",11,115.88,0,0,11,115.88
Sivasagar,103,"3,010","22,687.97","3,316","25,381.54",634,"6,941.85",29,477.06,3,4.54,29,477.04
Sonitpur,133,"4,234","33,436.93","5,156","49,823.46","1,167","14,032.48",62,542.58,2,3.44,68,567.51
South Salmara,15,291,"2,660.91",305,389.67,134,"1,255.35",-,-,0,0,-,-
Tamulpur,26,384,"3,528.54",266,"1,095.22",390,"4,071.09",0,0,0,0,0,0
Tinsukia,153,"3,031","24,269.00","3,270","32,971.85",583,"5,932.76",53,468.25,1,14,54,477.70
Udalguri,51,"1,790","15,871.04","2,138","4,276.62",488,"5,687.22",3,19.55,0,0,3,19.55
West Karbi Anglong,22,554,"5,703.68",88,153.76,557,"5,800.33",0,0,0,0,0,0
