District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bajali,32,0,0,121,286.59,1447,8385.17,0,0,16,5.85,4827,3868.34,6411,12545.95
Baksa,35,0,0,65,168.55,619,5714.77,3,26.27,17,4.49,1619,930.24,2323,6844.32
Barpeta,92,0,0,626,1310.09,2414,21890.59,9,43.62,314,151.26,29697,11394.98,33060,34790.54
Biswanath,58,0,0,164,467.24,1459,9937.98,4,25.15,0,-,13938,8506.35,15565,18936.72
Bongaigaon,64,0,0,196,662.87,2049,16850.72,13,83.23,68,33.75,15687,6710.09,18013,24340.66
Cachar,167,0,0,1399,3364.14,3948,28338.95,25,119.64,12,2.49,81472,38009.81,86856,69835.03
Charaideo,36,0,0,87,197.65,433,3212.86,0,0,31,13.55,5326,10257.56,5877,13681.62
Chirang,38,0,0,67,234.51,630,5616.90,1,0.06,97,20.99,8633,3378.15,9428,9250.61
Darrang,71,0,0,459,1334.78,1621,13453.60,5,22.75,27,13.36,17374,5511.46,19486,20335.95
Dhemaji,47,0,0,187,514.53,1749,14121.86,13,189.43,13,2.78,8102,4259.87,10064,19088.47
Dhubri,89,0,0,211,655.77,2013,15948.15,32,183.51,193,115.13,38672,14553.82,41121,31456.38
Dibrugarh,187,0,0,975,2950.64,4813,39709.51,89,462.71,8,2.77,26112,13896.32,31997,57021.95
Dima Hasao,32,0,0,40,109.19,420,3287.61,0,-,0,-,95,1192.40,555,4589.20
Goalpara,73,0,0,176,594.24,1190,10191.40,25,1.91,345,225.04,20839,9192.20,22575,20204.79
Golaghat,124,0,0,429,1260.01,2557,18187.11,32,257.67,0,-,28852,12870.51,31870,32575.30
Hailakandi,46,0,0,95,230.66,1017,6383.29,1,2.02,19,10.36,14252,6244.53,15384,12870.86
Hojai,60,0,0,173,597.69,985,7423.15,0,-,0,0,14144,21642.21,15302,29663.05
Jorhat,140,0,0,1005,3003.66,4890,41454.30,40,314.52,0,-,23211,7971.66,29146,52744.14
Kamrup Metro,179,0,0,1533,4986.54,6429,35698.23,14,119.53,10,4.85,55853,25247.85,63839,66057.00
Karbi Anglong,66,0,0,124,287.51,2110,20929.23,0,0,0,-,3341,1612.34,5575,22829.08
Karimganj,92,0,0,140,369.03,1239,6762.88,3,7.33,7,4.56,38576,22436.66,39965,29580.46
Kokrajhar,57,0,0,160,396.23,1175,10607.04,3,13.46,14,7.16,16666,6987.95,18018,18011.84
Lakhimpur,92,0,0,387,1043.36,3541,26667.82,19,79.9,57,24.21,18958,13577.68,22962,41392.97
Majuli,17,0,0,35,59.81,341,2390.14,0,0,0,0,771,823.68,1147,3273.63
Morigaon,68,0,0,179,494.51,1649,11374.66,4,35.29,13,5.81,12664,26720.61,14509,38630.88
Nagaon,156,0,0,388,1151.13,4609,35847.02,20,290.77,1,0.64,44786,27253.26,49804,64542.82
Nalbari,88,0,0,422,1331.99,2671,22962.23,6,69.77,6,0.59,21295,8217.04,24400,32581.62
Sivasagar,103,0,0,358,1070.52,2828,21247.57,37,244.87,5,2.02,19325,12867.25,22553,35432.23
Sonitpur,133,0,0,634,2029.39,4177,31920.87,21,95.67,1,0.44,30531,27748.62,35364,61794.99
South Salmara,15,0,0,21,57.78,290,2660.60,0,0,6,4.34,364,558.75,681,3281.47
Tamulpur,26,0,0,70,175.70,383,3507.66,0,0,9,1.75,2775,1103.18,3237,4788.29
Tinsukia,153,0,0,712,2240.17,2986,23197.62,35,326.13,11,4.86,22246,12597.98,25990,38366.76
Udalguri,51,0,0,359,972.26,1790,15872.23,0,0,1,0.26,11186,6972.02,13336,23816.77
West Karbi Anglong,22,0,0,15,65.60,554,5703.69,0,0,5,0.39,5,3.13,579,5772.81
