district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Bajali,32,"25,646","20,810.75","9,360","12,240.93"
Baksa,35,"12,388","15,583.87","4,269","7,568.11"
Barpeta,92,"79,234","72,998.39","45,238","46,542.64"
Biswanath,58,"37,131","33,050.37","16,003","19,368.08"
Bongaigaon,64,"45,055","54,337.75","41,601","42,355.26"
Cachar,167,"1,50,288","1,24,563.58","1,15,244","86,780.37"
Charaideo,36,"17,728","21,570.06","15,770","14,962.63"
Chirang,38,"22,159","21,582.33","17,338","14,883.06"
Darrang,71,"59,405","52,158.11","39,115","36,101.37"
Dhemaji,47,"38,365","48,343.30","20,931","26,562.09"
Dhubri,89,"70,156","52,032.05","27,984","29,231.58"
Dibrugarh,187,"1,15,068","1,51,543.04","63,092","85,471.04"
Dima Hasao,32,"7,679","17,360.40","2,562","8,554.54"
Goalpara,73,"48,825","42,383.62","30,483","27,207.90"
Golaghat,124,"87,447","79,191.79","49,256","49,667.72"
Hailakandi,46,"26,031","24,147.16","11,682","13,416.26"
Hojai,60,"35,997","32,783.56","18,723","20,323.86"
Jorhat,140,"93,791","1,15,280.51","42,217","55,090.57"
Kamrup Metro,179,"1,39,727","1,40,040.51","98,040","96,429.18"
Karbi Anglong,66,"35,249","56,657.64","15,249","26,919.52"
Karimganj,92,"63,173","46,959.03","36,064","30,338.97"
Kokrajhar,57,"41,291","44,698.12","45,634","38,823.47"
Lakhimpur,92,"82,733","85,538.96","34,493","49,027.92"
Majuli,17,"5,876","8,215.36","5,738","5,392.93"
Morigaon,68,"46,687","45,386.36","17,796","24,296.26"
Nagaon,156,"1,48,697","1,38,111.39","69,058","75,916.35"
Nalbari,88,"69,934","67,749.16","40,892","42,143.51"
Sivasagar,103,"86,876","98,044.57","43,141","50,916.75"
Sonitpur,133,"92,225","1,07,783.18","58,911","63,076.03"
South Salmara,15,"1,522","2,382.07",650,"1,531.77"
Tamulpur,26,"9,226","9,374.10","3,211","4,110.95"
Tinsukia,153,"76,737","96,250.19","51,336","55,148.85"
Udalguri,51,"32,365","31,848.82","29,205","21,369.22"
West Karbi Anglong,22,"6,924","10,623.45","2,247","4,696.59"
