District,Total Branch,Total Deposit,Total Advance,Overall CD Ratio
Bajali,34,169853,114558,67
Baksa,35,87483,76969,88
Barpeta,94,433398,375364,87
Biswanath,62,238897,166430,70
Bongaigaon,66,410144,308649,75
Cachar,172,1219044,597329,49
Charaideo,37,147065,85984,58
Chirang,40,178290,105100,59
Darrang,70,298808,243002,81
Dhemaji,51,202534,205521,101
Dhubri,90,400949,257708,64
Dibrugarh,189,1385964,861365,62
Dima Hasao,34,146024,68636,47
Goalpara,72,301341,212418,70
Golaghat,127,470025,437633,93
Hailakandi,48,223708,101773,45
Hojai,66,364803,189798,52
Jorhat,142,914817,655814,72
Kamrup Metro,177,803368,603873,75
Karbi Anglong,66,214615,205547,96
Kokrajhar,59,418737,240464,57
Lakhimpur,92,377922,388411,103
Majuli,17,50168,45706,91
Morigaon,70,223289,172975,77
Nagaon,153,733509,752475,103
Nalbari,88,402442,302533,75
Sivasagar,103,576198,430640,75
Sonitpur,133,722903,547848,76
South Salmara,15,28148,25051,89
Tamulpur,21,62443,47589,76
Tinsukia,154,935964,599537,64
Udalguri,55,207471,172132,83
West Karbi Anglong,22,37383,40294,108
