District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bajali,34,60,358.69,59,343.69,260,922.56,86,144.36,15.65
Baksa,35,31,101.13,33,95.22,588,969.44,360,478.57,49.37
Barpeta,93,124,906.92,158,903.09,1359,3288.19,590,890.23,27.07
Biswanath,62,44,264.87,76,265.09,306,895.97,107,158.36,17.67
Bongaigaon,66,83,709.69,109,647.22,571,1479.09,241,359.27,24.29
Cachar,169,143,786.95,176,780.37,1081,3101.48,422,663.92,21.41
Charaideo,37,14,76.61,14,71.13,164,408.55,93,188.16,46.06
Chirang,40,46,173.8,46,142.73,1138,1441.72,883,897.09,62.22
Darrang,70,50,179.93,64,186.05,550,1092.75,275,399.35,36.55
Dhemaji,50,117,465.96,163,397.69,946,2468.19,368,640.35,25.94
Dhubri,89,155,525.34,172,509.05,1418,2262.86,703,768.95,33.98
Dibrugarh,187,127,726.86,198,753.15,1304,3850.29,564,1075.22,27.93
Dima Hasao,33,13,60.50,19,68.81,243,555.81,71,116.92,21.04
Goalpara,72,41,194.36,44,168.04,671,1022.11,429,522.09,51.08
Golaghat,126,42,195.96,92,249.02,675,1551.50,331,604.22,38.94
Hailakandi,48,71,431.33,76,377.98,654,1810.07,236,428.54,23.68
Hojai,65,40,262.07,52,237.33,352,937.45,107,185.79,19.82
Jorhat,141,52,260.00,65,270.46,511,1272.39,213,331.18,26.03
Kamrup Metro,175,157,830.60,195,760.22,1362,3013.16,578,769.13,25.53
Karbi Anglong,65,42,144.65,59,149.65,435,618.45,228,201.41,32.57
Kokrajhar,58,130,497.50,144,430.58,1638,2265.52,1176,1320.46,58.29
Lakhimpur,91,131,650.31,180,625.38,1100,3288.62,528,945.31,28.74
Majuli,16,29,150.77,29,140.03,180,417.44,43,63.70,15.26
Morigaon,70,37,199.09,53,218.91,719,1391.16,471,672.16,48.32
Nagaon,153,202,1346.65,240,1275.06,1219,3970.19,589,946.27,23.83
Nalbari,86,71,388.25,94,378.22,843,2027.82,385,607.43,29.95
Sivasagar,102,107,655.20,142,538.71,745,2503.43,250,470.30,18.79
Sonitpur,132,203,955.08,240,935.54,1128,2832.40,398,573.57,20.25
South Salmara,14,5,21.24,5,20.14,347,410.18,283,286.06,69.74
Tamulpur,21,6,9.00,7,9.16,195,342.60,116,153.51,44.81
Tinsukia,153,184,712.40,203,691.34,1308,3788.14,494,985.89,26.03
Udalguri,55,12,108.20,12,101.78,1293,2217.52,1179,1859.97,83.88
West Karbi Anglong,22,2,13.02,2,13.07,17,56.22,5,10.28,18.29
