district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,34,853,"5,107.60",438,"4,313.88",28,"3,086.69",18,"1,333.32",3,257.77,0,0,65,287.58,0,0,37,42.2,0,0,0,0,"1,442","14,429.04"
Baksa,36,900,"2,375.74",542,"3,574.02",29,583.97,39,"2,783.98",4,180.19,0,0,7,25.12,7,16.14,0,0,0,0,0,0,"1,528","9,539.16"
Barpeta,93,"3,289","18,689.59","2,114","22,699.69",134,"5,645.03",142,"11,468.13",10,1011.19,13,4310.24,36,255.87,61,276.04,3,2.78,0,0,0,0,"5,802","64,358.56"
Biswanath,61,"1,889","10,362.00","1,290","8,595.29",55,"1,701.53",14,911.96,6,233.83,0,0,3,13.39,10,32.56,41,51.49,0,0,0,0,"3,308","21,902.05"
Bongaigaon,68,"3,341","14,342.22","1,540","12,345.78",94,"9,206.71",88,"8,985.85",13,2207.21,7,2129.7,47,126.93,37,266.68,123,121.25,0,0,0,0,"5,290","49,732.33"
Cachar,172,"8,232","35,636.43","3,728","28,311.22",277,"16,811.23",204,"25,766.72",43,6198,21,11028.19,54,727.04,71,245.76,1,1.88,0,0,0,0,"12,631","124,726.47"
Charaideo,37,"1,307","6,323.86",715,"4,529.04",28,578.37,17,605.69,4,42.35,0,0,8,42.6,0,0,11,74.2,0,0,0,0,"2,090","12,196.11"
Chirang,39,"1,522","5,387.25",745,"3,340.23",24,"2,074.91",13,"1,106.72",3,960,1,320,8,13.09,3,1.97,0,0,0,0,0,0,"2,319","13,204.17"
Darrang,70,"2,635","17,326.63","1,505","12,481.54",87,"4,670.29",94,"7,242.50",7,278.45,1,5,23,35.57,15,38.21,3,3,0,0,0,0,"4,370","42,081.19"
Dhemaji,51,"1,967","6,771.90","1,905","11,196.76",38,"1,328.03",54,"3,824.83",1,49,4,362.49,10,58.21,3,1.5,179,290.4,0,0,0,0,"4,161","23,883.12"
Dhubri,88,"3,359","17,206.18","2,014","11,452.47",96,"7,589.10",57,"5,646.84",14,1243.69,3,1664.22,7,63.11,1,1.43,24,23.35,5,15.77,0,0,"5,580","44,906.16"
Dibrugarh,186,"6,023","48,415.72","3,945","40,214.01",305,"23,312.09",284,23971.15,45,6233.38,25,6132.49,52,415.39,33,107.84,480,535.37,2,349.99,11,1493.29,"11,205","151,180.72"
Dima Hasao,33,"1,585","3,637.81",532,"1,828.03",4,47.20,5,145.64,2,63,1,18.89,3,8.06,3,5.39,0,0,0,0,0,0,"2,135","5,754.02"
Goalpara,70,"1,968","11,871.72","1,588","10,462.25",72,"2,778.22",78,"7,316.79",14,78.4,2,214.52,6,31.71,23,44.59,6,7.25,9,12,0,0,"3,766","32,817.45"
Golaghat,126,"3,918","17,395.90","2,132","14,798.89",89,"5,450.37",103,"9,135.72",16,477.65,5,317.89,24,219.2,1,0.25,61,59.43,0,0,0,0,"6,349","47,855.30"
Hailakandi,48,"1,945","6,065.64",958,"6,002.42",31,"1,469.39",34,"1,912.88",1,3,1,200,18,62.12,12,65.82,6,12,3,4.5,0,0,"3,009","15,797.77"
Hojai,65,"3,078","17,030.02","1,358","11,492.89",97,"5,495.31",92,"5,705.72",8,1178.65,0,0,10,55.26,4,9.86,0,0,0,0,0,0,"4,647","40,967.71"
Jorhat,143,"4,014","31,328.05","2,482","27,478.76",243,"15,137.18",215,"23,851.31",92,10747.34,11,4350.66,13,31.24,1,1.44,200,175.9,0,0,0,0,"7,271","113,101.88"
Kamrup,179,"5,021","26,622.38","2,938","34,396.05",180,"4,121.72",246,"23,655.28",66,810.02,30,5163.98,151,895.75,35,118.73,16,16,1,39.5,0,0,"8,684","95,839.41"
Kamrup Metro,471,"16,958","280,323.02","8,432","246,909.65","2,233","196,840.07","2,202","297,907.06",670,148208.51,610,176079.57,41,288.06,78,489.73,15,68.48,2,89.88,32,7134.91,"31,273","1,354,338.94"
Karbi Anglong,62,"2,924","10,630.84","1,509","5,421.47",23,745.50,27,"2,482.35",2,4.08,1,190,53,186.6,13,92.55,0,0,0,0,0,0,"4,552","19,753.39"
Kokrajhar,59,"2,000","9,095.76","1,358","8,816.87",50,"2,688.54",48,"4,548.85",3,30.44,2,56,35,112.26,5,7.55,260,256,0,0,2,60,"3,763","25,672.27"
Lakhimpur,91,"3,475","14,383.20","2,823","19,444.84",86,"3,809.94",128,"11,047.45",26,2737.13,15,5369.59,23,464.97,4,14.21,145,163.27,0,0,0,0,"6,725","57,434.60"
Majuli,16,413,"1,759.20",303,"1,667.20",19,287.90,10,227.49,1,3.3,0,0,4,18.24,0,0,1,0.02,0,0,0,0,751,"3,963.35"
Morigaon,70,"2,559","10,164.39","1,492","8,022.75",69,"1,595.89",46,957.30,15,257.05,5,112.79,3,7.36,1,1.94,75,155.3,0,0,0,0,"4,265","21,274.77"
