District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Bajali,34,0,0.00,55,82.69,542,"1,753.46",0,0,162,245.47,"1,449",929.27,"2,208","3,010.89","7,743","13,498.08"
Baksa,36,0,0.00,32,47.05,60,599.78,0,0,80,83.91,475,867.28,647,"1,598.02","5,529","11,921.98"
Barpeta,93,0,0.00,222,368.69,733,"3,154.26",1,50.3,987,1443.45,"11,931","8,133.64","13,874","13,150.34","37,415","61,669.18"
Biswanath,61,0,0.00,138,208.16,167,804.10,0,0,351,556.68,"4,572","3,910.62","5,228","5,479.56","17,037","27,138.77"
Bongaigaon,68,0,0.00,102,233.41,366,"2,300.93",1,5.66,218,320.76,"6,677","4,228.63","7,364","7,089.39","23,159","37,841.48"
Cachar,172,0,0.00,720,"1,046.65",992,"5,399.57",1,3,100,157.56,"38,568","19,066.61","40,381","25,673.39","70,386","65,192.21"
Charaideo,37,0,0.00,50,95.09,46,300.47,0,0,39,71.32,"1,983","1,271.62","2,118","1,738.50","9,115","10,881.83"
Chirang,39,0,0.00,42,71.58,107,517.94,0,0,248,380.34,"3,460","2,910.22","3,857","3,880.08","11,187","16,764.23"
Darrang,70,0,0.00,215,260.86,358,"2,829.98",0,0,143,205.53,"5,925","4,606.68","6,641","7,903.05","26,187","42,942.78"
Dhemaji,51,0,0.00,111,167.14,255,"1,749.35",0,0,291,509.84,"3,348","3,894.77","4,005","6,321.10","16,312","30,691.41"
Dhubri,88,0,0.00,108,163.70,459,"1,622.45",0,0,869,1299.94,"13,114","10,675.10","14,550","13,761.19","32,165","46,347.01"
Dibrugarh,186,0,0.00,438,940.71,905,"5,197.11",14,0,111,194.14,"10,768","7,613.43","12,236","13,945.39","51,072","66,619.22"
Dima Hasao,33,0,0.00,22,30.25,43,323.39,0,0,35,42.98,-,-,100,396.62,"3,025","5,949.89"
Goalpara,70,0,0.00,82,273.07,350,"1,331.22",0,0,599,1020.01,7994,5844.6,"9,025","8,468.90","21,825","33,599.84"
Golaghat,126,0,0.00,245,412.21,451,"3,412.13",0,0,165,275.46,"10,480","5,487.98","11,341","9,587.78","37,990","47,268.22"
Hailakandi,48,0,0.00,44,45.17,185,643.45,0,0,44,59.79,"7,121","3,725.70","7,394","4,474.11","16,397","15,153.10"
Hojai,65,0,0.00,79,113.21,346,560.91,0,0,853,1226.58,"5,859","3,675.78","7,137","5,576.48","19,604","24,162.29"
Jorhat,143,0,0.00,423,819.27,"1,112","6,194.80",0,0,343,629.86,"9,134","5,173.70","11,012","12,817.63","36,939","42,863.92"
Kamrup Metro,179,0,0.00,976,"1,977.15","2,189","7,807.85",0,0,76,128.01,"16,263","12,185.48","19,504","22,098.49","57,379","74,520.60"
Karbi Anglong,62,0,0.00,41,51.35,146,"1,182.48",0,0.00,171,270.04,"2,254","1,457.80","2,612","2,961.67","12,793","20,740.22"
Kokrajhar,59,0,0.00,86,168.05,245,"1,566.49",0,0,344,516.2,"8,097","6,714.10","8,772","8,964.84","26,087","42,345.51"
Lakhimpur,91,0,0.00,237,471.72,601,"3,875.33",2,0.8,1018,1680.18,"5,316","3,842.51","7,174","9,870.54","33,111","50,929.60"
Majuli,16,0,0.00,22,30.19,72,526.79,0,0,13,23.2,307,"1,156.12",414,"1,736.30","3,547","7,571.05"
Morigaon,70,0,0.00,109,209.34,147,"1,027.17",0,0,259,404.38,"5,051","3,003.88","5,566","4,644.77","24,303","28,797.63"
Nagaon,156,0,0.00,203,395.96,858,"4,196.35",4,129.81,916,1415.08,"14,769","8,251.44","16,750","14,388.64","60,503","84,507.32"
Nalbari,85,0,0.00,215,350.16,393,"3,574.52",0,0,132,194.44,"8,170","5,566.59","8,910","9,685.71","25,386","44,058.35"
Sivasagar,104,0,0.00,216,519.15,707,"3,230.56",1,2.38,126,216.32,"6,467","4,408.97","7,517","8,377.38","26,440","33,574.97"
Sonitpur,135,0,0.00,316,643.07,930,"5,060.10",0,0,94,143.03,"11,717","12,973.89","13,057","18,820.09","34,113","52,996.91"
South Salmara,16,0,0.00,14,16.91,31,97.66,0,0,81,119.7,144,769.23,270,"1,003.50","1,149","3,494.25"
Tamulpur,21,0,0.00,72,102.08,76,443.90,0,0,46,73.13,727,"1,064.88",921,"1,683.99","4,195","9,376.50"
Tinsukia,151,0,0.00,303,635.83,531,"3,100.34",1,12.33,93,163.23,"7,480","4,948.19","8,408","8,859.92","30,542","46,610.94"
Udalguri,56,0,0.00,175,246.34,482,"1,125.86",0,0,38,49.19,"2,984","2,918.75","3,679","4,340.14","15,798","23,840.31"
West Karbi Anglong,21,0,0.00,8,6.31,50,145.16,0,0,224,331.25,0,0,282,482.72,"3,063","5,807.78"
