district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Bajali,34,"2,959","1,947.52","2,760",871.21,4,4.5,210,103.80,"5,933","2,927.03"
Baksa,36,"2,813","1,589.17","1,494",739.33,0,0,22,16.69,"4,329","2,345.19"
Barpeta,93,"19,085","12,224.18","3,589","2,065.15",2,1.39,319,317.53,"22,995","14,608.25"
Biswanath,61,"10,340","6,237.64","2,631",848.41,0,0,393,102.38,"13,364","7,188.43"
Bongaigaon,68,"5,929","3,269.47","1,314",978.01,0,0,168,88.50,"7,411","4,335.98"
Cachar,172,"24,493","12,562.83","4,333","2,187.02",3,49.38,382,853.43,"29,211","15,652.66"
Charaideo,37,"1,643","1,032.11",797,416.06,1,0.66,19,15.44,"2,460","1,464.27"
Chirang,39,"5,920","3,210.69",664,436.79,0,0,38,23.70,"6,622","3,671.18"
Darrang,70,"12,217","7,655.52","5,883","2,523.77",2,4.67,274,355.40,"18,376","10,539.36"
Dhemaji,51,"10,748","7,465.22","1,774",843.91,1,0.11,154,102.24,"12,677","8,411.48"
Dhubri,88,"17,733","8,962.15","5,151","1,824.16",1,1.45,356,182.97,"23,241","10,970.73"
Dibrugarh,186,"25,653","15,536.24","5,357","3,199.16",28,26.5,379,487.37,"31,417","19,249.27"
Dima Hasao,33,407,92.51,180,106.06,0,0,14,9.20,601,207.77
Goalpara,70,"9,185","4,370.76","2,819","1,695.43",8,1.81,152,91.04,"12,164","6,159.04"
Golaghat,126,"24,108","11,506.69","3,582","2,076.79",1,1.07,334,250.22,"28,025","13,834.77"
Hailakandi,48,"8,727","3,746.88","1,601","1,002.90",1,0.15,105,83.10,"10,434","4,833.03"
Hojai,65,"8,201","4,328.22","1,276",648.89,2,16.52,348,197.22,"9,827","5,190.85"
Jorhat,143,"19,006","8,332.61","3,645","1,451.19",5,7.72,266,"1,160.55","22,922","10,952.07"
Kamrup,179,"31,660","18,130.64","7,846","2,665.88",5,4.92,588,343.83,"40,099","21,145.27"
Kamrup Metro,471,"4,898","4,147.18","2,174","4,660.83",10,406.76,427,"9,170.52","7,509","18,385.29"
Karbi Anglong,62,"8,234","3,957.11","1,285",907.40,0,0,47,107.47,"9,566","4,971.98"
Kokrajhar,59,"10,790","6,177.65","1,250",829.52,0,0,41,39.15,"12,081","7,046.32"
Lakhimpur,91,"25,108","14,984.35","7,157","2,223.72",68,13.65,308,201.17,"32,641","17,422.89"
Majuli,16,"1,659",772.48,833,749.35,0,0,26,7.93,"2,518","1,529.76"
Morigaon,70,"14,789","7,683.32","5,384","2,756.59",5,3.5,315,209.97,"20,493","10,653.38"
Nagaon,156,"38,318","18,250.95","11,030","3,212.73",26,65.9,820,"1,044.34","50,194","22,573.92"
Nalbari,85,"12,674","6,178.55","5,197","2,013.12",7,6.94,267,241.23,"18,145","8,439.84"
Sivasagar,104,"8,436","3,712.69","3,898","1,704.78",1,13.62,173,739.39,"12,508","6,170.48"
Sonitpur,135,"10,613","6,544.37","7,791","2,716.66",13,18.88,446,365.09,"18,863","9,645.00"
South Salmara,16,"1,477",443.92,241,239.37,0,0,1,4.46,"1,719",687.75
Sribhumi,95,"12,889","6,789.82","2,293","1,398.71",1,0.18,209,397.61,"15,392","8,586.32"
Tamulpur,21,"2,842","1,588.79",783,405.66,0,0,20,5.7,"3,645","2,000.15"
Tinsukia,151,"15,842","10,576.03","3,023","1,953.27",4,3.32,324,839.82,"19,193","13,372.44"
Udalguri,56,"18,683","12,009.34","7,270","3,473.03",0,0,162,63.97,"26,115","15,546.34"
West Karbi Anglong,21,"2,621","1,011.47",670,295.42,1,0,0,0,"3,292","1,306.89"
