district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bajali,34,0,0.00,0,0.00,0,2,9.00,40,2,9.00,40,2,9.00,202,608.66,9,4.88,0.80
Baksa,36,0,0.00,0,0.00,0,1,0.15,1,0,0.00,0,1,0.15,70,279.43,14,8.83,3.16
Barpeta,93,29,67.92,19,51.00,95,25,68.71,255,32,81.20,262,73,187.63,1179,2873.19,212,54.00,1.88
Biswanath,61,0,0.00,19,80.80,190,35,151.80,427,39,146.80,476,54,232.60,115,262.50,2,0.79,0.30
Bongaigaon,68,26,49.86,6,24.00,51,18,53.00,181,19,49.00,188,50,126.86,131,239.34,18,10.09,4.22
Cachar,172,6,11.00,59,159.15,508,188,642.90,1211,196,639.13,1258,253,813.05,601,1216.99,64,30.06,2.47
Charaideo,37,3,4.07,0,0.00,0,2,2.00,2,2,2.00,2,5,6.07,24,37.03,6,4.60,12.42
Chirang,39,10,12.50,1,1.50,10,2,14.00,20,18,67.50,36,13,28.00,84,147.87,5,3.00,2.03
Darrang,70,0,0.00,0,0.00,0,49,169.62,68,50,170.42,69,49,169.62,354,780.51,28,21.21,2.72
Dhemaji,51,6,10.40,1,4.00,8,122,481.19,291,122,482.19,282,129,495.59,251,588.20,41,58.44,9.94
Dhubri,88,3,1.00,1,3.00,5,34,68.72,276,31,54.79,273,38,72.72,501,580.81,184,119.22,20.53
Dibrugarh,186,110,239.99,0,0.00,0,107,333.34,1305,96,293.34,1298,217,573.33,759,2131.43,92,88.27,4.14
Dima Hasao,33,1,0.03,19,68.50,190,22,88.50,220,25,88.50,250,42,157.03,86,166.44,17,17.19,10.33
Goalpara,70,2,4.00,17,44.90,160,20,70.77,182,27,76.50,207,39,119.67,189,236.82,102,83.90,35.43
Golaghat,126,2,2.00,3,16.00,30,42,149.40,269,37,127.40,264,47,167.40,250,627.96,20,9.76,1.55
Hailakandi,48,3,5.80,2,4.50,11,37,120.01,352,30,82.55,343,42,130.31,420,745.19,72,45.90,6.16
Hojai,65,0,0.00,0,0.00,0,5,24.00,50,11,29.00,56,5,24.00,372,712.23,61,32.59,4.58
Jorhat,143,12,14.00,10,18.22,52,79,315.28,502,100,352.88,514,101,347.50,927,2518.67,19,11.57,0.46
Kamrup,179,2,0.06,5,13.00,40,37,126.9,146,38,121.95,147,44,140.00,428,"1,216.10",28,27.08,2.23
Kamrup Metro,471,37,62.93,41,107.80,360,496,1700.46,"1,400",493,1667.29,"1,377",574,1871.19,1205,2564.77,102,91.13,3.55
Karbi Anglong,62,0,0.00,3,17.00,30,24,95.00,260,26,101.50,262,27,112.00,74,194.34,0,0.00,0.00
Kokrajhar,59,18,41.87,2,4.70,10,8,26.26,78,7,24.00,77,28,72.83,87,171.58,7,6.91,4.03
Lakhimpur,91,3,4.00,1,10.00,10,106,373.96,882,120,420.96,896,110,387.96,471,811.77,152,65.41,8.06
Majuli,16,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,25,22.88,13,6.67,29.15
Morigaon,70,0,0.00,2,11.00,20,3,15.00,21,4,18.00,22,5,26.00,634,717.99,363,222.18,30.94
Nagaon,156,4,9.87,7,30.50,70,27,92.89,129,34,117.89,136,38,133.26,833,2166.53,31,23.55,1.09
Nalbari,85,2,4.00,1,1.20,10,12,56.30,84,13,65.25,76,15,61.50,237,654.92,13,10.00,1.53
Sivasagar,104,2,1.31,20,78.72,115,23,82.00,415,22,81.00,414,45,162.03,252,540.53,26,26.94,4.98
Sonitpur,135,0,0.00,0,0.00,0,89,343.95,591,88,338.95,590,89,343.95,470,1230.84,8,8.42,0.68
South Salmara,16,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,9.43,0,0.00,0.00
Sribhumi,95,3,5.50,12,21.00,120,22,53.40,173,17,38.50,168,37,79.90,271,471.66,88,45.64,9.68
Tamulpur,21,0,0.00,0,0.00,0,43,172.73,52,42,169.70,51,43,172.73,46,151.36,0,0.00,0.00
Tinsukia,151,73,45.50,1,3.00,5,196,603.43,"1,502",232,798.93,1511,270,651.93,1697,"4,965.79",74,44.57,0.90
Udalguri,56,3,3.60,0,0.00,0,15,48.33,24,14,44.20,23,18,51.93,84,205.13,4,3.05,1.49
West Karbi Anglong,21,0,0.00,1,9.00,5,0,0.00,0,0,0.00,0,1,9.00,67,250.88,0,0.00,0.00
