District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Bajali,34,0,0.00,9,34.14,39,120.03,0,0.00,5,1.02,122,49.62,175,204.81
Baksa,36,0,0.00,8,13.39,33,63.94,0,0.00,7,2.64,134,42.14,182,122.11
Barpeta,93,0,0.00,41,118.18,44,182.43,0,0.00,213,98.74,994,103.61,1292,502.96
Biswanath,61,0,0.00,15,24.38,40,113.34,0,0.00,0,0.00,1975,507.02,2030,644.74
Bongaigaon,68,0,0.00,11,30.01,18,74.87,0,0.00,58,30.86,1003,84.79,1090,220.53
Cachar,172,0,0.00,55,112.28,51,329.55,0,0.00,5,1.44,1951,505.78,2062,949.05
Charaideo,37,0,0.00,9,21.06,7,48.51,0,0.00,14,6.55,523,81.04,553,157.16
Chirang,39,0,0.00,9,20.45,4,17.96,0,0.00,78,14.51,936,81.91,1027,134.83
Darrang,70,0,0.00,23,71.92,63,161.07,0,0.00,18,8.23,1446,286.20,1550,527.42
Dhemaji,51,0,0.00,14,33.18,24,129.29,0,0.00,7,2.12,459,120.75,504,285.34
Dhubri,88,0,0.00,16,48.04,38,112.95,0,0.00,133,84.64,931,241.99,1118,487.62
Dibrugarh,186,0,0.00,62,170.72,77,538.06,0,0.00,8,2.77,2052,402.97,2199,1114.52
Dima Hasao,33,0,0.00,5,16.08,8,11.41,0,0.00,0,0.00,3,-,16,27.49
Goalpara,70,0,0.00,11,35.26,39,154.57,1,0.06,257,176.35,1240,277.74,1548,643.98
Golaghat,126,0,0.00,22,56.85,19,90.92,0,0.00,0,0.00,964,71.35,1005,219.12
Hailakandi,48,0,0.00,16,37.03,38,244.90,0,0.00,11,5.89,128,36.23,193,324.05
Hojai,65,0,0.00,11,58.61,11,71.87,0,0.00,0,0.00,425,93.25,447,223.73
Jorhat,143,0,0.00,40,130.13,87,572.31,0,0.00,0,0.00,2276,122.41,2403,824.85
Kamrup Metro,179,0,0.00,46,152.45,111,304.79,0,0.00,8,3.81,3160,157.06,3325,618.11
Karbi Anglong,62,0,0.00,11,20.76,36,137.60,0,0.00,0,0.00,540,120.72,587,279.08
Kokrajhar,59,0,0.00,7,8.99,16,96.07,0,0.00,8,5.46,1098,116.01,1129,226.53
Lakhimpur,91,0,0.00,25,37.03,30,193.32,0,0.00,48,20.37,1692,538.94,1795,789.66
Majuli,16,0,0.00,5,11.31,-,-,0,0.00,0,0.00,519,8.07,524,19.38
Morigaon,70,0,0.00,11,29.77,38,113.13,0,0.00,11,4.64,512,44.60,572,192.14
Nagaon,156,0,0.00,36,85.81,93,494.96,0,0.00,1,1.29,795,121.92,925,703.98
Nalbari,85,0,0.00,40,107.36,90,253.65,0,0.00,3,0.47,1192,190.35,1325,551.83
Sivasagar,104,0,0.00,23,46.69,54,426.16,0,0.00,2,1.24,1216,194.41,1295,668.50
Sonitpur,135,0,0.00,61,151.85,115,473.72,0,0.00,0,0.00,2408,1131.98,2584,1757.55
South Salmara,16,0,0.00,6,27.41,14,42.30,0,0.00,6,4.34,187,242.57,213,316.62
Tamulpur,21,0,0.00,5,17.44,23,86.75,0,0.00,6,1.54,127,27.60,161,133.33
Tinsukia,151,0,0.00,37,81.89,35,254.78,1,0.00,8,3.62,1682,107.40,1763,447.69
Udalguri,56,0,0.00,26,81.18,27,100.41,0,0.00,0,0.00,2768,1206.07,2821,1387.66
West Karbi Anglong,21,0,0.00,2,8.53,11,33.59,0,0.00,5,0.39,1,3.03,19,45.54
