district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,34,"148,891",48075,"80,903","116,034","196,937","28,715","7,538","98,530","32,783","104,728"
Baksa,36,"310,370",-,"114,518","195,790","310,308","33,238","8,235","156,404","59,660","165,766"
Barpeta,93,"1,130,736","378,352","693,486","887,501","1,580,987","204,726","36,955","866,710","271,796","741,285"
Biswanath,61,"452,713","52,844","200,428","305,100","505,528","68,088","19,155","265,078","102,747","223,533"
Bongaigaon,68,"305,557","178,321","228,015","321,265","549,280","70,394","17,039","354,119","111,899","259,330"
Cachar,172,"940,200","222,613","506,069","656,697","1,162,766","149,155","41,200","770,089","309,638","554,371"
Charaideo,37,"303,655","36,969","133,176","207,429","340,605","49,062","9,670","191,113","72,159","142,577"
Chirang,39,"349,314","15,009","139,610","224,615","364,225","22,273","11,323","238,387","82,124","158,391"
Darrang,70,"719,266","271,659","425,822","565,064","990,886","139,147","21,149","513,405","176,532","448,629"
Dhemaji,51,"601,461","183,378","331,042","453,653","784,695","124,941","16,754","480,452","127,943","260,468"
Dhubri,88,"1,525,283","364,266","815,574","1,073,379","1,888,953","341,567","34,921","956,192","337,850","921,397"
Dibrugarh,186,"541,734","182,734","282,964","446,130","729,094","98,813","30,549","500,845","202,353","277,608"
Dima Hasao,33,"54,266","10,254","29,646","36,983","66,629","7,136","4,028","34,387","17,632","29,064"
Goalpara,70,"613,725","285,944","376,068","526,688","902,756","105,274","19,367","509,975","198,277","476,227"
Golaghat,126,"588,875","185,773","320,233","471,616","791,849","113,377","25,789","498,685","197,248","391,436"
Hailakandi,48,"395,065","177,859","253,440","329,772","583,212","82,703","16,620","323,725","127,304","286,010"
Hojai,65,"405,447","343,310","311,416","437,247","748,663","91,146","20,407","610,358","215,889","393,128"
Jorhat,143,"319,431","220,422","206,269","333,543","539,812","95,654","17,190","368,578","137,458","258,702"
Kamrup,179,"1,017,605","112,870","473,127","657,029","1,130,156","135,831","34,994","753,588","311,887","523,016"
Kamrup Metro,471,"110,981","317,687","191,383","245,345","436,728","66,671","23,382","344,224","111,906","157,587"
Karbi Anglong,62,"229,780","46,476","122,113","180,998","303,111","35,061","10,039","98,141","42,214","126,776"
Kokrajhar,59,"634,597","97,733","329,093","440,455","769,548","96,048","22,025","376,005","94,910","370,164"
Lakhimpur,91,"606,862","197,440","348,046","487,176","835,222","114,669","22,859","573,431","165,367","348,172"
Majuli,16,"125,494","30,297","66,355","89,421","155,776","27,962","2,903","100,195","40,921","74,034"
Morigaon,70,"778,670","159,330","394,234","543,384","937,618","174,700","15,695","646,682","237,655","449,000"
Nagaon,156,"1,457,477","619,216","885,956","1,190,575","2,076,531","340,849","43,358","1,172,130","370,266","1,067,610"
Nalbari,85,"432,792","88,278","224,940","324,079","549,019","67,564","17,636","246,083","103,387","291,254"
Sivasagar,104,"263,688","91,867","148,364","223,172","371,536","47,288","13,982","290,569","111,328","175,403"
Sonitpur,135,"559,314","267,932","367,222","557,158","924,380","139,661","30,523","469,173","169,729","421,681"
South Salmara,16,"260,391","23,870","111,360","172,850","284,210","41,531","3,995","108,628","11,378","130,968"
Sribhumi,95,"740,481","108,814","376,870","472,197","849,067","133,906","28,926","555,880","225,535","423,101"
Tamulpur,21,"272,029",-,"107,594","164,308","271,902","22,818","8,750","174,007","60,577","132,474"
Tinsukia,151,"475,400","360,281","321,615","513,844","835,459","124,891","30,612","525,318","195,173","325,035"
Udalguri,56,"698,338","117,976","331,957","484,269","816,226","112,520","22,423","379,247","131,948","336,763"
West Karbi Anglong,21,"132,334",0,"55,415","76,910","132,325","17,907","4,619","47,463","17,517","61,130"
