District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bajali,34,460,1141.56,2104,3145.69,386,1971.13,1399,4418.32
Baksa,36,284,1049.13,1122,3116.86,1645,6267.12,6591,19158.14
Barpeta,93,1674,3307.87,5213,7121.70,585,3360.33,2707,8461.74
Biswanath,61,1190,2509.10,4664,6443.31,1369,3156.26,9130,10412.41
Bongaigaon,68,1544,3858.61,5128,10581.44,1055,7968.28,5424,21742.20
Cachar,172,8411,10991.66,22303,24762.11,1097,3060.91,3890,10269.26
Charaideo,37,189,440.30,735,1249.28,166,633.17,784,2185.34
Chirang,39,807,1410.47,2151,3322.22,2849,11262.33,14967,30888.56
Darrang,70,483,1248.85,2115,3300.35,417,1925.87,1689,4376.71
Dhemaji,51,679,2549.55,3318,6629.91,5623,21450.79,24312,56081.83
Dhubri,88,1187,2585.19,3829,5592.55,378,1460.35,3587,4819.91
Dibrugarh,186,2793,6667.83,9141,17732.26,4016,13476.99,13235,34577.09
Dima Hasao,33,146,619.76,563,1642.31,1794,8786.33,6968,24499.82
Goalpara,70,610,1715.90,2713,4599.48,2831,6145.06,10096,17000.40
Golaghat,126,2529,4128.16,8108,10642.81,2621,6913.26,12634,20174.18
Hailakandi,48,1174,2161.97,3455,4837.02,212,687.38,852,1780.16
Hojai,65,1713,3089.84,5745,8271.75,757,3053.53,2998,7556.98
Jorhat,143,2283,5305.23,9231,15168.72,2463,7572.14,13893,23736.28
Kamrup Metro,179,3021,5329.65,10671,13072.19,3318,8252.42,13095,24428.42
Karbi Anglong,62,344,2024.23,1371,4268.30,5856,23196.04,21594,60450.72
Kokrajhar,59,950,3185.98,2690,6048.02,5529,28952.38,25400,76906.52
Lakhimpur,91,2015,5307.76,8149,13816.23,6264,18131.73,26232,53448.67
Majuli,16,275,878.48,1635,2954.28,976,3642.24,4962,11856.44
Morigaon,70,1433,2451.31,6332,7878.79,2556,5611.97,11165,15253.83
Nagaon,156,3192,7068.62,11969,16195.81,2230,7109.03,8473,17257.44
Nalbari,85,861,2842.41,3781,6500.84,646,1856.59,2680,6405.18
Sivasagar,104,1319,3957.62,5035,9807.06,1199,5089.24,4308,11881.29
Sonitpur,135,2085,5378.36,6945,13365.36,2269,8247.11,8814,20770.82
South Salmara,16,19,94.65,98,267.01,34,171.06,125,385.20
Tamulpur,21,241,821.38,1280,2278.22,1015,4193.38,4367,12140.19
Tinsukia,151,1024,2722.81,4374,8456.46,2225,9338.19,8986,25349.60
Udalguri,56,538,1791.93,2477,4215.97,5374,17103.63,28579,49315.93
West Karbi Anglong,21,125,414.72,390,927.49,1737,4971.22,5322,13473.23
