District,Total Branch,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Clf Tl A/C,Clf Tl Amt,Clf Wc A/C,Clf Wc Amt,Total Msme (PS) Disb No.,Total Msme (PS) Disb Amt
Bajali,34,202,1994.96,150,2039.57,13,1155.04,16,1504.34,2,98.51,0,0,13,114.03,0,0,17,18.99,0,0,0,0,413,6925.44
Baksa,34,303,998.70,166,2266.87,5,280.21,17,1747.50,1,170,0,0,0,0,0,0,0,0,0,0,0,0,492,5463.28
Barpeta,93,713,7169.80,558,9175.39,54,3534.29,95,9711.51,4,206.99,12,3326.65,2,10.07,5,30.96,11,10.75,0,0,0,0,1454,33176.41
Biswanath,63,441,4735.18,197,2091.64,16,908.82,4,306.22,1,50,0,0,0,0,2,6.78,8,14.5,0,0,0,0,669,8113.14
Bongaigaon,69,603,5919.86,412,5854.12,54,7712.57,51,6087.04,7,1091.41,11,2170.93,4,15.95,1,0.24,19,17.5,0,0,0,0,1162,28869.62
Cachar,172,1530,12192.69,872,13822.59,83,9632.65,144,21665.33,18,4021.75,19,8343.26,1,17.75,10,36.4,0,0,0,0,0,0,2677,69732.42
Charaideo,36,316,2152.36,174,1371.09,10,357.30,6,648.04,0,0,0,0,1,2.99,0,0,1,3.8,0,0,0,0,508,4535.58
Chirang,36,279,2482.46,150,1366.67,19,1532.69,10,961.99,3,1016.85,2,359.15,0,0,1,1.91,0,0,0,0,0,0,464,7721.72
Darrang,70,529,4654.94,455,6611.58,28,1803.61,53,5347.29,2,2.37,4,1657.88,0,0,4,24.54,0,0,0,0,0,0,1075,20102.21
Dhemaji,51,398,2315.50,456,4288.19,22,1013.91,33,2616.33,2,50.14,4,354.3,0,0,0,0,52,91.12,0,0,0,0,967,10729.49
Dhubri,90,969,8688.43,545,5384.67,57,5360.49,54,6701.40,2,700,3,1294.35,0,0,0,0,5,4.6,0,0,0,0,1635,28133.94
Dibrugarh,187,1324,19908.85,886,15843.41,110,11166.48,134,13366.88,18,1731.94,12,2253.5,9,211.83,7,27.38,209,277.75,0,0,5,203.36,2714,64991.38
