District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,34,358,239.76,"2,107","1,604.20"
Baksa,34,31,37.16,691,553.82
Barpeta,93,738,285.00,"7,332","2,291.10"
Biswanath,63,519,263.97,"3,305","1,262.01"
Bongaigaon,69,"1,125",600.70,"9,216","3,466.80"
Cachar,172,"1,791",716.08,"17,019","4,809.72"
Charaideo,36,625,222.80,"5,111","1,559.22"
Chirang,36,444,204.57,"3,586","1,249.54"
Darrang,70,"1,445",683.94,"9,961","3,417.17"
Dhemaji,51,606,239.91,"4,962","1,347.96"
Dhubri,90,99,109.18,"2,233","1,712.82"
Dibrugarh,187,901,340.43,"5,850","2,297.12"
Dima Hasao,33,38,106.30,677,745.77
Goalpara,71,828,574.80,"8,372","3,102.59"
Golaghat,126,418,306.39,"5,784","3,245.33"
Hailakandi,47,12,23.40,817,581.60
Hojai,66,668,277.79,"4,012","1,580.12"
Jorhat,145,124,272.05,"3,391","2,968.76"
Kamrup Metro,181,"2,374","1,115.25","20,322","6,898.36"
Karbi Anglong,62,639,572.57,"7,662","5,340.58"
Kokrajhar,60,774,385.83,"8,550","3,034.53"
Lakhimpur,91,551,224.23,"5,314","1,905.84"
Majuli,16,449,159.54,"2,703",609.01
Morigaon,70,17,38.91,"1,134",646.43
Nagaon,156,"1,169",646.53,"8,883","3,579.33"
Nalbari,85,918,544.10,"8,651","3,200.38"
Sivasagar,106,408,159.32,"3,107","1,516.87"
Sonitpur,134,"1,774",713.61,"11,339","3,696.04"
South Salmara,16,-,-,76,66.89
Tamulpur,21,10,17.49,599,392.91
Tinsukia,151,964,341.93,"8,885","2,582.77"
Udalguri,56,704,312.75,"6,833","1,979.85"
West Karbi Anglong,21,25,61.20,"1,061",829.71
