District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Bajali,34,21,104.42,8196,9028.00,2,1.31,2,12.22,0,0,13,21.91,8234,9167.86
Baksa,34,72,168.99,3208,5484.72,13,50.85,5,4.14,0,0,8,375.79,3306,6084.49
Barpeta,93,158,701.71,75455,128080.09,30,58.04,11,39.68,1,2.16,408,367.16,76063,129248.84
Biswanath,63,401,522.25,9074,11073.51,388,477.70,14,68.82,1,0.06,51,197.51,9929,12339.85
Bongaigaon,69,981,2251.96,24757,48710.50,608,340.94,30,114.12,20,3.62,76,473.21,26472,51894.35
Cachar,172,2150,5675.59,72530,112239.79,56,194.55,66,249.23,4,7.13,106,2618.16,74912,120984.45
Charaideo,36,161,198.27,2628,4184.48,72,284.88,33,129.93,3,10.63,12,9.01,2909,4817.20
Chirang,36,2340,2200.37,7726,10205.89,27,24.99,9,35.02,6,4.8,2,0.22,10110,12471.29
Darrang,70,243,797.88,49018,68805.56,822,1137.09,17,162.01,1,0.32,358,629.06,50459,71531.92
Dhemaji,51,141,528.20,582,1321.08,24,106.70,24,100.90,1,1.88,32,47.79,804,2106.55
Dhubri,90,1041,933.20,68822,97813.41,14,29.83,31,135.89,2,14.79,36,775.67,69946,99702.79
Dibrugarh,187,1298,3451.30,9836,24165.92,201,725.50,298,1809.97,8,9.8,125,1134.30,11766,31296.79
Dima Hasao,33,3156,11315.70,351,1273.85,9,30.08,5,17.84,0,0,,,3521,12637.47
Goalpara,71,3187,2773.83,34079,61421.82,9,19.74,19,46.68,14,14.05,171,200.12,37479,64476.24
Golaghat,126,1260,1855.04,11172,17022.58,242,279.25,107,437.24,4,2.37,82,248.46,12867,19844.94
Hailakandi,47,257,537.46,26926,39735.63,3,5.22,4,2.63,0,0,13,10.38,27203,40291.32
Hojai,66,331,856.46,23923,37342.47,16,77.42,51,224.90,0,0,91,81.37,24412,38582.62
Jorhat,145,852,3731.48,8885,20785.03,362,879.81,170,1236.52,6,74.95,124,1444.57,10399,28152.36
Kamrup Metro,181,1198,1882.00,62807,88890.99,182,294.22,41,183.25,1,0.93,431,1780.80,64660,93032.19
Karbi Anglong,62,2829,6363.76,1585,2930.34,84,226.04,26,209.08,1,0.62,10,394.02,4535,10123.86
Kokrajhar,60,4106,5733.85,19237,30120.11,8,72.08,15,42.65,3,165.63,30,102.40,23399,36236.72
Lakhimpur,91,1047,2436.40,22373,33307.94,701,953.41,44,108.43,21,18.93,498,1145.12,24684,37970.23
Majuli,16,19,47.95,87,309.01,4,4.64,,,0,0,,,110,361.60
Morigaon,70,148,334.91,29586,33249.44,32,52.37,15,13.67,1,0.44,39,26.39,29821,33677.22
Nagaon,156,876,1344.07,109995,149419.29,54,64.66,164,908.81,9,3.78,133,787.47,111231,152528.08
Nalbari,85,83,250.25,26242,42553.74,25,47.98,32,46.08,3,2.46,95,1355.62,26480,44256.13
Sivasagar,106,325,786.22,13554,32045.36,266,492.94,48,160.24,1,2,95,269.65,14289,33756.41
Sonitpur,134,1560,3919.49,30980,42159.14,1105,2980.66,125,643.12,3,1.95,256,2894.60,34029,52598.96
South Salmara,16,22,76.04,6352,13525.10,1,,10,26.19,1,1.21,1,23.77,6387,13652.31
Tamulpur,21,80,245.06,1784,3215.57,2,0.79,14,14.04,0,0,14,6.63,1894,3482.09
Tinsukia,151,1260,4758.28,4976,12292.78,671,3197.25,154,2028.82,0,0,91,1980.51,7152,24257.64
Udalguri,56,4926,9428.84,6763,15137.42,448,483.47,13,33.95,4,1.79,37,11.33,12191,25096.80
West Karbi Anglong,21,513,1300.51,66,225.92,1,4.60,4,18.35,1,0.45,0,0,585,1549.83
