District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Tarun Plus O/S No.,Tarun Plus O/S Amt,Tarun Plus NPA No.,Tarun Plus NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Bajali,34,4041,843.65,1071,176.74,8071,6839.44,497,434.06,549,3026.46,23,108.58,3,35.41,-,-,12664,10744.96,1591,719.38,6.70
Baksa,34,1112,351.68,335,105.45,3309,3932.41,549,722.23,417,2316.27,21,97.48,3,43.76,-,-,4841,6644.12,905,925.16,13.92
Barpeta,93,20662,4828.41,4931,810.61,25792,24699.40,2115,2721.14,2417,12243.24,152,767.04,44,504.97,3,30.47,48915,42276.02,7201,4329.26,10.24
Biswanath,63,8567,1938.69,2143,380.03,12134,10286.36,772,647.05,781,4312.14,48,219.87,6,62.61,-,-,21488,16599.80,2963,1246.95,7.51
Bongaigaon,69,15880,3419.9,2869,454.7,15117,13168.25,906,941.13,1845,7918.27,83,423.20,19,189.08,1,8.67,32861,24695.50,3859,1827.70,7.40
Cachar,172,51639,10620.69,9666,1590.12,64595,50347.77,4024,4504.91,3945,18535.61,294,1591.79,32,351.56,2,12.46,120211,79855.63,13986,7699.28,9.64
Charaideo,36,7371,1545.36,611,181.13,7211,6963.31,481,572.75,706,3647.66,30,157.91,1,14.78,-,-,15289,12171.11,1122,911.79,7.49
Chirang,36,7038,1434.93,1400,195.08,7933,7206.56,856,869.82,457,2443.61,34,176.70,5,64.76,-,-,15433,11149.86,2290,1241.60,11.14
Darrang,70,18067,4024.68,5381,844.19,19022,17714.27,1530,1662.84,1488,8155.47,195,1057.66,17,200.36,-,-,38594,30094.78,7106,3564.69,11.84
Dhemaji,51,8989,2049.99,1803,349.02,10372,10918.47,1165,1215.99,1143,6166.53,98,411.67,16,167.61,1,3.20,20520,19302.60,3067,1979.88,10.26
Dhubri,90,21842,4404.79,6735,909.1,28812,24718.62,2151,1775.45,1455,7514.55,130,506.72,13,132.92,-,-,52122,36770.88,9016,3191.27,8.68
Dibrugarh,187,22520,5174.32,4845,1064.11,30981,29056.93,2671,3418.83,3137,17254.11,393,2110.65,70,819.50,4,36.48,56708,52304.86,7913,6630.07,12.68
Dima Hasao,33,1464,448.54,399,108.36,1595,2215.87,203,233.08,281,1625.36,19,113.04,1,11.91,-,-,3341,4301.68,621,454.48,10.57
Goalpara,71,13571,3118.59,2950,564.85,14492,13670.75,1434,1493.34,1495,7753.03,77,401.60,14,150.29,-,-,29572,24692.66,4461,2459.79,9.96
Golaghat,126,18383,4418.82,2718,527.17,30381,24078.75,1950,1762.92,2240,9996.05,131,541.36,16,138.84,3,18.31,51020,38632.46,4802,2849.76,7.38
Hailakandi,47,7315,1684.72,1307,284.47,11945,9985.95,1200,1186.30,1091,4306.80,76,330.17,12,117.02,1,11.21,20363,16094.49,2584,1812.15,11.26
Hojai,66,11921,2597.06,2934,472.65,14982,14360.81,1582,1672.13,1968,10326.33,262,1283.55,8,126.40,4,64.66,28879,27410.60,4782,3492.99,12.74
Jorhat,145,15265,3474.67,2597,458.73,27898,23344.24,2207,2202.98,2344,11036.00,193,912.82,18,215.30,3,35.17,45525,38070.21,5000,3609.70,9.48
Kamrup Metro,181,36026,8198.56,8259,1408.85,47358,38502.11,3123,3031.31,3162,15323.94,251,1196.32,42,481.27,1,8.45,86588,62505.88,11634,5644.93,9.03
Karbi Anglong,62,6089,1569.89,879,147.8,6383,6999.99,411,466.85,644,4157.67,48,231.35,11,154.42,-,-,13127,12881.97,1338,846.00,6.57
