District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt
Bajali,34,"18,298","18,961.07","1,274","1,305.37",698,"1,287.51",13,1.27,"2,588","7,337.68","6,747","2,097.62","4,395","5,062.04","1,260","2,489.45",568,"1,499.81"
Baksa,34,"14,097","15,430.39",537,"1,168.41","3,675","7,412.02",9,0.29,"3,868","11,130.21","4,062","1,348.72","2,205","4,184.23","1,499","5,172.43",505,"1,058.28"
Barpeta,93,"55,337","61,386.73","2,643","3,126.45","1,050","2,492.97",65,8.82,"8,367","19,745.54","23,717","7,894.64","32,973","57,160.40","1,327","7,486.47","4,163","9,500.48"
Biswanath,63,"29,685","26,025.01","2,514","3,288.59","3,462","3,729.17",19,1.66,"7,575","18,025.66","12,783","3,912.77","3,303","6,737.23","2,236","8,118.62","1,569","2,962.09"
Bongaigaon,69,"28,272","31,970.63","2,085","3,652.96","1,232","6,499.16",15,4.01,"3,680","10,006.95","14,924","6,507.98","9,500","18,532.41","1,458","5,006.71","4,348","6,410.33"
Cachar,172,"72,475","51,521.93","12,650","10,315.68","2,091","4,299.00",6,0.52,"4,944","10,242.42","74,566","21,938.77","33,117","55,561.18","2,831","10,081.26","2,202","4,441.09"
Charaideo,36,"18,784","17,095.44",508,641.97,415,958.04,2,0.05,"3,641","11,097.06","8,523","2,440.15","1,856","2,819.59",839,"2,698.15",466,995.53
Chirang,36,"18,692","17,577.25",890,"1,108.30","7,123","12,419.41",7,0.44,"2,771","7,653.20","7,716","2,437.82","3,372","4,437.49",645,"2,505.48","1,091","2,604.81"
Darrang,70,"49,383","46,485.83",995,"1,477.90",518,"1,334.93",22,2.09,"6,539","16,386.93","18,597","5,729.04","20,612","38,869.51","1,707","7,613.18","2,085","3,926.33"
Dhemaji,51,"31,153","33,788.72","1,763","2,710.89","12,728","22,403.45",4,0.39,"6,470","18,497.82","12,408","4,287.17",182,556.34,"1,008","7,639.86","2,659","6,285.28"
Dhubri,90,"43,682","37,949.36","1,790","1,915.02","2,811","2,207.29",10,0.90,"5,626","10,954.00","24,612","7,138.80","23,958","37,676.03",940,"2,556.33","3,582","7,084.67"
Dibrugarh,187,"75,683","66,208.86","4,663","7,092.31","7,198","13,053.82",200,17.63,"5,367","18,009.62","41,630","15,888.31","4,085","14,237.66","1,393","7,697.28","3,758","7,039.32"
Dima Hasao,33,"2,674","4,547.15",248,503.60,"3,190","9,123.89",6,0.52,"1,292","3,295.24","1,586",489.99,"1,432","3,471.91",416,"2,691.02",123,322.04
Goalpara,71,"31,265","31,380.20","1,208","1,731.95","5,618","6,301.08",20,2.50,"5,039","13,782.25","20,767","7,277.47","16,969","28,316.51",851,"5,145.83","1,634","2,764.55"
Golaghat,126,"65,871","54,415.02","4,727","4,831.36","7,553","8,834.27",21,1.37,"7,226","24,011.00","37,265","12,032.03","5,189","9,305.84","2,275","10,337.37","3,049","7,668.18"
Hailakandi,47,"21,953","14,948.41","2,162","2,047.41",603,771.88,6,0.74,"2,611","4,667.74","14,000","4,027.44","16,386","18,119.63",380,"2,587.88",691,"1,284.96"
Hojai,66,"28,223","25,320.27","3,334","4,231.02","1,298","2,161.34",14,0.99,"3,114","8,076.25","13,363","4,023.97","13,408","21,337.49","2,384","8,005.37","1,225","2,386.04"
Jorhat,145,"51,905","38,745.51","5,287","6,589.50","8,423","10,506.50",58,5.59,"5,720","17,656.13","36,458","13,330.11","4,819","14,139.99","2,519","12,985.64","3,846","6,464.14"
Kamrup Metro,181,"91,756","69,603.10","4,340","4,304.58","5,882","8,483.01",35,2.17,"7,558","20,478.95","42,748","14,345.82","19,223","37,103.34","3,129","23,475.76","4,585","7,728.41"
Karbi Anglong,62,"18,848","19,341.12",608,"1,979.32","8,939","19,785.34",9,0.56,"7,646","27,075.79","14,185","5,226.82","1,823","3,456.49",964,"2,658.23",532,666.24
Kokrajhar,60,"40,350","39,685.63","1,233","2,013.79","10,044","22,114.48",4,0.20,"3,925","9,171.32","16,001","5,406.47","10,476","14,423.26",738,"5,274.97","3,179","7,572.07"
Lakhimpur,91,"70,150","65,469.91","4,676","7,334.67","14,743","25,015.99",6,0.42,"7,442","18,812.81","24,494","9,517.83","12,183","20,908.03","1,866","15,864.31","3,969","6,689.84"
