District,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,35,440465,198076,70982
Baksa,33,593290,376187,184042
Barpeta,96,1950217,1031930,557270
Biswanath,63,934376,494394,260288
Bongaigaon,68,994679,522295,273558
Cachar,175,2201532,1232410,572049
Charaideo,36,521248,316799,142587
Chirang,36,618040,342434,210442
Darrang,70,1301144,721181,313865
Dhemaji,52,991703,520467,283043
Dhubri,91,2087576,1241990,554017
Dibrugarh,190,1888204,850033,476191
Dima Hasao,34,260460,136469,67831
Goalpara,73,1291244,743326,369273
Golaghat,128,1485463,810057,328050
Hailakandi,47,788639,482957,233741
Hojai,67,1162610,663841,272388
Jorhat,144,1422827,704182,324475
Kamrup Metro,185,2356158,1116048,650116
Karbi Anglong,64,733908,402506,242113
Kokrajhar,61,1168115,672629,430504
Lakhimpur,92,1354009,720450,301867
Majuli,17,269968,182538,93819
Morigaon,70,1228893,740838,337414
Nagaon,157,2732289,1676964,735727
Nalbari,86,1228456,661255,393769
Sivasagar,108,1047801,534976,218768
Sonitpur,135,1719348,959272,635017
South Salmara,17,341705,225679,155306
Tamulpur,21,454556,270333,157399
Tinsukia,151,1551460,718299,393599
Udalguri,56,1119475,618275,369755
West Karbi Anglong,21,255091,129443,57609
