District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Bajali,35,4,25.92,0,0,0,0,3,4.62,328,1741.37,320,1564.06,3560,15028.70,4215,18364.67
Baksa,33,-,-,0,0,0,0,2,9.67,93,760.16,291,1017.45,1837,8733.17,2223,10520.45
Barpeta,95,12,72.40,0,0,0,0,10,70.59,916,3754.52,1099,4070.94,11623,43843.83,13660,51812.28
Biswanath,63,0,0,0,0,0,0,4,39.4,130,793.89,355,1453.46,3980,15504.24,4469,17790.99
Bongaigaon,68,7,23.31,0,0,0,0,11,141.55,417,2970.83,1176,4916.50,9674,35626.19,11285,43678.38
Cachar,172,1,1.6,0,0,0,0,99,266.92,442,5045.03,2314,7816.44,27726,85729.84,30582,98859.83
Charaideo,36,1,0.86,0,0,0,0,0,0,34,424.80,182,523.18,2297,8199.53,2514,9148.37
Chirang,36,0,0,0,0,0,0,1,3.15,97,620.78,333,700.39,2911,17044.73,3342,18369.05
Darrang,70,7,24.95,1,10,0,0,4,40.28,360,1687.18,1136,3142.99,6472,26544.65,7980,31450.05
Dhemaji,51,9,48.61,0,0,0,0,0,0,258,1673.12,550,2116.54,6487,23892.23,7304,27730.50
Dhubri,90,19,52.39,0,0,0,0,2,8.5,247,1460.90,1453,3599.04,9293,33939.62,11014,39060.45
Dibrugarh,188,4,6.65,0,0,0,0,24,269.01,638,8183.69,2410,15025.97,26563,170728.17,29639,194213.49
Dima Hasao,33,0,0,0,0,0,0,2,11.93,31,285.16,407,2720.29,1884,9517.94,2324,12535.32
Goalpara,73,0,1.55,0,0,0,0,0,0,191,727.77,434,1708.63,6334,23112.83,6959,25550.78
Golaghat,127,11,855.96,0,0,0,0,5,52.94,275,3053.07,1148,4319.83,13244,45421.78,14683,53703.58
Hailakandi,47,2,5.35,0,0,0,0,0,0,79,570.65,437,1310.06,3869,11268.11,4387,13154.17
Hojai,66,3,14.18,0,0,0,0,6,66.13,227,996.82,781,2644.15,7617,22706.81,8634,26428.09
Jorhat,143,7,66.80,1,0.11,0,0,23,199.84,907,6775.32,2058,8323.63,19518,65529.56,22514,80895.26
Kamrup Metro,183,3,6.78,0,0,0,0,150,619.71,1349,7089.77,1755,9509.82,28510,147057.93,31767,164284.01
Karbi Anglong,63,1,245.00,1,10.00,0,0,1,1.19,123,1524.82,736,3460.96,5412,24530.54,6274,29772.51
Kokrajhar,60,3,1175.9,0,0,0,0,7,79.52,646,3090.44,642,2471.77,8645,38602.17,9943,45419.80
Lakhimpur,91,10,54.45,1,3.5,0,0,10,76.56,423,3303.70,1104,4742.34,10930,44820.84,12478,53001.39
Majuli,16,1,5.46,0,0,0,0,1,3.11,58,392.43,173,1010.43,720,3975.84,953,5387.27
Morigaon,70,25,188.91,0,0,0,0,2,11.34,159,1278.84,962,4464.52,4576,14497.38,5724,20440.99
Nagaon,157,20,130.22,0,0,0,0,31,227.4,618,5344.14,1514,6491.33,21548,72481.91,23731,84675.00
Nalbari,84,1,80.23,0,0,0,0,6,59.35,424,4552.97,962,4671.99,8822,31964.59,10215,41329.13
Sivasagar,107,23,150.91,1,0.12,0,0,12,172.75,244,2856.37,1305,5428.49,15641,49936.52,17226,58545.16
Sonitpur,134,11,72.85,0,0,0,0,18,206.28,627,7379.07,1413,5884.19,16620,61689.35,18689,75231.74
South Salmara,16,1,0.1,0,0,0,0,0,0,17,82.22,214,305.61,613,3071.65,845,3459.58
Tamulpur,21,0,0,0,0,0,0,1,0.67,38,151.39,127,359.61,1431,6113.67,1597,6625.34
Tinsukia,150,15,385.66,1,4.81,0,0,19,205.94,376,4429.57,1806,7323.90,14483,57812.42,16700,70162.30
Udalguri,56,4,22.55,0,0,0,0,1,17.2,206,1470.13,209,698.62,4337,20035.28,4757,22243.78
West Karbi Anglong,21,1,1.5,0,0,0,0,2,15.18,6,6.04,125,789.80,518,3058.11,652,3870.63
