District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Tarun Plus No.,Tarun Plus Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Bajali,35,1087,427.18,"1,739","2,238.91",142,"1,019.70",2,24.00,"2,970","3,709.79"
Baksa,33,541,231.78,944,"1,261.39",144,943.16,1,5.70,"1,630","2,442.03"
Barpeta,95,5359,2113.15,"7,350","9,428.77",633,"4,210.39",5,84.00,"13,347","15,836.31"
Biswanath,63,2549,943.7,"3,945","4,877.35",207,"1,306.12",3,54.00,"6,704","7,181.17"
Bongaigaon,68,3521,1354.59,"4,809","5,702.49",285,"1,843.96",7,79.14,"8,622","8,980.18"
Cachar,172,12738,4913.03,"19,730","23,914.96",630,"4,217.50",14,185.00,"33,112","33,230.49"
Charaideo,36,2053,723.25,"1,499","2,142.50",141,912.36,2,8.45,"3,695","3,786.56"
Chirang,36,1785,711,"2,437","3,020.17",106,642.46,5,52.74,"4,333","4,426.37"
Darrang,70,4677,1823.18,"5,464","6,723.05",389,"2,713.16",5,65.81,"10,535","11,325.20"
Dhemaji,51,2198,869.8,"2,624","4,010.13",314,"2,084.74",4,80.00,"5,140","7,044.67"
Dhubri,90,5226,2163.66,"7,471","9,105.19",246,"1,541.91",4,43.08,"12,947","12,853.84"
Dibrugarh,188,6597,2292.46,"8,622","11,482.06",799,"4,902.44",14,176.04,"16,032","18,853.00"
Dima Hasao,33,375,182.26,313,708.67,111,716.19,2,35.00,801,"1,642.12"
Goalpara,73,3331,1313.45,"3,674","4,846.51",308,"1,994.41",5,66.23,"7,318","8,220.60"
Golaghat,127,"4,641","1,798","7,775","9,643.22",427,"2,713.49",5,50.00,"12,848","14,204.78"
Hailakandi,47,2176,835.59,"3,310","3,802.04",130,815.42,1,12.00,"5,617","5,465.05"
Hojai,66,3444,1376.06,"4,710","6,328.20",334,"2,414.56",7,104.38,"8,495","10,223.20"
Jorhat,143,4179,1593.23,"7,324","9,087.72",513,"3,269.80",5,73.00,"12,021","14,023.75"
Kamrup Metro,183,8412,3368.06,"13,954","16,926.97",715,"4,621.42",11,145.55,"23,092","25,062.00"
Karbi Anglong,63,1731,713.43,"1,409","2,210.52",174,"1,242.32",3,56.17,"3,317","4,222.44"
Kokrajhar,60,3989,1626.25,"4,696","5,306.98",207,"1,498.02",4,44.29,"8,896","8,475.54"
Lakhimpur,91,3113,1213.94,"6,137","7,989.93",373,"2,535.51",7,110.30,"9,630","11,849.68"
Majuli,16,1201,424.45,269,385.25,41,250.73,1,8.00,"1,512","1,068.43"
Morigaon,70,2452,1009.5,"4,956","6,067.17",252,"1,749.91",2,23.85,"7,662","8,850.43"
Nagaon,157,8481,3426.96,"13,948","16,323.50",667,"4,431.21",6,91.50,"23,102","24,273.17"
Nalbari,84,3498,1386.09,"5,233","6,257.85",341,"2,414.07",3,31.31,"9,075","10,089.32"
Sivasagar,107,3429,1250.29,"6,410","8,351.57",412,"2,459.28",5,70.50,"10,256","12,131.64"
Sonitpur,134,6497,2506.47,"8,941","11,297.62",535,"3,553.66",14,214.61,"15,987","17,572.36"
South Salmara,16,24,7.26,185,519.63,23,177.18,1,10.80,233,714.87
Tamulpur,21,398,164.18,"1,112","1,349.93",43,295.78,-,-,"1,553","1,809.89"
Tinsukia,150,"4,082","1,509","5,013","7,419.86",760,"4,894.22",5,90.00,"9,860","13,913.29"
Udalguri,56,2046,820.96,"1,830","2,397.69",124,938.30,3,26.75,"4,003","4,183.70"
West Karbi Anglong,21,7,2.78,87,158.23,20,147.60,1,20.00,115,328.61
