District,Col_1,Col_2,Col_3,Col_4
Araria,31691,571,465456,312395
Arwal,3683,113324,108288,160800
Aurangabad,14505,438374,482901,
Banka,34073,263447,162294,
Begusarai,16654,369751,245584,
Bhagalpur,21154,344879,256588,
Bhojpur,22724,,,
Buxar,11891,298055,361586,
Darbhanga,37100,723565,,
Gaya,31007,698065,1065620,
Gopalganj,63998,617847,133913,
Jamui,17206,240505,145828,
Jehanabad,6700,144418,230787,
Kaimur (Bhabua),3797,263406,804298,
Katihar,51754,718764,212155,
Khagaria,12032,268689,241936,
Kishanganj,38067,396601,255154,
Lakhisarai,10830,,,
Madhepura,42833,526319,81824,
Madhubani,49683,696978,170111,
Munger,11867,207946,165212,
Muzaffarpur,46854,900507,528135,
Nalanda,18199,525154,,
Nawada,12651,454085,,
Pashchim Champaran,75399,250319,,
Patna,51023,1038571,1259258,
Purbi Champaran,68234,1004003,,
Purnia,52319,,,
Rohtas,15904,861639,,
Saharsa,23893,145936,,
Samastipur,57443,611586,,
Saran,68827,220286,,
Sheikhpura,8790,41719,,
Sheohar,5545,267435,,
Sitamarhi,51352,535147,,
Siwan,51097,170378,,
Supaul,26852,168613,,
Vaishali,48595,230916,,
