District,Branches,Deposits,Advances,CD Ratio
Araria,160,447487,340533,76.10
Arwal,61,183645,83261,45.34
Aurangabad,189,788762,503330,63.81
Banka,115,412599,203295,49.27
Begusarai,227,931883,620435,66.58
Bhagalpur,278,1550192,633781,40.88
Bhojpur,234,1139584,445940,39.13
Buxar,155,617471,277088,44.87
Darbhanga,245,1257504,502931,39.99
Gaya,302,1744105,784536,44.98
Gopalganj,187,822342,337011,40.98
Jamui,120,453708,217024,47.83
Jehanabad,94,366170,140987,38.50
Kaimur (Bhabua),119,432042,271459,62.83
Katihar,185,657291,413076,62.85
Khagaria,117,352246,210238,59.68
Kishanganj,109,327717,237584,72.50
Lakhisarai,80,321099,146094,45.50
Madhepura,119,359162,230746,64.25
Madhubani,276,896417,389131,43.41
Munger,133,761574,227620,29.89
Muzaffarpur,383,1962268,1212811,61.81
Nalanda,251,1115556,420149,37.66
Nawada,140,543658,263044,48.38
Pashchim Champaran,215,697433,413376,59.27
Patna,936,14695889,6566546,44.68
Purbi Champaran,289,1018052,672807,66.09
Purnia,227,727629,601201,82.62
Rohtas,227,1036701,494555,47.70
Saharsa,107,449086,240689,53.60
Samastipur,288,1098425,568509,51.76
Saran,259,1309945,475881,36.33
Sheikhpura,60,206174,92992,45.10
Sheohar,45,100418,69686,69.40
Sitamarhi,166,631782,320694,50.76
Siwan,244,1240248,552664,44.56
Supaul,122,398753,230373,57.77
Vaishali,249,1086731,702302,64.63
