District,No of cases pending As On 31.12.2021 No,Amt,No of cases filed during the quarter March 2022 No,Amt,No of Cases disposed during the quarter March 2022 No,Amt,No of Cases pending as at the end of the quarter March 2022 No,Amt
Araria,13039,20140,191,98,144,149,13086,20089
Arwal,4501,5656,197,242,52,81,4646,5817
Aurangabad,10504,9031,347,538,61,175,10790,9394
Banka,60751,62266,255,252,236,215,60770,62303
Begusarai,44946,21150,412,523,396,344,44962,21329
Bhagalpur,56832,64159,271,309,269,267,56834,64201
Bhojpur,31633,23798,502,501,76,109,32059,24190
Buxar,25617,18641,151,751,75,176,25693,19216
Darbhanga,6166,4757,42,69,44,53,6164,4773
Gaya,45216,6592,41,22,14,45,45243,6569
Gopalganj,26836,17955,66,129,76,172,26826,17912
Jamui,28454,22527,93,559,29,36,28518,23050
Jehanabad,8048,5516,13,11,1,3,8060,5524
Kaimur (Bhabua),17020,15211,184,436,53,123,17151,15524
Katihar,11105,21598,83,120,55,178,11133,21540
Khagaria,10699,21211,222,177,29,38,10892,21350
Kishanganj,6929,4854,288,432,66,84,7151,5202
Lakhisarai,11923,22170,18,25,22,40,11919,22155
Madhepura,5192,5785,197,145,230,242,5159,5688
Madhubani,12841,8211,28,27,48,60,12821,8178
Munger,14401,19931,303,283,106,116,14598,20098
Muzaffarpur,24179,12096,225,1016,307,227,24097,12885
Nalanda,29635,11762,175,378,6,12,29804,12128
Nawada,14484,6212,232,361,0,0,14716,6573
Pashchim Champaran,42674,19995,4295,2015,498,426,46471,21584
Patna,34091,52940,227,495,9,19,34309,53416
Purbi Champaran,13498,11994,97,91,148,266,13447,11819
Purnia,7380,6553,60,366,189,413,7251,6506
Rohtas,12197,27123,233,517,56,76,12374,27564
Saharsa,7411,11131,77,132,81,205,7407,11058
Samastipur,24329,15804,262,223,219,215,24372,15812
Saran,27898,12918,442,836,195,358,28145,13396
Sheikhpura,30262,20673,271,466,28,39,30505,21100
Sheohar,3821,2210,29,64,1,1,3849,2273
Sitamarhi,33239,14516,137,159,54,96,33322,14579
Siwan,16221,12612,82,179,119,183,16184,12608
Supaul,4104,4117,84,96,84,128,4104,4085
Vaishali,22262,12779,216,411,36,41,22442,13149
