district,farm_credit_crop_loan_a_c,amt,term_loan_a_c,amt,out_of_farm_credit_total_allied_activities_a_c,amt,agri_infrastructure_a_c,amt,ancillary_activities_a_c,amt,total_agriculture_ps_a_c,amt,out_of_agriculture_loans_to_small_marginal_farmers_a_c,amt
Araria,11805,157.29,19289,157.29,7647,157.29,25,157.29,514,157.29,31633,157.29,17336,157.29
Arwal,4505,34.45,1783,34.45,967,34.45,49,34.45,85,34.45,6422,34.45,5807,34.45
Aurangabad,13490,139.87,10503,139.87,5393,139.87,122,139.87,736,139.87,24851,139.87,21349,139.87
Banka,7040,68.96,10604,68.96,8180,68.96,5,68.96,487,68.96,18136,68.96,11325,68.96
Begusarai,18192,210.01,25844,210.01,15793,210.01,30,210.01,635,210.01,44701,210.01,26420,210.01
Bhagalpur,9889,178.63,19655,178.63,9795,178.63,17,178.63,860,178.63,30421,178.63,23477,178.63
Bhojpur,12150,101.92,29076,101.92,10400,101.92,130,101.92,329,101.92,41685,101.92,18386,101.92
Buxar,8169,86.91,8444,86.91,4088,86.91,27,86.91,277,86.91,16917,86.91,15217,86.91
Darbhanga,14596,157.12,40145,157.12,29917,157.12,65,157.12,816,157.12,55622,157.12,22106,157.12
Gaya,21707,183.15,71565,183.15,14250,183.15,54,183.15,3628,183.15,96954,183.15,28851,183.15
Gopalganj,12660,141.86,21494,141.86,13604,141.86,154,141.86,211,141.86,34519,141.86,18346,141.86
Jamui,7468,63.25,5093,63.25,4069,63.25,1,63.25,301,63.25,12863,63.25,11462,63.25
Jehanabad,5118,47.66,2757,47.66,904,47.66,2,47.66,286,47.66,8163,47.66,6385,47.66
Kaimur (Bhabua),11639,129.39,6894,129.39,3829,129.39,8,129.39,525,129.39,19066,129.39,16710,129.39
Katihar,11549,153.15,37633,153.15,24614,153.15,1818,153.15,785,153.15,51785,153.15,21328,153.15
Khagaria,7632,107.16,10006,107.16,6823,107.16,7,107.16,380,107.16,18025,107.16,14123,107.16
Kishanganj,7334,106.43,12785,106.43,5381,106.43,269,106.43,653,106.43,21041,106.43,11776,106.43
Lakhisarai,4519,46.22,3238,46.22,2641,46.22,12,46.22,213,46.22,7982,46.22,6390,46.22
Madhepura,8968,100.07,17664,100.07,8374,100.07,4,100.07,603,100.07,27239,100.07,16704,100.07
Madhubani,20017,200.21,19640,200.21,10041,200.21,6,200.21,553,200.21,40216,200.21,28478,200.21
Munger,3224,43.01,4800,43.01,4270,43.01,2,43.01,177,43.01,8203,43.01,6651,43.01
Muzaffarpur,25779,376.81,48118,376.81,25013,376.81,134,376.81,2970,376.81,77001,376.81,56447,376.81
Nalanda,10400,104.76,7858,104.76,4738,104.76,6,104.76,596,104.76,18860,104.76,15911,104.76
Nawada,25474,83.73,4657,83.73,3127,83.73,2,83.73,574,83.73,30707,83.73,14775,83.73
Pashchim Champaran,19562,221.6,23125,221.6,10962,221.6,15,221.6,625,221.6,43327,221.6,29207,221.6
Patna,13238,681.62,219411,681.62,97525,681.62,243,681.62,3336,681.62,236228,681.62,111437,681.62
Purbi Champaran,23380,341.03,50815,341.03,24193,341.03,15,341.03,2453,341.03,76663,341.03,42718,341.03
Purnia,18888,227.57,24800,227.57,11430,227.57,699,227.57,555,227.57,44942,227.57,29552,227.57
Rohtas,14366,155.03,10045,155.03,5884,155.03,172,155.03,819,155.03,25402,155.03,22280,155.03
Saharsa,7186,105.12,11265,105.12,4635,105.12,2,105.12,1213,105.12,19666,105.12,14541,105.12
Samastipur,21825,239.34,27372,239.34,12341,239.34,26,239.34,838,239.34,50061,239.34,33661,239.34
Saran,14597,215.5,38963,215.5,27777,215.5,68,215.5,1793,215.5,55421,215.5,31327,215.5
Sheikhpura,3392,37.24,1921,37.24,1620,37.24,0,37.24,70,37.24,5383,37.24,4692,37.24
Sheohar,3019,33.02,4125,33.02,2028,33.02,2,33.02,256,33.02,7402,33.02,3312,33.02
Sitamarhi,11135,112.87,14124,112.87,4268,112.87,19,112.87,1366,112.87,26644,112.87,15557,112.87
Siwan,13977,224.59,91346,224.59,20119,224.59,29,224.59,856,224.59,106208,224.59,32863,224.59
Supaul,9230,93.21,9600,93.21,2493,93.21,7,93.21,878,93.21,19715,93.21,12813,93.21
Vaishali,16466,233.62,200408,233.62,18292,233.62,44,233.62,2327,233.62,219245,233.62,24216,233.62
