district,no_of_branches,deposit,advances,cd_ratio
Araria,169,5818.08,5150.02,88.52
Arwal,64,2214.88,1012.12,45.70
Aurangabad,203,9244.63,5761.75,62.33
Banka,126,5091.01,2597.14,51.01
Begusarai,235,11881.56,8809.30,74.14
Bhagalpur,293,18585.66,9007.98,48.47
Bhojpur,241,13135.45,5461.27,41.58
Buxar,158,7426.88,3346.78,45.06
Darbhanga,256,15454.58,7988.43,51.69
Gaya,323,21040.29,11551.65,54.90
Gopalganj,195,9938.50,4798.75,48.28
Jamui,126,5561.84,2747.91,49.41
Jehanabad,100,4510.03,1968.45,43.65
Kaimur (Bhabua),126,4770.61,2855.19,59.85
Katihar,190,8436.93,6391.44,75.76
Khagaria,118,4657.50,2874.87,61.73
Kishanganj,112,4140.50,3297.36,79.64
Lakhisarai,87,3803.12,1749.23,45.99
Madhepura,129,4623.48,3288.74,71.13
Madhubani,285,11234.51,6163.63,54.86
Munger,140,9101.17,2954.02,32.46
Muzaffarpur,402,24748.09,17873.92,72.22
Nalanda,259,13836.09,5680.34,41.05
Nawada,161,6788.00,3526.81,51.96
Pashchim Champaran,232,8367.56,6784.40,81.08
Patna,985,164532.74,82092.90,49.89
Purbi Champaran,312,12651.65,10232.43,80.88
Purnia,238,9641.00,8943.95,92.77
Rohtas,248,12504.92,6255.27,50.02
Saharsa,108,5542.82,3566.37,64.34
Samastipur,306,13463.61,8567.79,63.64
Saran,273,15882.64,7114.67,44.80
Sheikhpura,64,2536.90,1249.58,49.26
Sheohar,48,1346.80,957.29,71.08
Sitamarhi,176,8144.42,4960.85,60.91
Siwan,257,15488.12,7482.26,48.31
Supaul,127,5091.11,3399.64,66.78
Vaishali,264,13199.79,10524.36,79.73
