District,KCC New Target No.,AMT,Disbursed No.,% Achievement No.,KCC Renew Target No.,Total No. of KCC
Araria,22033,330.38,245,1.11,40370,62403
Arwal,11941,179.03,48,0.40,14248,26189
Aurangabad,83834,1257.43,459,0.55,109887,193721
Banka,16274,243.99,550,3.38,39034,55308
Begusarai,43112,646.59,764,1.77,81591,124703
Bhagalpur,46438,696.47,1088,2.34,109299,155737
Bhojpur,60091,901.28,411,0.68,79048,139139
Buxar,54735,820.95,281,0.51,88249,142984
Darbhanga,40406,605.98,82,0.20,60881,101287
Gaya,57525,862.77,527,0.92,64742,122267
Gopalganj,56179,842.58,99,0.18,127979,184158
Jamui,26509,397.55,500,1.89,36941,63450
Jehanabad,23108,346.56,114,0.49,25322,48430
Kaimur (Bhabua),51077,766.11,221,0.43,68784,119861
Katihar,30124,451.76,295,0.98,49818,79942
Khagaria,33472,501.98,330,0.99,57485,90957
Kishanganj,13826,207.31,209,1.51,23044,36870
Lakhisarai,23772,356.54,246,1.03,29695,53467
Madhepura,33982,509.69,103,0.30,41280,75262
Madhubani,47559,713.29,146,0.31,92784,140343
Munger,13724,205.8,332,2.42,22904,36628
Muzaffarpur,59487,892.23,595,1.00,115770,175257
Nalanda,47303,709.47,226,0.48,60810,108113
Nawada,34329,514.85,610,1.78,49507,83836
Pashchim Champaran,36632,549.38,1412,3.85,56380,93012
Patna,86569,1298.4,477,0.55,163105,249674
Purbi Champaran,77433,1161.4,210,0.27,112645,190078
Purnia,39829,597.41,616,1.55,65776,105605
Rohtas,61787,926.73,541,0.88,74148,135935
Saharsa,38197,572.93,100,0.26,46449,84646
Samastipur,62798,941.85,1199,1.91,77310,140108
Saran,57276,859.03,211,0.37,75610,132886
Sheikhpura,10958,164.35,188,1.72,14134,25092
Sheohar,6384,95.65,53,0.83,18057,24441
Sitamarhi,25470,381.89,170,0.67,66890,92360
Siwan,49951,749.2,202,0.40,85840,135791
Supaul,32338,484.96,345,1.07,40132,72470
Vaishali,38418,576.11,730,1.90,61640,100058
