District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,39,0.59,18402,151.51,7,0.12,28,0.92,4,0.07,15,1.45,18495,154.66
Arwal,1,0,373,3.77,1,0.01,3,0.22,0,0,2,0.01,380,4.01
Aurangabad,28,0.54,1780,23.28,7,0.04,14,0.43,0,0,23,0.14,1852,24.43
Banka,7,0.63,1813,15.68,1,0,4,0.01,0,0,5,0.04,1830,16.36
Begusarai,17,0.43,5933,57.39,181,2.21,6,0.05,0,0,20,0.3,6157,60.38
Bhagalpur,32,0.83,7035,75.62,71,0.63,13,0.27,1,0.01,12,0.73,7164,78.09
Bhojpur,20,0.2,5493,34.36,1,0,8,0.46,0,0,11,1.7,5533,36.72
Buxar,6,0.07,1011,10.32,2,0.02,1,0.03,0,0,4,0.04,1024,10.48
Darbhanga,38,0.63,11574,81.64,86,1.08,13,0.17,0,0,14,0.2,11725,83.72
Gaya,407,2.53,15539,116.71,881,3.73,60,0.83,4,0.01,33,2.63,16924,126.44
Gopalganj,251,0.54,3878,49.35,14,0.4,6,0.09,1,0.01,6,0.04,4156,50.43
Jamui,8,0.2,1910,19.14,2,0,6,0.19,0,0,11,0.06,1937,19.59
Jehanabad,0,0,716,8.27,0,0,1,0.01,0,0,0,0,717,8.28
Kaimur (Bhabua),3,0.03,1245,14.18,2,0,2,0.02,0,0,3,0.02,1255,14.25
Katihar,234,1.73,22997,153.83,8,0.34,33,0.42,0,0,12,0.09,23284,156.41
Khagaria,5,0.07,1504,16.68,7,0.11,9,0.02,1,0.02,5,0.15,1531,17.05
Kishanganj,159,1.34,25837,210.2,4,0.03,7,0.04,9,0.07,12,2.01,26028,213.69
Lakhisarai,2,0.01,437,4.03,1,0.01,4,0.04,1,0.01,2,0.01,447,4.11
Madhepura,8,0.08,3152,22.02,9,0.01,4,0,4,0.01,3,0.02,3180,22.14
Madhubani,73,0.32,7116,65.88,3,0,14,0.34,0,0,7,0.54,7213,67.08
Munger,35,0.3,1197,15.92,1,0.01,5,0.22,1,0,5,0.02,1244,16.47
Muzaffarpur,119,2.73,15211,117.49,104,1.62,19,0.59,8,0.02,17,0.29,15478,122.74
Nalanda,16,0.47,2026,22.82,21,0.49,6,0.34,0,0,9,0.18,2078,24.3
Nawada,10,0.26,1891,18.41,11,0.25,1,0,0,0,3,0.02,1916,18.94
Pashchim Champaran,152,1.62,8593,79.48,15,0.38,24,0.81,421,0.91,7,0.09,9212,83.29
Patna,181,11.82,47678,317.71,379,4.57,79,4.87,4,0.1,30,1.51,48351,340.58
Purbi Champaran,53,0.76,15214,119.79,265,48.09,18,0.35,8,0.03,25,0.22,15583,169.24
Purnia,82,1.24,20549,191.49,16,0.29,13,0.24,430,0.52,20,24.26,21110,218.04
Rohtas,14,0.13,1991,26.26,8,0.09,27,1.21,0,0,11,0.05,2051,27.74
Saharsa,23,0.56,4599,34.21,6,0.03,6,0.92,2,0,0,0,4636,35.72
Samastipur,43,0.63,4380,48.53,10,0.18,15,0.19,0,0,11,0.09,4459,49.62
Saran,35,0.53,4800,42.49,16,0.17,16,0.26,1,0,13,0.07,4881,43.52
Sheikhpura,4,0.12,287,3.3,6,0.04,0,0,0,0,2,0.02,299,3.48
Sheohar,1,0.12,926,7.33,2,0.03,3,0.02,0,0,3,0.08,935,7.58
Sitamarhi,8,0.38,5296,45.73,10,0.41,10,0.17,2,0.03,3,0.02,5329,46.74
Siwan,238,1.02,27992,165.83,80,0.35,2,0.1,4,0,11,0.17,28327,167.47
Supaul,18,0.45,3591,30.6,5,0.22,8,0.17,3,0,5,0.23,3630,31.67
Vaishali,138,0.67,60423,246.76,30,0.49,23,0.28,3,0.04,16,0.18,60633,248.42
