District,Shishu Account,Amount,Kishor Account,Amount,Tarun Account,Amount,Total Account,Amount
Araria,20701,76.43,17816,176.46,1334,46.22,39851,199.08
Arwal,2764,10.89,1243,13.53,144,8.82,4151,30.6
Aurangabad,9574,38.4,6541,61.57,581,33.63,16696,110.43
Banka,13040,46.4,6737,67.63,288,16.13,20065,108.93
Begusarai,26987,95.39,22722,202.85,1065,56.05,50774,246.83
Bhagalpur,21525,78.56,17022,172.74,930,56.12,39477,213.24
Bhojpur,8522,32.91,6168,59.63,629,36.42,15319,102.24
Buxar,7005,27.96,4679,46.9,402,24.48,12086,80.4
Darbhanga,20526,73.08,23381,182.24,2990,65.78,46897,211.94
Gaya,25582,93.86,17041,139.22,1310,63.08,43933,250.8
Gopalganj,10813,40.95,11810,101.75,1851,41.95,24474,123.85
Jamui,11175,39.45,7900,74.55,360,20.36,19435,99.26
Jehanabad,3426,12.9,3723,36.22,278,14.76,7427,40.56
Kaimur (Bhabua),5846,22.3,4202,39.32,295,18.33,10343,62.93
Katihar,19423,67.65,16426,150.09,1651,55.45,37500,190.75
Khagaria,11197,42.48,7875,78.74,464,27.89,19536,112.85
Kishanganj,14307,49.33,13103,132.21,643,22.64,28053,121.3
Lakhisarai,4301,16.41,3744,39.29,218,13.51,8263,46.33
Madhepura,10228,34.97,9436,88.62,1038,32.8,20702,102.74
Madhubani,25417,85.27,21474,175.65,4429,86.67,51320,257.21
Munger,8902,31.31,5834,56.48,425,24.93,15161,87.55
Muzaffarpur,38606,148.95,29906,260.17,3798,121.17,72310,419.07
Nalanda,10302,39.86,7835,80.3,815,45.89,18952,125.61
Nawada,11137,43.26,8235,75.19,447,27.41,19819,113.93
Pashchim Champaran,16062,65.84,13218,112.25,2501,65.73,31781,197.41
Patna,67583,280.34,32482,346.77,3817,212.58,103882,773.26
Purbi Champaran,25011,100.98,22749,202.34,4682,106.9,52442,308.86
Purnia,16410,62.93,17940,162.34,2521,76.47,36871,202.33
Rohtas,16456,59.07,9415,87.68,796,46.74,26667,164.88
Saharsa,9887,35.92,8882,75.95,893,24.78,19662,96.62
Samastipur,31250,111.74,23927,224.11,1408,74.98,56585,298.46
Saran,22576,89.5,18607,168.87,4591,86.34,45774,265.34
Sheikhpura,2563,9.81,1429,16.93,225,13.24,4217,32.86
Sheohar,1880,6.52,1903,19.5,352,9.69,4135,22.73
Sitamarhi,15509,53.38,13983,115.91,2421,52.51,31913,159.27
Siwan,16275,65.01,19473,166.16,2549,60.42,38297,190.44
Supaul,6581,23.51,7431,68.44,1187,37.69,15199,84.71
Vaishali,27248,101.99,23729,209.05,3090,73.11,54067,277.09
