District,"SC Disbursement During
Quarter No.",Amt.,"Outstanding at the end of
Quarter No.",Amt.,"ST Disbursement During
Quarter No.",Amt.,"Outstanding at the end of
Quarter No.",Amt.
Araria,2795,24.65,13202,163.99,7195,6.81,10755,23.04
Arwal,498,5.31,5333,52.02,82,0.63,412,3.36
Aurangabad,4125,37.39,31159,269.52,615,4.57,3206,20.13
Banka,1341,15.22,11664,95.63,331,3.51,3268,26.83
Begusarai,4156,47.63,33697,285.44,548,4.27,4280,24.99
Bhagalpur,2558,35.40,21204,257.33,688,10.58,4743,74.93
Bhojpur,8460,47.02,66603,244.24,3020,13.88,22083,61.36
Buxar,1474,15.46,14541,110.89,278,2.25,2510,14.98
Darbhanga,9841,72.80,50818,363.65,46721,39.32,47763,69.41
Gaya,27760,140.33,190353,753.35,7967,35.96,60227,239.17
Gopalganj,5122,24.46,21149,136.64,17391,15.18,23990,37.54
Jamui,2600,23.21,19880,160.16,377,3.28,3117,25.84
Jehanabad,659,8.98,6454,63.62,106,1.46,2087,33.59
Kaimur (Bhabua),2935,26.81,19263,161.98,531,2.91,1957,15.17
Katihar,5682,30.45,20457,187.43,8801,15.35,12269,64.48
Khagaria,1087,13.90,7187,88.86,156,1.91,877,10.28
Kishanganj,3081,18.61,12008,112.09,4222,5.88,6682,23.53
Lakhisarai,1131,10.20,7329,67.01,119,1.14,849,6.25
Madhepura,2338,17.03,12107,135.86,12676,7.20,15617,14.01
Madhubani,7567,35.23,22972,208.02,67544,35.78,58765,31.07
Munger,1096,17.38,11601,143.60,135,2.25,1253,21.77
Muzaffarpur,12121,77.14,78053,498.97,39310,30.26,46205,64.90
Nalanda,3182,32.37,31875,273.66,235,2.28,2845,18.79
Nawada,2595,23.14,26200,198.21,268,2.05,2388,15.31
Pashchim Champaran,29372,56.84,46127,236.95,18242,20.88,23083,59.24
Patna,52486,309.46,368685,1833.33,13073,63.97,87794,291.84
Purbi Champaran,8333,57.29,44622,326.28,17455,26.92,29923,72.36
Purnia,6585,28.92,28332,208.21,12660,15.13,22853,73.09
Rohtas,3462,33.65,24488,1019.36,507,3.78,2857,23.10
Saharsa,2174,17.30,10298,114.88,9439,6.08,12918,22.73
Samastipur,4908,52.83,52641,381.56,803,7.48,9363,64.98
Saran,10673,63.85,45567,318.08,20226,22.72,25981,63.78
Sheikhpura,559,6.81,7692,65.74,60,0.79,839,6.31
Sheohar,427,4.11,2165,30.01,4871,2.19,6586,3.29
Sitamarhi,2100,21.29,11762,126.64,8674,7.43,9809,14.59
Siwan,32176,135.84,212846,610.15,32492,60.31,103258,217.18
Supaul,2057,16.88,7716,117.78,18981,12.91,20137,22.26
Vaishali,71576,298.16,495919,1266.55,50272,119.16,209716,440.72
