District,TARGET NO.,AMT,ACHIE. NO.,AMT,% ACHIE. NO.,AMT,OUTSTANDING NO.,AMT,NPA NO.,AMT,% NPA NO.,AMT
Araria,1437,106.93,254,9.46,17.68,8.85,1306,102.67,126,2.63,9.65,2.56
Arwal,456,33.90,64,4.41,14.04,13.01,193,19.18,10,0.61,5.18,3.18
Aurangabad,1587,118.28,328,34.32,20.67,29.02,1494,141.23,44,2.34,2.95,1.66
Banka,3076,229.93,142,10.96,4.62,4.77,809,72.27,28,0.88,3.46,1.22
Begusarai,4496,336.39,471,36.88,10.48,10.96,2724,251.69,147,3.91,5.40,1.55
Bhagalpur,4419,330.65,718,45.67,16.25,13.81,3953,343.95,79,3.22,2.00,0.94
Bhojpur,1739,129.38,582,41.31,33.47,31.93,2359,209.22,103,3.85,4.37,1.84
Buxar,1178,87.72,321,17.34,27.25,19.77,1700,145.39,40,1.72,2.35,1.18
Darbhanga,2390,178.50,451,20.88,18.87,11.70,3075,279.25,53,2.50,1.72,0.90
Gaya,2517,187.94,930,47.55,36.95,25.30,4360,394.03,136,7.06,3.12,1.79
Gopalganj,1357,100.74,305,11.11,22.48,11.03,1913,106.87,762,2.48,39.83,2.32
Jamui,1761,131.41,138,10.50,7.84,7.99,540,42.69,19,0.20,3.52,0.47
Jehanabad,882,65.03,276,22.76,31.29,35.00,888,70.09,17,0.98,1.91,1.40
Kaimur (Bhabua),860,64.03,225,14.48,26.16,22.61,791,74.19,34,2.15,4.30,2.90
Katihar,1986,148.24,372,21.08,18.73,14.22,2021,199.55,98,2.84,4.85,1.42
Khagaria,902,66.90,86,7.83,9.53,11.70,542,44.71,20,1.09,3.69,2.44
Kishanganj,2846,213.01,199,7.43,6.99,3.49,1182,84.58,279,5.68,23.60,6.72
Lakhisarai,594,44.07,112,7.22,18.86,16.38,601,51.23,15,0.82,2.50,1.60
Madhepura,2993,223.98,75,4.22,2.51,1.88,754,62.82,109,2.02,14.46,3.22
Madhubani,3151,235.88,389,18.31,12.35,7.76,1939,193.15,62,1.70,3.20,0.88
Munger,1509,112.31,269,16.18,17.83,14.41,1063,101.38,38,2.19,3.57,2.16
Muzaffarpur,2874,214.62,1000,57.08,34.79,26.60,7198,683.01,174,10.32,2.42,1.51
Nalanda,1897,141.36,377,29.15,19.87,20.62,1965,179.03,56,3.98,2.85,2.22
Nawada,2142,160.01,354,22.98,16.53,14.36,1643,159.59,37,1.48,2.25,0.93
Pashchim Champaran,855,63.58,262,12.43,30.64,19.55,1707,174.18,25,1.27,1.46,0.73
Patna,51880,3890.03,5661,357.77,10.91,9.20,31393,3749.33,483,33.92,1.54,0.90
Purbi Champaran,2778,207.18,540,16.32,19.44,7.88,2344,226.68,60,2.32,2.56,1.02
Purnia,4894,366.18,763,41.70,15.59,11.39,4474,396.64,526,9.06,11.76,2.28
Rohtas,2210,164.90,500,35.41,22.62,21.47,2987,259.06,169,9.14,5.66,3.53
Saharsa,750,55.25,147,6.11,19.60,11.06,915,77.77,66,1.13,7.21,1.45
Samastipur,3114,232.56,522,40.54,16.76,17.43,2948,291.93,60,2.85,2.04,0.98
Saran,8622,646.00,389,18.63,4.51,2.88,2034,206.42,94,2.75,4.62,1.33
Sheikhpura,526,38.67,78,5.55,14.83,14.35,495,46.47,14,0.46,2.83,0.99
Sheohar,368,26.90,53,1.40,14.40,5.20,292,23.05,60,0.57,20.55,2.47
Sitamarhi,1071,79.69,344,14.86,32.12,18.65,1496,153.08,56,2.21,3.74,1.44
Siwan,4205,314.60,384,18.78,9.13,5.97,1849,178.68,49,2.84,2.65,1.59
Supaul,1031,76.33,123,5.76,11.93,7.55,871,70.32,131,2.04,15.04,2.90
Vaishali,8767,657.00,662,29.48,7.55,4.49,2883,246.32,322,5.37,11.17,2.18
