District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,STATE,BANK,OF,INDIA,12/12/2024
Arwal,PUNJAB,NATIONAL,BANK,18/11/2024,
Aurangabad,PUNJAB,NATIONAL,BANK,23/12/2024,
Banka,UCO,BANK,21/12/2024,,
Begusarai,UCO,BANK,24/12/2024,,
Bhagalpur,UCO,BANK,21/12/2024,,
Bhojpur,PUNJAB,NATIONAL,BANK,12/12/2024,
Buxar,PUNJAB,NATIONAL,BANK,19/12/2024,
Darbhanga,CENTRAL,BANK,OF,INDIA,26/10/2024
Gaya,PUNJAB,NATIONAL,BANK,30/12/2024,
Gopalganj,CENTRAL,BANK,OF,INDIA,NOT
Jamui,STATE,BANK,OF,INDIA,24/12/2024
Jehanabad,PUNJAB,NATIONAL,BANK,NOT,HELD
Kaimur (Bhabua),PUNJAB,NATIONAL,BANK,26/12/2024,
Katihar,CENTRAL,BANK,OF,INDIA,NOT
Khagaria,UNION,BANK,OF,INDIA,19/12/2024
Kishanganj,STATE,BANK,OF,INDIA,17/12/2024
Lakhisarai,PUNJAB,NATIONAL,BANK,16/12/2024,
Madhepura,STATE,BANK,OF,INDIA,20/12/2024
Madhubani,CENTRAL,BANK,OF,INDIA,NOT
Munger,UCO,BANK,20/12/2024,,
Muzaffarpur,CENTRAL,BANK,OF,INDIA,30/12/2024
Nalanda,PUNJAB,NATIONAL,BANK,9/1/2025,
Nawada,PUNJAB,NATIONAL,BANK,13/01/2025,
Pashchim Champaran,CENTRAL,BANK,OF,INDIA,NOT
Patna,PUNJAB,NATIONAL,BANK,28/11/2024,
Purbi Champaran,CENTRAL,BANK,OF,INDIA,NOT
Purnia,STATE,BANK,OF,INDIA,28/12/2024
Rohtas,PUNJAB,NATIONAL,BANK,23/12/2024,
Saharsa,STATE,BANK,OF,INDIA,21/12/2024
Samastipur,UNION,BANK,OF,INDIA,26/12/2024
Saran,CENTRAL,BANK,OF,INDIA,20/12/2024
Sheikhpura,CANARA,BANK,6/12/2024,,
Sheohar,BANK,OF,BARODA,6/12/2024,
Sitamarhi,BANK,OF,BARODA,28/11/2024,
Siwan,CENTRAL,BANK,OF,INDIA,29/10/2024
Supaul,STATE,BANK,OF,INDIA,11/12/2024
Vaishali,CENTRAL,BANK,OF,INDIA,23/12/2024
