district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,1437,2.71,26.37,2.71,26.37,2.71,1337,2.71,10.25,2.71,10.25,2.71
Arwal,456,2.69,16.01,2.69,16.01,2.69,216,2.69,4.17,2.69,4.17,2.69
Aurangabad,1587,1.13,25.14,1.13,25.14,1.13,1495,1.13,2.94,1.13,2.94,1.13
Banka,3076,0.71,6.57,0.71,6.57,0.71,716,0.71,3.35,0.71,3.35,0.71
Begusarai,4496,1.59,13.68,1.59,13.68,1.59,2511,1.59,5.54,1.59,5.54,1.59
Bhagalpur,4419,0.79,21.23,0.79,21.23,0.79,3931,0.79,1.83,0.79,1.83,0.79
Bhojpur,1739,1.07,41.29,1.07,41.29,1.07,2449,1.07,2.69,1.07,2.69,1.07
Buxar,1178,1.32,34.72,1.32,34.72,1.32,1446,1.32,2.70,1.32,2.70,1.32
Darbhanga,2390,0.92,28.95,0.92,28.95,0.92,3169,0.92,2.11,0.92,2.11,0.92
Gaya,2517,1.79,43.23,1.79,43.23,1.79,4430,1.79,3.27,1.79,3.27,1.79
Gopalganj,1357,2.48,30.73,2.48,30.73,2.48,1966,2.48,37.49,2.48,37.49,2.48
Jamui,1761,0.55,9.31,0.55,9.31,0.55,531,0.55,4.71,0.55,4.71,0.55
Jehanabad,882,0.96,35.60,0.96,35.60,0.96,885,0.96,1.92,0.96,1.92,0.96
Kaimur (Bhabua),860,2.43,31.51,2.43,31.51,2.43,764,2.43,3.80,2.43,3.80,2.43
Katihar,1986,1.62,27.19,1.62,27.19,1.62,2080,1.62,4.95,1.62,4.95,1.62
Khagaria,902,1.76,12.53,1.76,12.53,1.76,561,1.76,2.85,1.76,2.85,1.76
Kishanganj,2846,6.66,11.35,6.66,11.35,6.66,1200,6.66,28.25,6.66,28.25,6.66
Lakhisarai,594,2.62,22.39,2.62,22.39,2.62,439,2.62,4.10,2.62,4.10,2.62
Madhepura,2993,3.35,3.51,3.35,3.51,3.35,754,3.35,18.17,3.35,18.17,3.35
Madhubani,3151,0.80,20.37,0.80,20.37,0.80,2056,0.80,2.77,0.80,2.77,0.80
Munger,1509,2.00,22.66,2.00,22.66,2.00,1184,2.00,3.21,2.00,3.21,2.00
Muzaffarpur,2874,1.41,46.62,1.41,46.62,1.41,7131,1.41,2.19,1.41,2.19,1.41
Nalanda,1897,2.03,21.93,2.03,21.93,2.03,1882,2.03,2.98,2.03,2.98,2.03
Nawada,2142,1.15,19.19,1.15,19.19,1.15,1671,1.15,2.45,1.15,2.45,1.15
Pashchim Champaran,855,1.06,46.67,1.06,46.67,1.06,1760,1.06,1.65,1.06,1.65,1.06
Patna,51880,0.82,12.68,0.82,12.68,0.82,30812,0.82,1.49,0.82,1.49,0.82
Purbi Champaran,2778,1.26,28.19,1.26,28.19,1.26,2467,1.26,2.59,1.26,2.59,1.26
Purnia,4894,2.56,20.78,2.56,20.78,2.56,4526,2.56,13.19,2.56,13.19,2.56
Rohtas,2210,3.53,25.66,3.53,25.66,3.53,2520,3.53,6.31,3.53,6.31,3.53
Saharsa,750,1.56,23.60,1.56,23.60,1.56,907,1.56,7.39,1.56,7.39,1.56
Samastipur,3114,0.82,22.35,0.82,22.35,0.82,2690,0.82,1.93,0.82,1.93,0.82
Saran,8622,1.18,6.03,1.18,6.03,1.18,2048,1.18,4.20,1.18,4.20,1.18
Sheikhpura,526,0.74,17.11,0.74,17.11,0.74,436,0.74,2.75,0.74,2.75,0.74
Sheohar,368,2.44,26.09,2.44,26.09,2.44,332,2.44,18.07,2.44,18.07,2.44
Sitamarhi,1071,1.21,45.94,1.21,45.94,1.21,1581,1.21,3.54,1.21,3.54,1.21
Siwan,4205,1.42,11.94,1.42,11.94,1.42,1902,1.42,2.63,1.42,2.63,1.42
Supaul,1031,2.81,16.00,2.81,16.00,2.81,858,2.81,14.57,2.81,14.57,2.81
Vaishali,8767,1.91,9.34,1.91,9.34,1.91,2879,1.91,11.57,1.91,11.57,1.91
