district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,104760,85.33,103284,85.33,98.59,85.33
Arwal,46018,31.66,16098,31.66,34.98,31.66
Aurangabad,228436,33.36,78558,33.36,34.39,33.36
Banka,95594,61.37,67177,61.37,70.27,61.37
Begusarai,182032,63.05,160461,63.05,88.15,63.05
Bhagalpur,225255,41.19,106335,41.19,47.21,41.19
Bhojpur,207721,44.17,160737,44.17,77.38,44.17
Buxar,212324,21.44,58014,21.44,27.32,21.44
Darbhanga,164778,58.53,157043,58.53,95.31,58.53
Gaya,232648,79.62,355136,79.62,152.65,79.62
Gopalganj,233937,43.64,142799,43.64,61.04,43.64
Jamui,97323,35.72,51029,35.72,52.43,35.72
Jehanabad,75430,41.23,29904,41.23,39.64,41.23
Kaimur (Bhabua),159981,40.77,58667,40.77,36.67,40.77
Katihar,141195,77.97,146215,77.97,103.56,77.97
Khagaria,122306,39.08,65459,39.08,53.52,39.08
Kishanganj,72294,117.38,90118,117.38,124.65,117.38
Lakhisarai,77312,33.47,32348,33.47,41.84,33.47
Madhepura,108760,52.71,83988,52.71,77.22,52.71
Madhubani,231680,49.96,149928,49.96,64.71,49.96
Munger,80746,34.79,34534,34.79,42.77,34.79
Muzaffarpur,338628,55.67,255047,55.67,75.32,55.67
Nalanda,176640,37.57,84202,37.57,47.67,37.57
Nawada,119073,47.33,76508,47.33,64.25,47.33
Pashchim Champaran,167457,72.23,181067,72.23,108.13,72.23
Patna,365313,87.66,733281,87.66,200.73,87.66
Purbi Champaran,299207,66.90,280982,66.90,93.91,66.90
Purnia,176128,70.07,140797,70.07,79.94,70.07
Rohtas,191493,53.46,84713,53.46,44.24,53.46
Saharsa,102730,50.55,65524,50.55,63.78,50.55
Samastipur,242716,46.41,156629,46.41,64.53,46.41
Saran,215905,50.52,166368,50.52,77.06,50.52
Sheikhpura,38935,38.14,20312,38.14,52.17,38.14
Sheohar,38097,49.73,25114,49.73,65.92,49.73
Sitamarhi,135173,52.66,98164,52.66,72.62,52.66
Siwan,214486,85.90,395391,85.90,184.34,85.90
Supaul,95859,68.74,80226,68.74,83.69,68.74
Vaishali,207123,157.72,806115,157.72,389.20,157.72
