District,Non Priority Sector Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,134,0.97,0,0.00,13,1.18,959,7.67,5443,33.74,6549,43.56
Arwal,0,0.00,0,0.00,3,0.29,151,2.03,816,8.51,970,10.83
Aurangabad,88,0.30,0,0.00,22,4.73,482,7.25,3212,24.81,3804,37.09
Banka,141,1.38,0,0.00,6,0.52,396,3.64,2595,20.20,3138,25.74
Begusarai,116,1.73,1,0.25,17,2.28,788,9.26,8233,48.51,9155,62.03
Bhagalpur,732,10.32,0,0.00,38,2.99,1078,11.55,6375,50.23,8223,75.09
Bhojpur,33,1.84,1,0.01,26,1.41,717,6.95,8011,36.99,8788,47.20
Buxar,28,0.31,2,0.15,17,1.07,587,4.94,2472,19.47,3106,25.94
Darbhanga,86,1.87,1,0.01,32,3.22,861,9.29,10563,40.20,11543,54.59
Gaya,110,1.29,4,0.38,64,8.19,1552,16.84,10588,89.16,12318,115.86
Gopalganj,165,1.56,2,0.09,28,1.69,822,8.04,3628,21.51,4645,32.89
Jamui,1,0.00,1,0.01,34,0.97,565,5.82,2708,20.36,3309,27.16
Jehanabad,7,0.04,2,0.05,8,1.88,248,2.51,2298,19.15,2563,23.63
Kaimur (Bhabua),16,0.08,0,0.00,11,1.20,284,4.10,1875,13.17,2186,18.55
Katihar,63,1.09,0,0.00,57,1.70,1225,10.69,3613,22.34,4958,35.82
Khagaria,38,0.18,1,0.10,7,0.28,516,6.38,3364,20.74,3926,27.68
Kishanganj,19,0.26,0,0.00,11,0.86,581,4.09,1986,12.56,2597,17.77
Lakhisarai,1,0.01,0,0.00,3,0.12,419,3.34,1665,10.95,2088,14.42
Madhepura,46,0.25,1,0.05,4,0.28,474,3.47,2875,16.20,3400,20.25
Madhubani,22,0.26,1,0.04,9,1.06,736,7.02,6362,31.51,7130,39.89
Munger,14,0.05,0,0.00,182,5.19,569,7.36,3078,19.24,3843,31.84
Muzaffarpur,82,36.17,10,0.82,125,12.66,3020,28.96,18020,103.78,21257,182.39
Nalanda,46,0.46,0,0.00,33,3.08,890,11.66,6123,32.43,7092,47.63
Nawada,30,0.64,0,0.00,13,1.32,327,3.38,3301,20.55,3671,25.89
Pashchim Champaran,105,1.02,1,0.02,12,0.63,1069,9.03,5935,38.53,7122,49.23
Patna,375,12.84,15,0.59,389,65.44,8861,107.64,46287,530.30,55927,716.81
Purbi Champaran,173,2.21,0,0.00,24,1.81,1452,13.67,10129,66.14,11778,83.83
Purnia,207,1.11,3,0.18,50,4.33,865,9.03,7760,43.66,8885,58.31
Rohtas,394,5.22,4,0.17,23,2.93,670,7.16,5022,31.47,6113,46.95
Saharsa,37,0.47,0,0.00,10,1.32,490,5.08,3159,16.59,3696,23.46
Samastipur,186,4.00,0,0.00,29,2.30,1192,14.53,13344,63.35,14751,84.18
Saran,58,0.84,4,0.07,30,1.20,1007,9.66,7742,41.14,8841,52.91
Sheikhpura,1,0.00,0,0.00,3,0.20,147,1.62,876,7.12,1027,8.94
Sheohar,8,0.16,0,0.00,2,0.06,377,2.55,919,6.40,1306,9.17
Sitamarhi,120,5.28,0,0.00,20,0.35,999,6.70,5565,28.84,6704,41.17
Siwan,112,0.58,2,0.12,19,1.89,746,7.44,5741,30.34,6620,40.37
Supaul,14,0.39,1,0.02,3,1.19,800,4.13,3166,15.03,3984,20.76
Vaishali,141,1.66,0,0.00,32,7.98,1887,15.51,7722,57.90,9782,83.05
