district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,0,280.18,743,280.18,1337,280.18,41,280.18,18,280.18,44925,280.18,47064,280.18
Arwal,0,58.00,398,58.00,216,58.00,0,58.00,17,58.00,7997,58.00,8628,58.00
Aurangabad,0,282.80,1632,282.80,1495,282.80,3,282.80,42,282.80,22950,282.80,26122,282.80
Banka,0,213.98,595,213.98,716,213.98,147,213.98,19,213.98,22208,213.98,23685,213.98
Begusarai,0,481.86,1810,481.86,2511,481.86,228,481.86,117,481.86,29944,481.86,34610,481.86
Bhagalpur,1,666.82,2111,666.82,3931,666.82,0,666.82,114,666.82,44844,666.82,51001,666.82
Bhojpur,0,394.96,1438,394.96,2449,394.96,2,394.96,63,394.96,20636,394.96,24588,394.96
Buxar,0,211.82,816,211.82,1446,211.82,0,211.82,37,211.82,14225,211.82,16524,211.82
Darbhanga,0,468.62,2477,468.62,3169,468.62,750,468.62,53,468.62,25419,468.62,31868,468.62
Gaya,0,743.89,3784,743.89,4430,743.89,34,743.89,115,743.89,38657,743.89,47020,743.89
Gopalganj,0,226.81,814,226.81,1966,226.81,0,226.81,13,226.81,27039,226.81,29832,226.81
Jamui,0,133.79,366,133.79,531,133.79,0,133.79,11,133.79,22408,133.79,23316,133.79
Jehanabad,0,126.70,798,126.70,885,126.70,0,126.70,20,126.70,5890,126.70,7593,126.70
Kaimur (Bhabua),0,161.69,591,161.69,764,161.69,1,161.69,24,161.69,15396,161.69,16776,161.69
Katihar,0,374.01,814,374.01,2080,374.01,0,374.01,31,374.01,37326,374.01,40251,374.01
Khagaria,0,124.69,576,124.69,561,124.69,6,124.69,13,124.69,14637,124.69,15793,124.69
Kishanganj,0,220.40,496,220.40,1200,220.40,0,220.40,8,220.40,29107,220.40,30811,220.40
Lakhisarai,0,100.11,568,100.11,439,100.11,2476,100.11,11,100.11,10035,100.11,13529,100.11
Madhepura,0,133.75,530,133.75,754,133.75,902,133.75,16,133.75,14193,133.75,16395,133.75
Madhubani,0,342.15,2137,342.15,2056,342.15,1,342.15,41,342.15,25959,342.15,30194,342.15
Munger,0,227.55,742,227.55,1184,227.55,0,227.55,21,227.55,17061,227.55,19008,227.55
Muzaffarpur,0,1055.08,3789,1055.08,7131,1055.08,0,1055.08,142,1055.08,64278,1055.08,75340,1055.08
Nalanda,0,413.81,1840,413.81,1882,413.81,3,413.81,153,413.81,26577,413.81,30455,413.81
Nawada,0,274.01,801,274.01,1671,274.01,0,274.01,35,274.01,23801,274.01,26308,274.01
Pashchim Champaran,0,397.73,1271,397.73,1760,397.73,5,397.73,36,397.73,40386,397.73,43458,397.73
Patna,0,4950.35,13307,4950.35,30812,4950.35,60,4950.35,728,4950.35,106487,4950.35,151394,4950.35
Purbi Champaran,0,530.16,1791,530.16,2467,530.16,26361,530.16,72,530.16,53766,530.16,84457,530.16
Purnia,0,609.52,1482,609.52,4526,609.52,3,609.52,26,609.52,41693,609.52,47730,609.52
Rohtas,0,411.71,1782,411.71,2520,411.71,4,411.71,64,411.71,33973,411.71,38343,411.71
Saharsa,0,161.39,725,161.39,907,161.39,1,161.39,20,161.39,15331,161.39,16984,161.39
Samastipur,0,494.30,2130,494.30,2690,494.30,1802,494.30,66,494.30,32571,494.30,39259,494.30
Saran,0,426.83,1548,426.83,2048,426.83,6,426.83,68,426.83,44291,426.83,47961,426.83
Sheikhpura,0,82.64,375,82.64,436,82.64,246,82.64,16,82.64,8349,82.64,9422,82.64
Sheohar,0,37.14,159,37.14,332,37.14,0,37.14,1,37.14,3698,37.14,4190,37.14
Sitamarhi,0,247.32,1243,247.32,1581,247.32,1,247.32,73,247.32,12280,247.32,15178,247.32
Siwan,0,401.92,1435,401.92,1902,401.92,759,401.92,18,401.92,45948,401.92,50062,401.92
Supaul,0,123.68,694,123.68,858,123.68,223,123.68,49,123.68,9070,123.68,10894,123.68
Vaishali,0,459.48,1860,459.48,2879,459.48,0,459.48,163,459.48,51589,459.48,56491,459.48
