District,"Total Application Sent to
Bank No",Amount,Loan Sanctioned No,Amount,Loan Disbursed No,Amount,"Applications pending at Bank/
No action initiated by Bank/
Under Process No",Amount,"Applications rejected by
Banks No",Amount
Araria,1233,1219.25,68,55.49,53,42.54,585,576.48,580,575.32
Arwal,98,96.50,28,27.50,27,25.65,22,21.90,48,46.60
Aurangabad,333,324.78,111,107.35,100,96.35,77,75.35,145,140.58
Banka,1832,1782.87,393,350.13,357,271.56,184,179.23,1255,1218.32
Begusarai,918,896.01,167,160.15,139,125.57,384,369.77,367,361.64
Bhagalpur,2977,2932.67,773,696.16,680,571.34,520,512.95,1684,1657.07
Bhojpur,612,599.04,132,129.64,115,112.64,276,272.30,204,196.00
Buxar,394,388.63,59,56.54,44,40.85,158,155.19,177,175.84
Darbhanga,1024,1018.22,284,267.87,237,222.12,292,291.20,448,444.64
Gaya,1775,1746.67,581,553.76,515,480.32,377,371.65,817,804.47
Gopalganj,622,615.75,81,65.30,63,49.20,169,166.88,372,368.49
Jamui,2152,2107.72,368,250.42,307,187.82,254,248.69,1530,1493.22
Jehanabad,485,476.47,166,154.87,147,136.96,97,93.30,222,218.40
Kaimur (Bhabua),523,515.10,100,98.60,87,85.60,127,124.68,296,291.72
Katihar,1375,1357.62,279,213.50,242,188.04,427,425.44,669,655.76
Khagaria,670,662.00,96,72.80,85,63.80,205,202.70,369,364.50
Kishanganj,913,905.73,258,239.71,212,194.41,147,145.04,508,504.06
Lakhisarai,701,689.39,240,220.34,191,175.05,114,112.03,347,343.72
Madhepura,2328,2314.96,228,149.48,212,136.78,904,896.89,1196,1191.02
Madhubani,2432,2410.26,476,427.14,341,301.03,622,615.69,1334,1322.34
Munger,164,157.64,25,21.50,21,17.60,36,35.50,103,97.64
Muzaffarpur,4527,4488.87,762,696.35,591,539.02,760,754.13,3005,2977.77
Nalanda,417,411.27,137,121.10,87,64.99,94,93.10,186,183.13
Nawada,971,948.43,295,275.24,247,221.97,266,261.09,410,400.15
Pashchim Champaran,1760,1735.01,156,142.81,127,112.89,420,415.01,1184,1167.79
Patna,2222,2200.85,590,526.15,493,441.05,685,675.24,947,939.51
Purbi Champaran,3928,3873.63,463,400.20,395,339.49,1125,1107.39,2340,2306.95
Purnia,1542,1528.07,214,147.53,195,135.33,648,639.77,680,675.59
Rohtas,4705,4653.53,970,945.07,875,842.22,761,749.78,2974,2943.28
Saharsa,3856,3813.58,491,390.50,442,341.91,523,520.26,2842,2809.20
Samastipur,3357,3326.88,328,278.53,206,183.83,801,795.57,2228,2205.83
Saran,3269,3188.20,568,505.60,424,361.98,593,575.30,2108,2052.52
Sheikhpura,211,203.93,71,65.84,55,50.42,36,34.45,104,99.97
Sheohar,711,704.26,62,56.30,29,24.45,237,235.44,412,407.12
Sitamarhi,4407,4377.52,316,274.43,244,214.60,964,954.32,3127,3108.38
Siwan,1038,1018.82,163,140.20,132,107.12,330,322.36,545,536.02
Supaul,1830,1818.24,268,219.61,246,198.61,536,532.00,1026,1019.55
Vaishali,10723,10576.38,1718,1561.77,1218,1092.62,1530,1502.32,7475,7376.01
