District,TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,2833,395,3874,82.23,136.75,20.82
Arwal,1019,141,127,7.85,12.46,5.57
Aurangabad,6165,862,1201,39.37,19.48,4.57
Banka,2260,315,1601,26.80,70.84,8.51
Begusarai,4559,637,1912,148.11,41.94,23.25
Bhagalpur,5297,740,2113,94.67,39.89,12.79
Bhojpur,4992,697,1140,41.01,22.84,5.88
Buxar,2915,407,693,66.72,23.77,16.39
Darbhanga,4848,677,3333,103.87,68.75,15.34
Gaya,5663,791,4675,140.32,82.55,17.74
Gopalganj,5912,826,3074,26.29,52.00,3.18
Jamui,1931,269,855,22.01,44.28,8.18
Jehanabad,1618,225,456,19.28,28.18,8.57
Kaimur (Bhabua),3701,517,879,91.79,23.75,17.75
Katihar,2933,409,4606,134.01,157.04,32.77
Khagaria,2511,350,1442,87.73,57.43,25.07
Kishanganj,1623,226,2128,20.83,131.12,9.22
Lakhisarai,1703,237,658,21.85,38.64,9.22
Madhepura,1960,273,4490,26.64,229.08,9.76
Madhubani,3854,538,5373,93.74,139.41,17.42
Munger,2017,281,317,21.23,15.72,7.56
Muzaffarpur,7204,1007,5999,204.95,83.27,20.35
Nalanda,4155,580,1165,53.65,28.04,9.25
Nawada,2268,316,752,19.94,33.16,6.31
Pashchim Champaran,3753,524,2658,50.54,70.82,9.65
Patna,8144,1138,11156,1032.45,136.98,90.72
Purbi Champaran,5749,803,11428,162.72,198.78,20.26
Purnia,3033,423,6002,219.37,197.89,51.86
Rohtas,4088,571,1423,106.70,34.81,18.69
Saharsa,2423,338,4756,40.32,196.29,11.93
Samastipur,5416,757,4354,112.43,80.39,14.85
Saran,4847,677,7050,74.41,145.45,10.99
Sheikhpura,932,129,91,4.40,9.76,3.41
Sheohar,768,106,1080,9.68,140.63,9.13
Sitamarhi,2804,391,3613,37.58,128.85,9.61
Siwan,4459,623,6791,148.35,152.30,23.81
Supaul,2259,315,5832,25.34,258.17,8.04
Vaishali,10288,1439,5700,127.86,55.40,8.89
