district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,11027,144.67,8850,70.54,4956,41.37,27,12.87,3874,82.23,23778,310.31
Arwal,9924,144.36,1274,9.97,503,3.80,4,0.43,127,7.85,11329,162.61
Aurangabad,26959,166.39,7024,58.53,4106,34.77,11,0.81,1201,39.37,35195,265.10
Banka,10158,82.01,4741,38.67,3171,22.90,2,0.11,1601,26.80,16502,147.59
Begusarai,24375,195.89,14516,155.11,6934,65.02,18,6.16,1912,148.11,40821,505.27
Bhagalpur,14939,119.42,12483,122.85,4310,43.26,15,2.62,2113,94.67,29550,339.56
Bhojpur,26882,146.59,22280,132.07,16723,88.99,18,1.54,1140,41.01,50320,321.21
Buxar,14103,96.05,6307,48.46,3500,22.66,29,0.62,693,66.72,21132,211.85
Darbhanga,13319,134.00,19252,138.01,12930,78.30,56,0.64,3333,103.87,35960,376.52
Gaya,37504,295.95,71723,349.56,30278,151.62,12,5.06,4675,140.32,113914,790.89
Gopalganj,14013,162.63,9870,79.83,7737,54.42,0,0.00,3074,26.29,26957,268.75
Jamui,18904,67.19,3805,31.46,2257,15.88,3,0.54,855,22.01,23567,121.20
Jehanabad,10682,118.60,2403,30.40,601,5.08,1,0.30,456,19.28,13542,168.59
Kaimur (Bhabua),16715,176.13,5150,47.02,2690,18.16,6,0.12,879,91.79,22750,315.06
Katihar,11676,246.29,12629,113.15,10086,73.54,22,6.30,4606,134.01,28933,499.74
Khagaria,14863,72.55,4957,54.82,2786,25.16,10,1.53,1442,87.73,21272,216.64
Kishanganj,6917,95.44,10160,86.60,6646,57.35,5,1.66,2128,20.83,19210,204.54
Lakhisarai,10366,45.37,2785,33.78,1758,13.73,2,0.15,658,21.85,13811,101.14
Madhepura,8023,100.22,7209,54.03,5534,37.71,13,0.90,4490,26.64,19735,181.80
Madhubani,16300,154.50,9078,82.24,4164,29.51,8,0.70,5373,93.74,30759,331.18
Munger,8625,46.47,2628,29.74,1864,17.73,4,1.02,317,21.23,11574,98.45
Muzaffarpur,22953,258.17,29034,227.45,17536,132.66,43,1.84,5999,204.95,58029,692.42
Nalanda,37929,165.93,6215,75.76,3634,34.65,9,2.97,1165,53.65,45318,298.32
Nawada,30183,99.30,5039,48.22,3137,23.62,5,1.60,752,19.94,35979,169.05
Pashchim Champaran,20169,183.01,14004,131.80,6738,51.83,21,1.70,2658,50.54,36852,367.05
Patna,22280,181.16,139601,854.93,106727,582.35,272,13.47,11156,1032.45,173309,2082.01
Purbi Champaran,30475,267.05,17350,139.79,7676,55.07,5,0.92,11428,162.72,59258,570.49
Purnia,16869,199.00,8502,104.90,4517,41.05,59,20.33,6002,219.37,31432,543.60
Rohtas,25050,198.72,7626,67.38,3265,22.57,7,0.98,1423,106.70,34106,373.78
Saharsa,6739,75.54,5275,47.10,1910,15.93,7,1.54,4756,40.32,16777,164.51
Samastipur,38480,270.84,17477,156.89,8498,76.45,21,14.48,4354,112.43,60332,554.63
Saran,12035,153.01,19781,135.58,15221,94.80,6,0.21,7050,74.41,38872,363.22
Sheikhpura,5605,33.96,1697,24.45,911,9.55,1,0.02,91,4.40,7394,62.82
Sheohar,3351,37.32,3409,22.31,2035,12.50,2,0.01,1080,9.68,7842,69.31
Sitamarhi,10511,123.72,9146,74.70,4260,27.56,32,1.55,3613,37.58,23302,237.54
Siwan,11277,166.72,54859,287.50,43348,219.09,119,1.82,6791,148.35,73046,604.38
Supaul,9386,110.84,4294,36.92,1920,15.19,9,1.14,5832,25.34,19521,174.25
Vaishali,14863,190.53,118948,579.12,89798,434.50,38,1.80,5700,127.86,139549,899.31
