district,disbursement_no,amt,outstanding_no,amt
Araria,4217,464.23,90874,464.23
Arwal,746,34.05,8340,34.05
Aurangabad,5299,301.99,69611,301.99
Banka,3211,256.43,54732,256.43
Begusarai,8932,756.62,110440,756.62
Bhagalpur,4987,350.77,70604,350.77
Bhojpur,4256,193.01,44659,193.01
Buxar,3516,193.43,46270,193.43
Darbhanga,16176,841.13,136182,841.13
Gaya,9753,526.55,115846,526.55
Gopalganj,10305,466.02,88049,466.02
Jamui,3382,247.71,44194,247.71
Jehanabad,661,67.85,11100,67.85
Kaimur (Bhabua),4923,189.16,42394,189.16
Katihar,10170,660.42,88783,660.42
Khagaria,3033,365.84,61684,365.84
Kishanganj,3784,303.11,45909,303.11
Lakhisarai,1610,125.88,30376,125.88
Madhepura,2603,354.29,76770,354.29
Madhubani,8072,709.75,118107,709.75
Munger,2428,196.37,35885,196.37
Muzaffarpur,15634,1315.37,204683,1315.37
Nalanda,4192,255.51,66763,255.51
Nawada,4620,280.04,55226,280.04
Pashchim Champaran,10864,638.10,162139,638.10
Patna,36801,2822.55,406706,2822.55
Purbi Champaran,12653,791.16,170995,791.16
Purnia,4100,465.10,85183,465.10
Rohtas,7365,424.69,76483,424.69
Saharsa,3886,296.61,44700,296.61
Samastipur,10056,832.07,138433,832.07
Saran,17516,714.28,138469,714.28
Sheikhpura,1018,60.14,15811,60.14
Sheohar,886,76.39,16750,76.39
Sitamarhi,5164,485.99,79360,485.99
Siwan,7322,513.31,106333,513.31
Supaul,2117,199.04,33415,199.04
Vaishali,9766,762.68,112797,762.68
