district,kcc_fisheries_disbursed_during_quarter_including_renewal_no,amt,kcc_fisheries_disbursed_during_financial_year_including_rene,amt,kcc_fisheries_outstanding_as_on_30_06_2025_no,amt,kcc_npa_as_on_30_06_2025_no,amt,age_npa_no,amt,rupay_card_issued,rupay_card_activated
Araria,18,3.42,18,3.42,157,3.42,7,3.42,4.46,3.42,4,3
Arwal,0,35.71,0,35.71,16,35.71,4,35.71,25.00,35.71,2,1
Aurangabad,32,6.90,32,6.90,95,6.90,10,6.90,10.53,6.90,2,2
Banka,35,2.58,35,2.58,148,2.58,16,2.58,10.81,2.58,14,14
Begusarai,8,3.01,8,3.01,255,3.01,36,3.01,14.12,3.01,15,1
Bhagalpur,9,13.61,9,13.61,147,13.61,46,13.61,31.29,13.61,2,2
Bhojpur,10,5.17,10,5.17,66,5.17,11,5.17,16.67,5.17,1,1
Buxar,5,10.91,5,10.91,66,10.91,21,10.91,31.82,10.91,0,0
Darbhanga,48,6.49,48,6.49,130,6.49,8,6.49,6.15,6.49,12,4
Gaya,9,7.56,9,7.56,108,7.56,32,7.56,29.63,7.56,6,2
Gopalganj,29,3.42,29,3.42,167,3.42,8,3.42,4.79,3.42,8,1
Jamui,4,9.30,4,9.30,64,9.30,16,9.30,25.00,9.30,4,4
Jehanabad,3,21.28,3,21.28,62,21.28,17,21.28,27.42,21.28,3,3
Kaimur (Bhabua),0,38.89,0,38.89,60,38.89,24,38.89,40.00,38.89,0,0
Katihar,144,0.94,144,0.94,1025,0.94,10,0.94,0.98,0.94,3,2
Khagaria,4,6.01,4,6.01,159,6.01,17,6.01,10.69,6.01,3,3
Kishanganj,8,0.00,8,0.00,82,0.00,0,0.00,0.00,0.00,0,0
Lakhisarai,3,17.86,3,17.86,53,17.86,16,17.86,30.19,17.86,3,3
Madhepura,10,0.61,10,0.61,94,0.61,1,0.61,1.06,0.61,2,2
Madhubani,167,5.57,167,5.57,1145,5.57,82,5.57,7.16,5.57,94,36
Munger,1,4.88,1,4.88,33,4.88,6,4.88,18.18,4.88,3,1
Muzaffarpur,40,6.37,40,6.37,243,6.37,28,6.37,11.52,6.37,18,6
Nalanda,23,3.78,23,3.78,119,3.78,26,3.78,21.85,3.78,12,2
Nawada,10,16.67,10,16.67,69,16.67,21,16.67,30.43,16.67,1,0
Pashchim Champaran,15,4.48,15,4.48,109,4.48,28,4.48,25.69,4.48,4,2
Patna,6,7.87,6,7.87,99,7.87,23,7.87,23.23,7.87,11,8
Purbi Champaran,71,3.08,71,3.08,163,3.08,4,3.08,2.45,3.08,12,7
Purnia,82,1.38,82,1.38,1130,1.38,27,1.38,2.39,1.38,1,0
Rohtas,6,12.90,6,12.90,157,12.90,36,12.90,22.93,12.90,3,4
Saharsa,20,1.44,20,1.44,267,1.44,7,1.44,2.62,1.44,11,10
Samastipur,10,9.76,10,9.76,170,9.76,27,9.76,15.88,9.76,10,10
Saran,64,0.00,64,0.00,153,0.00,0,0.00,0.00,0.00,7,2
Sheikhpura,5,3.37,5,3.37,50,3.37,10,3.37,20.00,3.37,8,8
Sheohar,2,2.86,2,2.86,26,2.86,1,2.86,3.85,2.86,1,1
Sitamarhi,10,4.58,10,4.58,70,4.58,5,4.58,7.14,4.58,6,3
Siwan,23,0.21,23,0.21,152,0.21,1,0.21,0.66,0.21,33,4
Supaul,8,0.00,8,0.00,97,0.00,0,0.00,0.00,0.00,2,0
Vaishali,4,0.78,4,0.78,70,0.78,2,0.78,2.86,0.78,12,2
