District,RECEIVED NO.,AMOUNT,SANCTIONED NO.,AMOUNT,DISBURSED NO.,AMOUNT,UNDER PROCESS NO.,REJECTED NO.
Araria,1430,14.14,187,1.43,112,0.89,84,1063
Arwal,104,1.03,37,0.36,36,0.35,6,58
Aurangabad,342,3.33,132,1.26,122,1.17,22,161
Banka,1864,18.13,463,4.03,408,3.14,47,1317
Begusarai,991,9.68,250,2.38,176,1.62,70,561
Bhagalpur,3153,31.04,924,8.24,763,6.44,168,1973
Bhojpur,692,6.78,238,2.34,138,1.35,44,377
Buxar,400,3.95,122,1.18,67,0.64,16,231
Darbhanga,1046,10.40,366,3.34,291,2.67,52,594
Gaya,1865,18.33,668,6.39,608,5.69,102,1036
Gopalganj,622,6.16,115,0.92,76,0.57,46,443
Jamui,2174,21.27,433,2.93,333,2.09,46,1669
Jehanabad,496,4.89,190,1.77,168,1.57,17,260
Kaimur (Bhabua),542,5.34,158,1.46,134,1.25,20,346
Katihar,1490,14.71,436,3.23,319,2.47,66,953
Khagaria,701,6.93,157,1.19,102,0.79,50,471
Kishanganj,951,9.43,317,2.79,240,2.18,26,586
Lakhisarai,732,7.20,255,2.32,204,1.85,21,431
Madhepura,2615,25.97,363,2.31,302,1.92,97,2035
Madhubani,2498,24.75,696,5.92,433,3.79,129,1627
Munger,204,1.98,42,0.35,29,0.25,35,116
Muzaffarpur,4676,46.35,937,8.55,748,6.78,247,3297
Nalanda,418,4.12,151,1.33,96,0.72,15,228
Nawada,1214,11.92,338,3.16,273,2.48,86,707
Pashchim Champaran,1839,18.13,309,2.49,195,1.68,169,1335
Patna,2312,22.89,755,6.63,618,5.45,121,1352
Purbi Champaran,4118,40.60,865,7.72,501,4.30,198,2899
Purnia,1607,15.92,382,2.52,323,2.14,85,1046
Rohtas,4742,46.92,1182,11.30,986,9.45,124,3309
Saharsa,4034,39.88,561,4.34,499,3.80,81,3345
Samastipur,3396,33.64,580,4.47,360,2.92,159,2425
Saran,3321,32.41,837,7.52,635,5.53,138,2281
Sheikhpura,234,2.27,78,0.71,60,0.53,17,131
Sheohar,725,7.18,104,0.93,62,0.53,39,559
Sitamarhi,4618,45.89,687,5.05,372,3.20,165,3649
Siwan,1037,10.19,221,1.94,159,1.29,83,694
Supaul,2015,19.99,350,2.79,299,2.38,89,1505
Vaishali,10971,108.21,2003,18.08,1483,13.22,533,8265
