district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,52894,123.99,28606,123.99,19866,123.99
Arwal,14072,17.92,14954,17.92,4127,17.92
Aurangabad,46060,70.54,41769,70.54,14966,70.54
Banka,31614,55.55,20278,55.55,10131,55.55
Begusarai,79272,214.52,56702,214.52,34275,214.52
Bhagalpur,61112,158.68,42417,158.68,24916,158.68
Bhojpur,51380,100.45,42077,100.45,19147,100.45
Buxar,29773,64.03,27510,64.03,11566,64.03
Darbhanga,80225,120.32,27907,120.32,19072,120.32
Gaya,108165,268.98,56831,268.98,61077,268.98
Gopalganj,48110,71.48,20051,71.48,11919,71.48
Jamui,33228,49.75,28312,49.75,10661,49.75
Jehanabad,17292,20.59,16668,20.59,3832,20.59
Kaimur (Bhabua),31015,53.40,27840,53.40,9666,53.40
Katihar,74236,110.17,28470,110.17,17202,110.17
Khagaria,37141,54.42,29259,54.42,9444,54.42
Kishanganj,45025,113.45,24688,113.45,18041,113.45
Lakhisarai,19665,28.81,14443,28.81,5824,28.81
Madhepura,39727,66.52,17277,66.52,10994,66.52
Madhubani,60364,90.91,25178,90.91,15663,90.91
Munger,20447,41.39,19403,41.39,7503,41.39
Muzaffarpur,120966,337.22,84232,337.22,57676,337.22
Nalanda,45408,77.34,38693,77.34,15616,77.34
Nawada,43954,62.65,40861,62.65,16754,62.65
Pashchim Champaran,61128,111.45,36860,111.45,18532,111.45
Patna,224606,746.98,155003,746.98,133846,746.98
Purbi Champaran,94014,179.27,52142,179.27,28240,179.27
Purnia,65596,147.72,33865,147.72,23570,147.72
Rohtas,46618,83.54,40588,83.54,15345,83.54
Saharsa,33134,71.07,18062,71.07,11799,71.07
Samastipur,94259,205.42,76179,205.42,33296,205.42
Saran,81752,180.62,36782,180.62,29506,180.62
Sheikhpura,11213,15.56,8933,15.56,3110,15.56
Sheohar,14556,8.33,8703,8.33,1382,8.33
Sitamarhi,51974,69.96,25683,69.96,11374,69.96
Siwan,75164,177.18,37808,177.18,29570,177.18
Supaul,34752,39.06,17418,39.06,6683,39.06
Vaishali,78941,124.25,35296,124.25,20267,124.25
