district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,98173,1143.42,103449,588.84,69608,449.97,75,31,7641,275.06,209338,2038.31
Arwal,26289,308.81,11861,82.34,5757,31.26,18,8.13,646,41.42,38814,440.7
Aurangabad,101542,1046.89,73145,466.95,35367,173.74,85,11.62,2871,307.16,177643,1832.62
Banka,79556,707.74,52518,254.74,40337,180.79,61,8.02,3860,171.89,135995,1142.4
Begusarai,172394,1606.03,278980,1162.65,174639,639.19,91,58.44,5336,407.3,456801,3234.42
Bhagalpur,103819,1016.84,110749,666.12,54484,299.63,96,24.54,5545,242.88,220209,1950.39
Bhojpur,90918,839.95,190904,702.28,144198,431.16,152,16.27,2870,258.9,284844,1817.4
Buxar,78311,751.39,54603,282.21,31032,132.73,114,8.68,2333,228.67,135361,1270.95
Darbhanga,91526,1094.67,176166,731.13,142047,538.49,122,9.48,6854,361.89,274668,2197.18
Gaya,131073,1449.04,488486,1798.97,243037,829.52,223,12.97,8640,619.07,628422,3880.06
Gopalganj,133462,1597.42,93108,430.01,81831,454.63,15,0.33,5286,181.76,231871,2209.52
Jamui,98785,833.2,33039,175.07,22942,106.89,16,2.38,2695,175.33,134535,1185.98
Jehanabad,35460,403.79,19351,216.52,6688,56.4,28,1.81,1357,98.17,56196,720.29
Kaimur (Bhabua),73302,845.87,37237,248.35,21737,89.6,69,10.43,2329,333.74,112937,1438.39
Katihar,108637,1705.81,138695,686.02,126174,858.11,111,35.97,8477,426.06,255920,2853.86
Khagaria,105508,863.51,57605,379,45723,232.75,40,16.68,3211,186.11,166364,1445.3
Kishanganj,71675,861.99,71852,417.74,51670,355.89,31,43.12,4958,183.2,148516,1506.05
Lakhisarai,52890,472.67,24889,155.18,17872,82.52,23,1.23,1536,88.23,79338,717.32
Madhepura,56167,767.53,104415,379.87,92371,328.04,110,10.11,8702,358.55,169394,1516.07
Madhubani,135884,1614.04,158753,627.01,73716,251.85,97,15.66,9115,329.54,303849,2586.25
Munger,54438,445.42,28440,149.99,22403,105.08,34,6.4,1423,100.33,84335,702.15
Muzaffarpur,218296,2208.42,384145,1635.8,256731,1068.05,366,46.65,12903,897.54,615710,4788.42
Nalanda,113829,1128.26,62036,565.86,40719,246.89,89,16.18,2818,236.5,178772,1946.8
Nawada,102995,947.06,46162,361.36,27125,125.89,68,3.9,2306,192.31,151531,1504.62
Pashchim Champaran,168705,1906.23,125804,633.62,90036,449.31,64,14.21,5010,272.89,299583,2826.95
Patna,110353,3271.26,1106004,3984.28,836495,4150.05,619,134.16,30031,3377.06,1247007,10766.75
Purbi Champaran,252529,2657.14,159792,857.59,112509,765.93,42,19.2,18794,980.7,431157,4514.63
Purnia,130902,1546.68,112347,656.33,79150,425.57,381,124.92,12193,726.92,255823,3054.85
Rohtas,121043,1310.87,62547,381.11,37334,159.08,188,37,3940,447.33,187718,2176.31
Saharsa,63465,788.02,56949,308.76,35654,140.64,28,5.34,7456,362.51,127898,1464.63
Samastipur,208891,1961.78,147937,884.77,90310,554.23,133,77.03,9166,403.19,366127,3326.77
Saran,102748,1410.82,175062,780.06,140187,640.05,49,4.47,13259,493.03,291118,2688.39
Sheikhpura,35555,366.11,13657,108.56,9544,79.43,8,0.78,582,43.86,49802,519.3
Sheohar,25709,267.03,17532,193,8269,113.05,10,0.76,2019,63.84,45270,524.62
Sitamarhi,107804,1259.47,72250,525.66,32647,293.67,179,13.35,7587,247.51,187820,2045.99
Siwan,98812,1440.28,527870,1536.76,421775,1329.93,252,16.36,10580,543.03,637514,3536.43
Supaul,87381,992.22,36271,239.63,29908,186.62,32,2.73,9808,312.59,133492,1547.17
Vaishali,139884,1818.81,1086829,2818.06,838297,2266.86,129,20.16,11226,480.33,1238068,5137.35
