district,atm_rural,atm_semi_urban,atm_urban,atm_total
Araria,15,95,2,112
Arwal,14,16,0,30
Aurangabad,33,46,57,136
Banka,35,56,0,91
Begusarai,30,62,104,196
Bhagalpur,35,73,169,277
Bhojpur,23,41,120,184
Buxar,18,20,59,97
Darbhanga,25,29,162,216
Gaya,67,52,215,334
Gopalganj,51,100,0,151
Jamui,16,40,2,58
Jehanabad,13,6,61,80
Kaimur (Bhabua),21,49,0,70
Katihar,29,13,68,110
Khagaria,7,65,3,75
Kishanganj,10,11,49,70
Lakhisarai,8,35,2,45
Madhepura,8,73,0,81
Madhubani,27,145,3,175
Munger,22,11,82,115
Muzaffarpur,67,47,278,392
Nalanda,40,46,100,186
Nawada,5,67,0,72
Pashchim Champaran,27,60,111,198
Patna,82,165,1098,1345
Purbi Champaran,31,71,129,231
Purnia,25,26,111,162
Rohtas,30,31,109,170
Saharsa,10,7,76,93
Samastipur,42,159,4,205
Saran,53,37,131,221
Sheikhpura,5,26,0,31
Sheohar,8,17,3,28
Sitamarhi,16,93,5,114
Siwan,43,38,109,190
Supaul,11,76,0,87
Vaishali,38,43,133,214
