district,bc_fixed_point,bc_other,bc_total
Araria,1406,650,2056
Arwal,256,149,405
Aurangabad,1156,252,1408
Banka,872,352,1224
Begusarai,2110,758,2868
Bhagalpur,1038,643,1681
Bhojpur,1321,354,1675
Buxar,936,277,1213
Darbhanga,2674,839,3513
Gaya,2145,6156,8301
Gopalganj,1331,596,1927
Jamui,905,344,1249
Jehanabad,446,214,660
Kaimur (Bhabua),765,256,1021
Katihar,1165,438,1603
Khagaria,1100,360,1460
Kishanganj,699,330,1029
Lakhisarai,427,118,545
Madhepura,942,436,1378
Madhubani,3214,764,3978
Munger,517,207,724
Muzaffarpur,2301,9289,11590
Nalanda,1357,328,1685
Nawada,1176,410,1586
Pashchim Champaran,3132,895,4027
Patna,2242,139775,142017
Purbi Champaran,3359,1181,4540
Purnia,1571,484,2055
Rohtas,1076,466,1542
Saharsa,1329,476,1805
Samastipur,2448,1158,3606
Saran,1691,772,2463
Sheikhpura,260,134,394
Sheohar,326,202,528
Sitamarhi,1487,700,2187
Siwan,1247,684,1931
Supaul,1221,352,1573
Vaishali,2530,968,3498
