District,BHIM/UPI A/C,Amt.,BHIM Aadhaar A/C,Bharat QR Code A/C,IMPS A/C,Cards (Debit & Credit) A/C,USSD A/C
Araria,91134655,15607.01,13528,35937,668969,655462,27399
Arwal,18512375,3209.04,68200,1442,252437,210565,28950
Aurangabad,80089891,13094.28,181969,15810,853644,894173,76085
Banka,36459046,5351.43,59826,2732,831314,418604,34101
Begusarai,105998252,50021.11,124982,18384,2529101,1376231,143348
Bhagalpur,107604488,23081.20,78497,22432,2735313,1517494,166445
Bhojpur,89336121,16706.73,324507,24586,1474436,1148775,250992
Buxar,52323000,9514.78,159982,17779,458129,687240,106691
Darbhanga,129916319,54152.04,13472,13254,2318406,1285994,105669
Gaya,145371454,77118.03,301638,27911,2116012,1828541,189984
Gopalganj,92174907,66204.51,11610,11707,736788,788122,131335
Jamui,46695764,7864.60,148250,53868,352796,377509,35842
Jehanabad,37536249,6714.53,97627,65403,772111,421130,58590
Kaimur (Bhabua),46181062,8088,148221,7021,414843,457016,44759
Katihar,86911155,44135.58,4922,5430,597971,549900,322229
Khagaria,51835961,8781.38,144172,4264,386523,385127,43047
Kishanganj,62547739,11405.38,16983,8941,374809,397270,21893
Lakhisarai,26910220,4741.01,94148,53795,248731,234792,39163
Madhepura,56959608,10485.2,6294,6437,318310,247344,35334
Madhubani,120063046,69384.17,12785,12848,1115533,1049782,102179
Munger,45484977,7294.95,93830,4436,453197,657386,99154
Muzaffarpur,219654284,140734.46,18725,39004,3472905,2661949,366452
Nalanda,83438539,17144.2,323668,27570,1383755,1218239,89151
Nawada,51194394,10145.76,261906,23717,615930,567007,50919
Pashchim Champaran,147995964,23265.96,15533,13349,849952,1007780,84617
Patna,428008280,447332.06,129606,295117,10015137,9289901,1033657
Purbi Champaran,176855382,31206.78,19226,11370,952753,1115184,121480
Purnia,124366222,22152.14,4862,8227,2042766,871354,70204
Rohtas,98058783,18159.25,264000,31123,813856,1129860,117656
Saharsa,54268727,9029.93,11355,6786,308285,304634,44681
Samastipur,154188481,69508.37,234474,9577,2127913,1470450,115827
Saran,136348484,52157.54,15775,39767,1402754,1102613,218118
Sheikhpura,19015450,3939.12,36346,32684,135143,275636,17008
Sheohar,19047037,3476.82,13406,5236,118039,220513,5990
Sitamarhi,98270204,16354.92,39410,7272,702870,1024539,52671
Siwan,163741358,30009.38,13953,14999,5721154,1357536,94408
Supaul,59327220,11043.63,9451,7271,415890,317168,28948
Vaishali,140334928,55651.56,9499,23879,5286035,1250056,140896
