district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,389,24.48,27.76,24.48,27.76,24.48,738,24.48,26.42,24.48,26.42,24.48
Arwal,322,46.33,16.15,46.33,16.15,46.33,346,46.33,43.64,46.33,43.64,46.33
Aurangabad,389,36.98,63.75,36.98,63.75,36.98,1522,36.98,38.50,36.98,38.50,36.98
Banka,433,21.73,24.25,21.73,24.25,21.73,579,21.73,25.73,21.73,25.73,21.73
Begusarai,588,18.58,56.46,18.58,56.46,18.58,1755,18.58,20.46,18.58,20.46,18.58
Bhagalpur,610,6.66,111.80,6.66,111.80,6.66,2211,6.66,8.64,6.66,8.64,6.66
Bhojpur,500,28.94,61.00,28.94,61.00,28.94,1423,28.94,27.83,28.94,27.83,28.94
Buxar,455,22.98,35.82,22.98,35.82,22.98,773,22.98,23.29,22.98,23.29,22.98
Darbhanga,455,16.34,94.07,16.34,94.07,16.34,2421,16.34,18.30,16.34,18.30,16.34
Gaya,633,11.13,156.56,11.13,156.56,11.13,3984,11.13,16.67,11.13,16.67,11.13
Gopalganj,389,23.11,37.28,23.11,37.28,23.11,803,23.11,28.27,23.11,28.27,23.11
Jamui,389,27.44,17.22,27.44,17.22,27.44,367,27.44,26.16,27.44,26.16,27.44
Jehanabad,366,38.08,42.90,38.08,42.90,38.08,774,38.08,39.41,38.08,39.41,38.08
Kaimur (Bhabua),367,44.40,24.25,44.40,24.25,44.40,549,44.40,41.35,44.40,41.35,44.40
Katihar,455,13.92,32.97,13.92,32.97,13.92,804,13.92,20.65,13.92,20.65,13.92
Khagaria,344,26.45,25.29,26.45,25.29,26.45,539,26.45,30.43,26.45,30.43,26.45
Kishanganj,344,13.19,20.06,13.19,20.06,13.19,497,13.19,23.54,13.19,23.54,13.19
Lakhisarai,366,32.71,22.95,32.71,22.95,32.71,558,32.71,32.44,32.71,32.44,32.71
Madhepura,344,26.49,18.60,26.49,18.60,26.49,498,26.49,30.72,26.49,30.72,26.49
Madhubani,411,22.55,72.02,22.55,72.02,22.55,2075,22.55,25.06,22.55,25.06,22.55
Munger,366,17.13,39.89,17.13,39.89,17.13,725,17.13,18.34,17.13,18.34,17.13
Muzaffarpur,855,15.25,85.73,15.25,85.73,15.25,3742,15.25,18.25,15.25,18.25,15.25
Nalanda,499,36.53,51.50,36.53,51.50,36.53,1687,36.53,38.89,36.53,38.89,36.53
Nawada,411,32.59,32.12,32.59,32.12,32.59,761,32.59,31.41,32.59,31.41,32.59
Pashchim Champaran,433,20.98,51.50,20.98,51.50,20.98,1242,20.98,24.64,20.98,24.64,20.98
Patna,3310,7.98,109.00,7.98,109.00,7.98,13173,7.98,10.69,7.98,10.69,7.98
Purbi Champaran,545,15.82,72.11,15.82,72.11,15.82,1786,15.82,18.25,15.82,18.25,15.82
Purnia,500,13.63,58.80,13.63,58.80,13.63,1465,13.63,15.90,13.63,15.90,13.63
Rohtas,434,35.27,68.66,35.27,68.66,35.27,1705,35.27,32.90,35.27,32.90,35.27
Saharsa,366,25.26,31.97,25.26,31.97,25.26,712,25.26,27.81,25.26,27.81,25.26
Samastipur,433,21.55,88.45,21.55,88.45,21.55,2111,21.55,23.64,21.55,23.64,21.55
Saran,433,27.71,75.98,27.71,75.98,27.71,1491,27.71,29.71,27.71,29.71,27.71
Sheikhpura,344,30.96,20.93,30.96,20.93,30.96,368,30.96,29.89,30.96,29.89,30.96
Sheohar,298,28.14,13.09,28.14,13.09,28.14,165,28.14,28.48,28.14,28.48,28.14
Sitamarhi,388,20.85,56.96,20.85,56.96,20.85,1158,20.85,22.11,20.85,22.11,20.85
Siwan,455,32.63,43.96,32.63,43.96,32.63,1380,32.63,32.97,32.63,32.97,32.63
Supaul,366,35.40,18.31,35.40,18.31,35.40,657,35.40,36.68,35.40,36.68,35.40
Vaishali,546,26.73,63.55,26.73,63.55,26.73,1782,26.73,29.35,26.73,29.35,26.73
