district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_other_priority_sector_ops_a_c,amt
Araria,0,51.64,108,51.64,185,51.64,1,51.64,6,51.64,6288,51.64,6588,51.64
Arwal,0,8.16,52,8.16,42,8.16,0,8.16,13,8.16,948,8.16,1055,8.16
Aurangabad,0,41.39,248,41.39,267,41.39,0,41.39,27,41.39,3159,41.39,3701,41.39
Banka,0,109.51,105,109.51,150,109.51,15,109.51,28,109.51,4423,109.51,4721,109.51
Begusarai,0,131.73,332,131.73,610,131.73,5,131.73,102,131.73,5838,131.73,6887,131.73
Bhagalpur,0,192.73,682,192.73,666,192.73,2,192.73,197,192.73,9725,192.73,11272,192.73
Bhojpur,0,64.55,305,64.55,531,64.55,0,64.55,94,64.55,4297,64.55,5227,64.55
Buxar,0,27.93,163,27.93,210,27.93,0,27.93,20,27.93,1753,27.93,2146,27.93
Darbhanga,0,57.00,428,57.00,435,57.00,16,57.00,54,57.00,3062,57.00,3995,57.00
Gaya,0,102.07,991,102.07,655,102.07,1,102.07,203,102.07,5449,102.07,7299,102.07
Gopalganj,0,28.93,145,28.93,302,28.93,1,28.93,20,28.93,1903,28.93,2371,28.93
Jamui,0,27.95,67,27.95,91,27.95,0,27.95,23,27.95,2157,27.95,2338,27.95
Jehanabad,0,28.07,157,28.07,185,28.07,1,28.07,19,28.07,1735,28.07,2097,28.07
Kaimur (Bhabua),0,26.07,89,26.07,170,26.07,0,26.07,29,26.07,2649,26.07,2937,26.07
Katihar,0,59.58,150,59.58,351,59.58,2,59.58,16,59.58,6413,59.58,6932,59.58
Khagaria,0,22.16,87,22.16,64,22.16,4,22.16,24,22.16,33965,22.16,34144,22.16
Kishanganj,0,36.66,69,36.66,127,36.66,0,36.66,13,36.66,3795,36.66,4004,36.66
Lakhisarai,0,21.03,84,21.03,96,21.03,46,21.03,20,21.03,1405,21.03,1651,21.03
Madhepura,0,19.29,64,19.29,91,19.29,1,19.29,37,19.29,1668,19.29,1861,19.29
Madhubani,0,40.78,296,40.78,465,40.78,2,40.78,25,40.78,2619,40.78,3407,40.78
Munger,0,58.79,146,58.79,178,58.79,0,58.79,66,58.79,3660,58.79,4050,58.79
Muzaffarpur,0,110.84,733,110.84,947,110.84,0,110.84,246,110.84,13995,110.84,15921,110.84
Nalanda,0,222.79,257,222.79,325,222.79,0,222.79,169,222.79,4750,222.79,5501,222.79
Nawada,0,32.87,132,32.87,275,32.87,0,32.87,81,32.87,2642,32.87,3130,32.87
Pashchim Champaran,0,35.36,223,35.36,388,35.36,1,35.36,92,35.36,1829,35.36,2533,35.36
Patna,0,577.12,3608,577.12,3817,577.12,731,577.12,1341,577.12,21276,577.12,30773,577.12
Purbi Champaran,0,52.98,393,52.98,470,52.98,81,52.98,117,52.98,4984,52.98,6045,52.98
Purnia,0,95.68,294,95.68,661,95.68,1,95.68,75,95.68,11654,95.68,12685,95.68
Rohtas,0,50.64,298,50.64,349,50.64,1,50.64,59,50.64,3832,50.64,4539,50.64
Saharsa,0,38.65,117,38.65,110,38.65,1,38.65,28,38.65,3396,38.65,3652,38.65
Samastipur,0,76.41,383,76.41,571,76.41,1,76.41,142,76.41,24800,76.41,25897,76.41
Saran,0,68.92,329,68.92,330,68.92,4,68.92,82,68.92,6391,68.92,7136,68.92
Sheikhpura,0,8.90,72,8.90,44,8.90,0,8.90,15,8.90,647,8.90,778,8.90
Sheohar,0,2.89,39,2.89,56,2.89,0,2.89,3,2.89,146,2.89,244,2.89
Sitamarhi,0,31.17,221,31.17,269,31.17,0,31.17,204,31.17,1691,31.17,2385,31.17
Siwan,0,48.66,200,48.66,347,48.66,14,48.66,33,48.66,4685,48.66,5279,48.66
Supaul,0,14.48,67,14.48,117,14.48,1,14.48,35,14.48,864,14.48,1084,14.48
Vaishali,0,63.91,347,63.91,573,63.91,0,63.91,122,63.91,4547,63.91,5589,63.91
