district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,204,830.97,84919,830.97,30,830.97,92,830.97,2,830.97,150,830.97,85397,830.97
Arwal,38,30.89,2691,30.89,8,30.89,29,30.89,0,30.89,14,30.89,2780,30.89
Aurangabad,105,158.70,11722,158.70,32,158.70,84,158.70,6,158.70,83,158.70,12032,158.70
Banka,91,107.54,12150,107.54,21,107.54,73,107.54,4,107.54,25,107.54,12364,107.54
Begusarai,181,390.22,63505,390.22,1027,390.22,99,390.22,3,390.22,88,390.22,64903,390.22
Bhagalpur,210,483.88,40550,483.88,427,483.88,128,483.88,2,483.88,86,483.88,41403,483.88
Bhojpur,127,200.19,33944,200.19,33,200.19,102,200.19,1,200.19,73,200.19,34280,200.19
Buxar,58,79.71,6803,79.71,24,79.71,83,79.71,1,79.71,38,79.71,7007,79.71
Darbhanga,243,510.87,37260,510.87,614,510.87,93,510.87,4,510.87,59,510.87,38273,510.87
Gaya,3576,630.85,77537,630.85,19314,630.85,1762,630.85,249,630.85,192,630.85,102630,630.85
Gopalganj,129,271.77,20697,271.77,84,271.77,104,271.77,3,271.77,65,271.77,21082,271.77
Jamui,205,120.71,12394,120.71,46,120.71,114,120.71,1,120.71,41,120.71,12801,120.71
Jehanabad,9,56.58,4224,56.58,7,56.58,15,56.58,0,56.58,7,56.58,4262,56.58
Kaimur (Bhabua),35,108.65,7708,108.65,17,108.65,43,108.65,1,108.65,29,108.65,7833,108.65
Katihar,1050,959.04,81372,959.04,64,959.04,252,959.04,2,959.04,37,959.04,82777,959.04
Khagaria,66,92.09,8962,92.09,24,92.09,60,92.09,5,92.09,29,92.09,9146,92.09
Kishanganj,662,1129.54,109284,1129.54,34,1129.54,55,1129.54,0,1129.54,102,1129.54,110137,1129.54
Lakhisarai,24,25.84,2735,25.84,3,25.84,32,25.84,10,25.84,16,25.84,2820,25.84
Madhepura,120,204.77,26478,204.77,44,204.77,69,204.77,0,204.77,64,204.77,26775,204.77
Madhubani,180,416.85,42653,416.85,41,416.85,84,416.85,2,416.85,49,416.85,43009,416.85
Munger,111,106.94,7372,106.94,18,106.94,94,106.94,3,106.94,31,106.94,7629,106.94
Muzaffarpur,716,791.49,105534,791.49,1122,791.49,561,791.49,7,791.49,209,791.49,108149,791.49
Nalanda,180,163.49,11255,163.49,194,163.49,84,163.49,9,163.49,53,163.49,11775,163.49
Nawada,64,125.99,11216,125.99,44,125.99,19,125.99,0,125.99,41,125.99,11384,125.99
Pashchim Champaran,534,474.98,39297,474.98,105,474.98,185,474.98,3,474.98,102,474.98,40226,474.98
Patna,1628,1866.13,235105,1866.13,2735,1866.13,776,1866.13,108,1866.13,267,1866.13,240619,1866.13
Purbi Champaran,339,706.21,51536,706.21,483,706.21,264,706.21,7,706.21,150,706.21,52779,706.21
Purnia,721,1243.74,111108,1243.74,239,1243.74,140,1243.74,3,1243.74,100,1243.74,112311,1243.74
Rohtas,121,203.98,14696,203.98,90,203.98,398,203.98,12,203.98,51,203.98,15368,203.98
Saharsa,224,206.67,21156,206.67,30,206.67,72,206.67,1,206.67,15,206.67,21498,206.67
Samastipur,308,325.30,27313,325.30,128,325.30,254,325.30,6,325.30,91,325.30,28100,325.30
Saran,210,265.08,21653,265.08,100,265.08,238,265.08,7,265.08,93,265.08,22301,265.08
Sheikhpura,94,36.53,2413,36.53,41,36.53,89,36.53,2,36.53,27,36.53,2666,36.53
Sheohar,9,44.87,4124,44.87,37,44.87,31,44.87,1,44.87,11,44.87,4213,44.87
Sitamarhi,124,280.19,22256,280.19,132,280.19,320,280.19,0,280.19,72,280.19,22904,280.19
Siwan,1169,682.66,142316,682.66,287,682.66,191,682.66,3,682.66,71,682.66,144037,682.66
Supaul,335,203.25,15688,203.25,79,203.25,63,203.25,2,203.25,32,203.25,16199,203.25
Vaishali,645,789.04,284785,789.04,293,789.04,240,789.04,7,789.04,104,789.04,286074,789.04
