district,sc_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt,st_disbursement_during_quarter_no,amt,outstanding_at_the_end_of_quarter_no,amt
Araria,3809,21.55,1775,21.55,692,21.55,1775,21.55
Arwal,799,4.25,460,4.25,125,4.25,460,4.25
Aurangabad,5611,24.41,4879,24.41,928,24.41,4879,24.41
Banka,1872,27.16,2894,27.16,402,27.16,2894,27.16
Begusarai,7602,28.14,5152,28.14,765,28.14,5152,28.14
Bhagalpur,4781,85.01,4795,85.01,1443,85.01,4795,85.01
Bhojpur,7593,55.64,17578,55.64,2307,55.64,17578,55.64
Buxar,2588,15.17,1989,15.17,423,15.17,1989,15.17
Darbhanga,18869,35.69,7600,35.69,2927,35.69,7600,35.69
Gaya,37067,262.01,49472,262.01,10872,262.01,49472,262.01
Gopalganj,8051,29.94,4421,29.94,1894,29.94,4421,29.94
Jamui,2404,28.58,3116,28.58,358,28.58,3116,28.58
Jehanabad,1450,47.91,1792,47.91,212,47.91,1792,47.91
Kaimur (Bhabua),3252,19.09,1858,19.09,395,19.09,1858,19.09
Katihar,4618,74.45,3744,74.45,1487,74.45,3744,74.45
Khagaria,1884,12.58,966,12.58,318,12.58,966,12.58
Kishanganj,2989,24.32,2250,24.32,550,24.32,2250,24.32
Lakhisarai,1226,6.08,780,6.08,93,6.08,780,6.08
Madhepura,3989,14.42,2178,14.42,867,14.42,2178,14.42
Madhubani,11257,20.35,2912,20.35,2120,20.35,2912,20.35
Munger,1675,23.33,1250,23.33,225,23.33,1250,23.33
Muzaffarpur,20443,53.98,8199,53.98,2742,53.98,8199,53.98
Nalanda,5247,16.32,1704,16.32,382,16.32,1704,16.32
Nawada,3953,11.49,1662,11.49,241,11.49,1662,11.49
Pashchim Champaran,9822,77.28,5490,77.28,8375,77.28,5490,77.28
Patna,49065,257.51,66003,257.51,11414,257.51,66003,257.51
Purbi Champaran,12087,50.54,8066,50.54,1951,50.54,8066,50.54
Purnia,5490,79.00,5763,79.00,2452,79.00,5763,79.00
Rohtas,3950,22.87,1940,22.87,386,22.87,1940,22.87
Saharsa,4798,20.21,2052,20.21,629,20.21,2052,20.21
Samastipur,9713,42.62,6459,42.62,1780,42.62,6459,42.62
Saran,13882,40.06,6532,40.06,2705,40.06,6532,40.06
Sheikhpura,760,4.32,352,4.32,35,4.32,352,4.32
Sheohar,1753,2.25,138,2.25,86,2.25,138,2.25
Sitamarhi,5062,14.57,1150,14.57,730,14.57,1150,14.57
Siwan,24422,181.31,60383,181.31,9932,181.31,60383,181.31
Supaul,3797,15.83,834,15.83,407,15.83,834,15.83
Vaishali,51310,314.64,133385,314.64,15725,314.64,133385,314.64
