District,"Loans to weaker sections
under Priority Sector No.",Amt.,"Loans to weaker Sections in
PSL, loans to individual
women beneficiaries up to ₹1
lakh No.",Amt.,"Agriculture, loans to Small
& Marginal Farmers No.",Amt.
Araria,243602,2126.03,90209,312.74,157375,1386.86
Arwal,43570,375.89,18287,64.01,33155,332.09
Aurangabad,181282,1590.53,73597,276.96,152445,1451.98
Banka,154877,1214.67,61904,216.84,89720,659.47
Begusarai,448436,2914.90,234170,739.94,316921,1981.23
Bhagalpur,255371,2106.41,115408,425.14,162396,1324.13
Bhojpur,289482,1621.26,90980,315.80,129187,1118.60
Buxar,134874,1078.62,54326,226.26,112365,950.54
Darbhanga,297735,2144.78,82285,341.19,156808,1389.22
Gaya,633476,3686.62,258340,817.40,227379,2388.07
Gopalganj,230256,2100.89,70637,272.12,151379,1451.17
Jamui,150557,1167.53,59857,272.13,112925,908.88
Jehanabad,56644,648.36,17178,69.17,48822,578.35
Kaimur (Bhabua),120854,1144.46,40709,152.06,100651,1046.63
Katihar,291999,2718.75,85307,315.79,137326,1464.14
Khagaria,180424,1361.85,60635,260.74,149156,1146.57
Kishanganj,174569,1665.73,52196,220.64,121255,1091.02
Lakhisarai,86638,692.18,30977,146.32,60734,524.41
Madhepura,182043,1472.37,48204,190.13,127798,981.26
Madhubani,269248,2351.94,74612,287.74,255173,2007.04
Munger,100953,745.22,43626,170.36,62697,479.38
Muzaffarpur,645682,4297.73,362154,1085.39,509322,3381.78
Nalanda,181653,1754.52,72724,282.69,138447,1501.32
Nawada,150407,1327.06,71934,278.69,120384,1177.93
Pashchim Champaran,307914,2683.17,101946,347.85,242665,2122.59
Patna,1334428,6484.96,594202,1650.03,608988,3900.18
Purbi Champaran,409586,4053.72,137650,515.48,312141,3148.47
Purnia,285778,2791.88,116338,436.61,184130,1713.05
Rohtas,201534,1808.19,79534,268.53,162834,1587.67
Saharsa,144152,1432.39,55862,218.59,109310,1139.17
Samastipur,358677,2985.38,148221,614.40,284069,2371.77
Saran,328350,2567.93,141045,506.22,204915,1767.81
Sheikhpura,54972,506.81,21874,99.08,39342,378.14
Sheohar,43065,509.02,7480,32.44,33874,421.96
Sitamarhi,188752,2014.06,44890,199.59,150152,1589.31
Siwan,670478,3282.48,165000,503.85,231344,1762.82
Supaul,136085,1534.07,27630,137.06,97627,1130.97
Vaishali,1276207,4983.42,94581,362.43,186782,1944.45
