district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,88,39,48,1,37,31,2,5.4054,46,44,2,4.3478,1,1,0,0,84,76,4,4.7619
Baloda Bazar,94,21,71,2,20,16,1,5,72,71,-1,-1.3889,2,0,0,0,94,87,0,0
Balrampur,36,18,17,1,18,14,0,0,15,12,2,13.3333,1,0,0,0,34,26,2,5.8824
Bastar,109,21,3,85,22,16,-1,-4.5455,5,5,-2,-40,83,81,2,2.4096,110,102,-1,-0.9091
Bemetara,56,24,31,1,21,20,3,14.2857,30,32,1,3.3333,1,1,0,0,52,53,4,7.6923
Bijapur,19,8,11,0,8,8,0,0,11,10,0,0,0,1,0,0,19,19,0,0
Bilaspur,323,28,35,260,28,23,0,0,34,28,1,2.9412,258,253,2,0.7752,320,304,3,0.9375
Dantewada,50,6,44,0,6,6,0,0,43,41,1,2.3256,0,1,0,0,49,48,1,2.0408
Dhamtari,92,21,25,46,21,18,0,0,25,22,0,0,46,49,0,0,92,89,0,0
Durg,462,51,31,380,49,44,2,4.0816,29,29,2,6.8966,383,369,-3,-0.7833,461,442,1,0.2169
Gariaband,48,23,24,1,23,16,0,0,23,23,1,4.3478,0,0,1,0,46,39,2,4.3478
Gaurela-Pendra-Marwahi,23,0,22,1,0,0,0,0,22,21,0,0,1,2,0,0,23,23,0,0
Janjgir-Champa,116,36,79,1,35,37,1,2.8571,74,89,5,6.7568,1,3,0,0,110,129,6,5.4545
Jashpur,60,11,47,2,10,9,1,10,46,43,1,2.1739,2,1,0,0,58,53,2,3.4483
Kabirdham,70,15,54,1,15,13,0,0,53,49,1,1.8868,1,1,0,0,69,63,1,1.4493
Kanker,75,24,50,1,24,20,0,0,48,47,2,4.1667,1,1,0,0,73,68,2,2.7397
Khairagarh-Chhuikhadan-Gandai,23,7,14,2,7,0,0,0,14,0,0,0,2,0,0,0,23,0,0,0
Kondagaon,40,5,34,1,5,3,0,0,33,32,1,3.0303,1,1,0,0,39,36,1,2.5641
Korba,170,21,21,128,21,19,0,0,21,17,0,0,126,127,2,1.5873,168,163,2,1.1905
Korea,40,2,37,1,2,8,0,0,38,58,-1,-2.6316,1,0,0,0,41,66,-1,-2.439
Mahasamund,97,32,65,0,31,22,1,3.2258,67,64,-2,-2.9851,0,0,0,0,98,86,-1,-1.0204
Manendragarh-Chirmiri-Bharatpur,35,8,26,1,8,0,0,0,23,0,3,13.0435,1,0,0,0,32,0,3,9.375
Mohla-Manpur-Ambagarh Chowki,17,16,1,0,15,0,1,6.6667,1,0,0,0,0,0,0,0,16,0,1,6.25
Mungeli,41,6,27,8,6,3,0,0,27,25,0,0,8,7,0,0,41,35,0,0
Narayanpur,21,1,20,0,1,1,0,0,20,18,0,0,0,0,0,0,21,19,0,0
Raigarh,159,29,39,91,27,30,2,7.4074,39,62,0,0,92,96,-1,-1.087,158,188,1,0.6329
Raipur,788,82,66,640,77,66,5,6.4935,64,61,2,3.125,638,590,2,0.3135,779,717,9,1.1553
Rajnandgaon,125,20,19,86,19,36,1,5.2632,19,31,0,0,89,87,-3,-3.3708,127,154,-2,-1.5748
Sakti,37,17,20,0,16,0,1,6.25,22,0,-2,-9.0909,1,0,-1,-100,39,0,-2,-5.1282
Sarangarh-Bilaigarh,42,13,28,1,12,0,1,8.3333,28,0,0,0,1,0,0,0,41,0,1,2.439
Sukma,15,6,9,0,6,3,0,0,10,8,-1,-10,0,0,0,0,16,11,-1,-6.25
Surajpur,54,14,38,2,13,9,1,7.6923,38,33,0,0,2,0,0,0,53,42,1,1.8868
Surguja,107,25,1,81,23,18,2,8.6957,1,0,0,0,81,77,0,0,105,95,2,1.9048
