district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,6064.56,2560.87,42.2268,5962.68,5710.79,101.88,1.7086,2211.32,2249.74,349.55,15.8073,37.086,39.3945,40
Baloda Bazar,6707.68,4361.9,65.0284,6837.16,6359.21,-129.48,-1.8938,3923.55,3884.75,438.35,11.1723,57.3857,61.0886,40
Balrampur,3377.33,1510.95,44.738,3437.59,3125.65,-60.26,-1.753,1332.62,1320.44,178.33,13.3819,38.7661,42.2453,40
Bastar,7731.85,5048.59,65.296,7531.9,6735.5,199.95,2.6547,4566.11,4475.02,482.48,10.5665,60.6236,66.4393,40
Bemetara,4405.7,2816.7,63.9331,4945.49,4419.59,-539.79,-10.9148,2324.04,2428.72,492.66,21.1984,46.9931,54.9535,40
Bijapur,1249.86,849.5,67.9676,1328.22,1135.44,-78.36,-5.8996,699.86,722.9,149.64,21.3814,52.6916,63.6669,40
Bilaspur,36796.48,21705.25,58.9873,31536.11,29062.78,5260.37,16.6805,19798.88,18305.51,1906.37,9.6287,62.7816,62.9861,40
Dantewada,3175.72,3473.19,109.367,2782.85,2884.52,392.87,14.1175,3702.66,3018.36,-229.47,-6.1974,133.0528,104.6399,40
Dhamtari,6282.47,4177.83,66.4998,6252.1,5847.12,30.37,0.4858,3818.03,3746.32,359.8,9.4237,61.068,64.0712,40
Durg,38365.8,22070.55,57.5266,36760.15,34806.27,1605.65,4.3679,21975.78,20994.58,94.77,0.4312,59.7815,60.3184,40
Gariaband,2613.61,1693.91,64.8111,2674.33,2454.09,-60.72,-2.2705,1453.58,1428.28,240.33,16.5337,54.3531,58.2,40
Gaurela-Pendra-Marwahi,1597.57,947.99,59.3395,1630.15,1502.06,-32.58,-1.9986,848.88,832,99.11,11.6754,52.0737,55.3906,40
Janjgir-Champa,7577.72,4444.89,58.6574,7524.73,7004.14,52.99,0.7042,3950.79,3908.64,494.1,12.5064,52.5041,55.8047,40
Jashpur,4848.92,2456.88,50.6686,4947.93,4483.58,-99.01,-2.001,2306.21,2272.09,150.67,6.5332,46.6096,50.6758,40
Kabirdham,3669.4,3164.65,86.2443,3849.49,3518.12,-180.09,-4.6783,2576.25,2706.86,588.4,22.8394,66.9244,76.9405,40
Kanker,4585.08,3132.25,68.314,4659.88,4390.28,-74.8,-1.6052,2724.13,2701.81,408.12,14.9817,58.4592,61.5407,40
Khairagarh-Chhuikhadan-Gandai,1776.16,1139.94,64.18,1805.28,1691.57,-29.12,-1.613,907.47,965.25,232.47,25.6174,50.2675,57.0624,40
Kondagaon,2606,1836.94,70.4889,2672.91,2477.4,-66.91,-2.5033,1620.7,1589.37,216.24,13.3424,60.6343,64.1548,40
Korba,13099.19,9420.54,71.917,12393.87,12332.99,705.32,5.6909,8551.16,8082.73,869.38,10.1668,68.9951,65.5375,40
Korea,2520.43,959.82,38.0816,2474.56,2331.76,45.87,1.8537,1784.95,1799.81,-825.13,-46.2271,72.132,77.1868,40
Mahasamund,5826.11,5153.22,88.4504,6063.19,5635.33,-237.08,-3.9102,4385.53,4403.57,767.69,17.5051,72.3304,78.1422,40
Manendragarh-Chirmiri-Bharatpur,4013.94,2088.76,52.0376,3844.72,3776.8,169.22,4.4014,1243.94,1263.04,844.82,67.9149,32.3545,33.4421,40
Mohla-Manpur-Ambagarh Chowki,1200.68,480.14,39.989,1286.75,1161.21,-86.07,-6.6889,386.42,411.15,93.72,24.2534,30.0307,35.407,40
Mungeli,2690.87,1837.38,68.282,2788.35,2509.64,-97.48,-3.496,1577.31,1573.71,260.07,16.4882,56.5679,62.7066,40
Narayanpur,1023.32,485.42,47.4358,976.08,869.4,47.24,4.8398,431.22,427.66,54.2,12.569,44.1788,49.1902,40
Raigarh,11981.59,10741.29,89.6483,11453.18,10885.08,528.41,4.6137,9326.81,9394.79,1414.48,15.1657,81.4342,86.3089,40
Raipur,100467.1,129687.29,129.0843,100732.2,90612.26,-265.1,-0.2632,110339.17,109027.33,19348.12,17.5351,109.5371,120.3229,40
Rajnandgaon,9674.32,6206.85,64.158,8963.41,8826.2,710.91,7.9312,5435.25,5387.72,771.6,14.1962,60.6382,61.0424,40
Sakti,3253.54,1832.1,56.311,3444.08,3035.28,-190.54,-5.5324,1565.77,1611.31,266.33,17.0095,45.4626,53.086,40
Sarangarh-Bilaigarh,2641.96,1515.79,57.3737,2625.38,2359.55,16.58,0.6315,1301.58,1334.76,214.21,16.4577,49.5768,56.5684,40
Sukma,1273.23,675.88,53.0839,1381.93,1200.43,-108.7,-7.8658,555.56,576.46,120.32,21.6574,40.2017,48.0211,40
Surajpur,5591.1,2290.81,40.9724,5532.87,5201.67,58.23,1.0524,2043.7,2021.28,247.11,12.0913,36.9374,38.8583,40
Surguja,9387.68,4931.88,52.5357,9584.74,8958.99,-197.06,-2.056,4454.67,4399.94,477.21,10.7126,46.4767,49.112,40
