district,farm_credit_target_no,amt,achievement_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achievement_no,amt,achv_pct_amt
Bokaro,73698,57682,11162,9808.15,17.00,54209,33828,6561,4541.84,13.43
Chatra,67909,34191,7700,5304.53,15.51,58197,22984,4936,2797.32,12.17
Deoghar,76127,59230,13547,9069.68,15.31,59209,40124,8914,5022.66,12.52
Dhanbad,70661,53606,11262,12649.84,23.60,37809,20327,3714,3953.09,19.45
Dumka,66623,49707,10321,7205.51,14.50,43671,27009,5610,2660.47,9.85
East Singhbhum,111102,73662,15368,14130.50,19.18,87323,40507,9081,6495.78,16.04
Garhwa,64901,68778,11144,9932.36,14.44,30470,35241,3817,3092.35,8.77
Giridih,109683,57660,12745,9771.46,16.95,84491,29657,6411,4104.69,13.84
Godda,65020,57410,9995,7490.91,13.05,46243,37818,6143,3656.32,9.67
Gumla,45189,29114,3738,3388.72,11.64,40945,22689,2511,1628.82,7.18
Hazaribagh,110887,69138,16357,14197.93,20.54,77552,34395,7618,5515.03,16.03
Jamtara,41824,32559,4942,3300.64,10.14,37847,26717,3558,1823.82,6.83
Khunti,26799,16533,3429,2463.40,14.90,23142,10573,2634,1500.45,14.19
Koderma,54955,22334,6264,4385.32,19.64,39566,9702,2922,1438.34,14.82
Latehar,26276,24029,4780,3642.69,15.16,20371,16661,3326,1578.93,9.48
Lohardaga,38246,15193,3199,2515.57,16.56,33331,11437,2162,1652.70,14.45
Pakur,32689,28682,5491,3837.67,13.38,24280,17544,3412,1384.58,7.89
Palamu,90008,90630,15621,12486.32,13.78,45232,49892,5716,4465.41,8.95
Ramgarh,38543,22698,5673,4542.78,20.01,26690,10257,2385,1458.47,14.22
Ranchi,1100977,402954,167510,73358.35,18.21,92137,50517,8089,5659.77,11.20
Sahibganj,48305,49707,7871,7613.33,15.32,34427,30349,4439,2669.93,8.80
Seraikela-Kharsawan,152588,59026,22708,12256.27,20.76,63727,21838,5696,3288.12,15.06
Simdega,29477,13344,2589,1877.22,14.07,22824,7184,1573,775.81,10.80
West Singhbhum,76191,40635,9034,7020.61,17.28,65683,26750,6524,3143.93,11.75
